Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount,
Nintey Nine Group,Inv 580,8/22/18,9/5/18,NBN Co,NBN A417,MW417R001131-2MYA-01-STELLAR NPDL-Moruya,NBN Project Fusion,"$15,080.50",
Altus,Inv 175928,8/19/18,9/30/18,NBN Co,NBN A417,MW22520-AYCA-48OYT0-2EDG-65-240 New South Head Road Edgecliff ,NBN New Devs,$285.00,
Nintey Nine Group,Inv 583,8/28/18,9/11/18,NBN Co,NBN A417,MW417R001126-2GUN-01-STELLAR NPDL-Gunnedah,NBN Project Fusion,"$9,025.00",
Nintey Nine Group,Inv 582,8/28/18,9/11/18,NBN Co,NBN A417,MW417R001128 - 2HMK-04 - STELLAR NPDL_Haymarket ,NBN Project Fusion,"$5,745.00",
Altus,Inv 176715,8/26/18,9/30/18,NBN Co,NBN A401,"MW417R000338-AYCA-54NU37-9KBA-20-427-177 Newman-Morris Circuit, Oxley, ACT",NBN New Devs,"$1,517.92",
Michael Gale,Inv 0017,8/23/18,9/30/18,NBN Co,NBN A417,MW417R000052-AYCA-44H3AU-2STL-65-13 Marshall Avenue St Leonards ,NBN New Devs,"$5,062.50",
Comms Connect,Inv 10803,8/30/18,9/30/18,NBN Co,NBN A401,MW417R000246 - AYCA-4RTZSH - 2WOY-07 - 25 Phegan Street Woy Woy ,NBN New Devs,"$9,666.42",
Cylas,Inv 1187,8/31/18,9/30/18,NBN Co,NBN A417,MW22279-AYCA-45Q6J5-2EPP-62-35 Oxford St Epping,NBN New Devs,"$2,627.47",
Cylas,Inv 1186,8/31/18,9/30/18,NBN Co,NBN A417,MW417R000052-AYCA-44H3AU-2STL-65-13 Marshall Avenue St Leonards ,NBN New Devs,"$3,942.13",
Cylas,Inv 1189,8/31/18,9/30/18,NBN Co,NBN A417,MW417R000049-AYCA-24QAXK-2ROC-03-10 Martin Avenue Arncliffe,NBN New Devs,"$5,927.53",
Cylas,Inv 1190,8/31/18,9/30/18,NBN Co,NBN A417,MW20778 - 2PTH-02 - AYCA-40UXV5 - 163 Parker St ,NBN New Devs,"$2,580.65",
Cylas,Inv 1191,8/31/18,9/30/18,NBN Co,NBN A417,"MW21971-AYCA-4X6TWU-2LID-08-43 - 47 Harrow Rd, Auburn, EXT",NBN New Devs,"$2,486.77",
Cylas,Inv 1192,8/31/18,9/30/18,NBN Co,NBN A417,MW417R000034-AYCA-44MH0G-2RYD-63-133-137 Bowden Street Meadowbank ,NBN New Devs,"$5,626.51",
Cylas,Inv 1193,8/31/18,9/30/18,NBN Co,NBN A417,"MW417R000712-AYCA-30GQWB-2ROU-02-16-20 Withers Rd, Kellyville",NBN New Devs,"$1,979.12",
Cylas,Inv 1194,8/31/18,9/30/18,NBN Co,NBN A417,"MW417R000301-AYCA-5AVN4W-2EPP-62-23-25 Forest Grove, Epping ",NBN New Devs,"$8,298.32",
Cylas,Inv 1195,8/31/18,9/30/18,NBN Co,NBN A417,MW22531-AYCA-413Z64-2PAR-64-2B Darcy Rd Westmead ,NBN New Devs,"$1,947.45",
Qubicon,Inv 0579,8/31/18,9/30/18,NBN Co,NBN A417,"MW21827-AYCA-4O03IQ-2COR-09-17 Ryan Street, Balgownie Ext",NBN New Devs,"$1,773.03",
Ablas Construction,Inv 002,8/22/18,9/30/18,NBN Co,NBN A417,"MW417R001136-AYCA-33L9HP-2BAN-64-Restwell & Leonard St, Bankstown DFN Design",NBN New Devs DFN HFC,"$13,822.80",
Global Elite technologies   ,Inv 199,8/25/18,9/30/18,NBN Co,NBN A417,"MW417R000454 -AYCA-4V7F3M -  2LAK-22 - 23 Willeroo St, Lakemba",NBN New Devs,"$2,464.51",
Global Elite technologies   ,Inv 199,8/25/18,9/30/18,NBN Co,NBN A417,"MW22048-AYCA-52ZO0L-2LID-04-32 Norval St, Auburn EXT",NBN New Devs,"$1,105.71",
Global Elite technologies   ,Inv 199,8/25/18,9/30/18,NBN Co,NBN A417,"MW417R000755-AYCA-56GK8A-2BLR-03-79 Marmong St, Booragul",NBN New Devs,"$2,321.16",
Global Elite technologies   ,Inv 199,8/25/18,9/30/18,NBN Co,NBN A417,"MW417R001023-AYCA-4KNB05-2BLR-03-20 Myrtle St, Teralba",NBN New Devs,"$1,040.76",
Global Elite technologies   ,Inv 199,8/25/18,9/30/18,NBN Co,NBN A417,"MW417R000397-AYCA-5BX3DW-2NEW-23-7-9 Hutchinson St, St Peters - 1",NBN New Devs,"$1,401.53",
Global Elite technologies   ,Inv 199,8/25/18,9/30/18,NBN Co,NBN A417,"MW21827-AYCA-4O03IQ-2COR-09-17 Ryan Street, Balgownie Ext",NBN New Devs,"$3,652.51",
Nintey Nine Group,Inv 588,9/3/18,9/17/18,NBN Co,NBN A417,MW417R001255-9DKI-04-STELLAR NPDL_MWR (A417)-Deakin,NBN Project Fusion,"$21,354.00",
Nintey Nine Group,Inv 587,9/3/18,9/17/18,NBN Co,NBN A417,MW417R001133-9BLC-04-STELLAR NPDL-Belconnen,NBN Project Fusion,"$1,512.25",
Nintey Nine Group,Inv 586,9/3/18,9/17/18,NBN Co,NBN A417,MW417R001134-9DKI-23-STELLAR NPDL-Deakin,NBN Project Fusion,"$1,882.25",
Nintey Nine Group,Inv 585,9/3/18,9/17/18,NBN Co,NBN A417,MW417R001132-2WRD-20-STELLAR NPDL-Warialda,NBN Project Fusion,"$13,558.00",
Qubicon,Inv 0578,8/31/18,9/30/18,NBN Co,NBN A417,"MW417R000773-AYCA-4P6YWU- 2SHH-05-11 Kite Pl, Blackbutt Externals",NBN New Devs,"$3,921.90",
Qubicon,Inv 0577,8/31/18,9/30/18,NBN Co,NBN A417,"MW417R001041-AYCA-4H9191-2COR-03-208-210 Princes Highway, Bulli",NBN New Devs,$328.00,
OSGA,Inv 00201806,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000536-2BGI-20-STELLAR NPDL_MWR (A417)-Boggabri,NBN Project Fusion,"$8,610.00","Actual invoice received on the 05/9/18, revised invoice received 6/09/18"
OSGA,Inv 00201807,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000561-2WWA-20-STELLAR NPDL_MWR (A417)-Wee Waa,NBN Project Fusion,"$3,060.00","Actual invoice received on the 05/9/18, revised invoice received 6/09/19"
OSGA,Inv 00201808,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000540-2CTH-20-STELLAR NPDL_MWR (A417)-Crescent Head,NBN Project Fusion,"$60,075.00","Actual invoice received on the 05/9/18, revised invoice received 6/09/20"
OSGA,Inv 00201809,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R001247-2WLH-20-STELLAR NPDL_MWR (A417)-Walcha,NBN Project Fusion,"$9,155.00","Actual invoice received on the 05/9/18, revised invoice received 6/09/21"
OSGA,Inv 00201810,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000548-2LCT-01 - STELLAR NPDL_MWR (A417)-Lake Cathie,NBN Project Fusion,"$4,700.00","Actual invoice received on the 05/9/18, revised invoice received 6/09/22"
OSGA,Inv 00201811,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000549 - 2MAN-20 - STELLAR NPDL_MWR (A417)-Manilla,NBN Project Fusion,"$14,870.00","Actual invoice received on the 05/9/18, revised invoice received 6/09/23"
OSGA,Inv 00201812,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000170-2MIR-22-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$7,260.00","Actual invoice received on the 05/9/18, revised invoice received 6/09/24"
OSGA,Inv 00201813,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000180-2MIR-25-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$106,178.00","Actual invoice received on the 05/9/18, revised invoice received 6/09/25"
OSGA,Inv 00201814,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000174-2MIR-26-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$52,254.05","Actual invoice received on the 05/9/18, revised invoice received 6/09/26"
OSGA,Inv 00201815,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000169-2MIR-29-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$34,290.00",
OSGA,Inv 00201816,9/11/18,9/25/18,NBN Co,NBN Project Fusion,MW417R000553-2NDS-01-STELLAR NPDL_MWR (A417)-Nords Wharf,NBN Project Fusion,"$19,770.00",
KSJDA,Inv 18/1275,8/23/18,9/30/18,NBN Co,NBN A401,"MW417R000067 - AYCA-51V8JL - 2MUS-03 - 11 Thomas Mitchell Dr, Muswellbrook",NBN New Devs,"$ 3,305.72",
Nintey Nine Group,Inv 592,9/10/18,9/24/18,NBN Co,NBN A417,MW417R001130-2MAC-20-STELLAR NPDL-Macksville,NBN Project Fusion,"$26,113.50",
Nintey Nine Group,Inv 591,9/10/18,9/24/18,NBN Co,NBN A417,MW417R001124-2ALS-01 - Alstonville,NBN Project Fusion,"$16,662.00",
Nintey Nine Group,Inv 590,9/10/18,9/24/18,NBN Co,NBN A417,MW417R001262-2WAL-20-STELLAR NPDL_MWR (A417)-Wallerawang,NBN Project Fusion,"$5,866.50",
Nintey Nine Group,Inv 589,9/10/18,9/24/18,NBN Co,NBN A417,"MW417R001136-AYCA-33L9HP-2BAN-64-Restwell & Leonard St, Bankstown DFN Design",NBN New Devs DFN HFC,"$1,500.00",
RDJ Tranz,Inv 3051,9/13/18,9/20/18,NBN Co,NBN Business Segment,"AYCA-5BXC86 - 2ROC-02 - 78-98 ARNCLIFFE ST, WOLLI CREEK ",NBN Business Segment,$436.36,
Nintey Nine Group,Inv 597,9/16/18,9/30/18,NBN Co,NBN A417,MW417R000170-2MIR-22-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$2,420.00",
Nintey Nine Group,Inv 597,9/16/18,9/30/18,NBN Co,NBN A417,MW417R000180-2MIR-25-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$8,239.00",
Nintey Nine Group,Inv 597,9/16/18,9/30/18,NBN Co,NBN A417,MW417R000174-2MIR-26-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$3,476.00",
Nintey Nine Group,Inv 593,9/17/18,10/1/18,NBN Co,NBN A417,MW417R001129 - 2KRI-01 - STELLAR NPDL-Kurri Kurri,NBN Project Fusion,"$10,801.50",
Nintey Nine Group,Inv 594,9/17/18,10/1/18,NBN Co,NBN A417,MW417R001261-2TTF-20-STELLAR NPDL_MWR (A417)-Tenterfield,NBN Project Fusion,"$21,537.00",
Nintey Nine Group,Inv 595,9/17/18,10/1/18,NBN Co,NBN A417,MW417R001258-2ORC-22-STELLAR NPDL_MWR (A417)-Orchard Hills,NBN Project Fusion,"$1,520.00",
Coms R US,Inv 821,9/14/18,10/31/18,NBN Co,NBN A401,MW22191-AYCA-4Z4FSB - 2MIL-20 -  Mainfreight Logistics - 1,NBN New Devs,"$17,000.00",
Altus,Inv 179525,9/16/18,10/31/18,NBN Co,NBN A417,"MW417R000157-AYCA-4A46K7-2PAR-63-208-210 Great Western Hwy, Westmead DFN Design & Construct",NBN New Devs DFN HFC,$835.64,
Altus,Inv 179524,9/16/18,10/31/18,NBN Co,NBN A417,MW417R000463-AYCA-48HHL8-2MIR-28-2-22 University Rd & 660-664,NBN New Devs,$938.11,
Ablas Construction,Inv 003,8/22/18,9/30/18,NBN Co,NBN A417,"MW417R000157-AYCA-4A46K7-2PAR-63-208-210 Great Western Hwy, Westmead DFN Design & Construct",NBN New Devs DFN HFC,"$1,559.81",
Nintey Nine Group,Inv 598,9/25/18,10/31/18,NBN Co,NBN A417,MW417R001257-2KRI-20-STELLAR NPDL_MWR (A417)-Kurri kurri,NBN Project Fusion,"$12,427.50",
Nintey Nine Group,Inv 599,9/25/18,10/31/18,NBN Co,NBN A417,MW417R001260-2SWR-20-STELLAR NPDL_MWR (A417)-South West Rocks,NBN Project Fusion,"$11,290.75",
Nintey Nine Group,Inv 600,9/25/18,10/31/18,NBN Co,NBN A417,MW417R000553-2NDS-01-STELLAR NPDL_MWR (A417)-Nords Wharf,NBN Project Fusion,$759.00,
Nintey Nine Group,Inv 600,9/25/18,10/31/18,NBN Co,NBN A417,MW417R000536-2BGI-20-STELLAR NPDL_MWR (A417)-Boggabri,NBN Project Fusion,$165.00,
Nintey Nine Group,Inv 600,9/25/18,10/31/18,NBN Co,NBN A417,MW417R000549 - 2MAN-20 - STELLAR NPDL_MWR (A417)-Manilla,NBN Project Fusion,$649.00,
Nintey Nine Group,Inv 600,9/25/18,10/31/18,NBN Co,NBN A417,MW417R001247-2WLH-20-STELLAR NPDL_MWR (A417)-Walcha,NBN Project Fusion,$330.00,
Nintey Nine Group,Inv 600,9/25/18,10/31/18,NBN Co,NBN A417,MW417R000561-2WWA-20-STELLAR NPDL_MWR (A417)-Wee Waa,NBN Project Fusion,$231.00,
Nintey Nine Group,Inv 600,9/25/18,10/31/18,NBN Co,NBN A417,MW417R000540-2CTH-20-STELLAR NPDL_MWR (A417)-Crescent Head,NBN Project Fusion,"$1,397.00",
Comms Connect,Inv 10927,9/30/18,10/31/18,NBN Co,NBN A417,MW22435-AYCA-5576QH-2TGL-02-3 Ghersi Ave Wambera,NBN New Devs,"$6,842.50",
KSJDA,Inv 18/1291,9/25/18,10/31/18,NBN Co,NBN A401,"MW417R000595 - 2PTM-09 - AYCA-4OQ160 - 2PTM-09 - 3 Ocean Ridge Terrace, Port Macquarie ",NBN New Devs,"$4,994.35",
Altus,Inv 180392,9/23/18,10/31/18,NBN Co,NBN A417,MW417R000893-AYCA-59DV6W - 2CRR-72-Carramar HFC DFN,NBN New Devs DFN HFC,"$1,161.98",
Nintey Nine Group,Inv 601,9/27/18,10/31/18,NBN Co,NBN A417,MW417R000893-AYCA-59DV6W - 2CRR-72-Carramar HFC DFN,NBN New Devs,"$1,553.60",
KSJDA,Inv 18/1292,9/23/18,10/31/18,Mikcomm,Nextgen,"Nextgen BO, Upgrade ACM ",Nextgen,"$3,600.00",
Global Elite technologies   ,Inv 201,9/26/18,10/31/18,NBN Co,NBN A417,MW22573-AYCA-LYHJJ-2MTT-02-10 Cardigan St Mittagong ,NBN New Devs,$986.00,
Global Elite technologies   ,Inv 201,9/26/18,10/31/18,NBN Co,NBN A401,"MW417R001216 - AYCA-56GE93 - 2NMN-20 -10 Dandaloo St, Narromine",NBN New Devs,"$3,074.22",
Global Elite technologies   ,Inv 201,9/26/18,10/31/18,NBN Co,NBN A417,MW22575-AYCA-4LHC6F-2DBB-01-30 Ritz Pl Dubbo,NBN New Devs,"$2,737.54",
Qubicon,Inv 581,9/28/18,10/31/18,NBN Co,NBN A417,MW417R000775-AYCA-5A18P2-2PKE-04-249 Shellharbour Rd Warrawong,NBN New Devs,"$3,640.00",
Qubicon,Inv 582,9/28/18,10/31/18,NBN Co,NBN A417,"MW417R000704-AYCA-57Y170-2BRY-01-17 Hitchcocks Ln, Berry",NBN New Devs,"$2,472.80",
Michael Gale,Inv 0025,9/30/18,10/31/18,NBN Co,NBN A417,MW417R000463-AYCA-48HHL8-2MIR-28-2-22 University Rd & 660-664,NBN New Devs,"$1,648.52",
Michael Gale,Inv 0024,9/30/18,10/31/18,NBN Co,NBN A417,"MW417R001352-AYCA-3JJIX9-2MIR-28-13-21 University Rd and 1-5 Pinnacle St, Miranda",NBN New Devs,"$2,817.58",
Michael Gale,Inv 0026,9/30/18,10/31/18,NBN Co,NBN A417,"MW417R001195--AYCA-5D4EG4-2CAS-238 Totness Court, Castle Hill ",NBN New Devs,"$3,490.36",
Michael Gale,Inv 0027,9/30/18,10/31/18,NBN Co,NBN A417,MW417R001115-AYCA-591MZC-2CRO-21-CRONULLA 88 DEVELOPMENTS ,NBN New Devs,"$2,985.23",
Michael Gale,inv 0030,9/30/18,10/31/18,NBN Co,NBN A417,"MW417R001246-AYCA-5FA5OM-2MIR-24-4-6 Crammond Boulevard, Caringbah Ext",NBN New Devs,"$1,298.91",
Michael Gale,Inv 0023,9/30/18,10/31/18,NBN Co,NBN A417,"MW417R000970 - AYCA-4Q27NU - 2BRG-03 - 50 Raby Rd, Gledswood Hills",NBN New Devs,"$4,043.06",
Michael Gale,Inv 0029,9/30/18,10/31/18,NBN Co,NBN A417,"MW417R000157-AYCA-4A46K7-2PAR-63-208-210 Great Western Hwy, Westmead DFN Design & Construct",NBN New Devs DFN HFC,"$2,115.20",
Michael Gale,Inv 0028,9/30/18,10/31/18,NBN Co,NBN A417,MW417R000893-AYCA-59DV6W - 2CRR-72-Carramar HFC DFN,NBN New Devs DFN HFC,$407.13,
Michael Gale,Inv 0022,9/30/18,10/31/18,NBN Co,NBN A417,MW417R001335-AYCA-4RH5YY-2ROU-01-32 George St Box Hill ,NBN New Devs,"$1,787.25",
Ablas Construction,Inv 004,9/25/18,10/31/18,NBN Co,NBN A417,"MW417R000157-AYCA-4A46K7-2PAR-63-208-210 Great Western Hwy, Westmead DFN Design & Construct",NBN New Devs DFN HFC,"$8,313.74",
Ablas Construction,Inv 005,9/25/18,10/31/18,NBN Co,NBN A417,MW417R000893-AYCA-59DV6W - 2CRR-72-Carramar HFC DFN,NBN New Devs DFN HFC,"$10,909.50",
Ablas Construction,Inv 006,9/25/18,10/31/18,NBN Co,NBN A417,"MW417R001136-AYCA-33L9HP-2BAN-64-Restwell & Leonard St, Bankstown DFN Design",NBN New Devs DFN HFC,$403.20,
Ablas Construction,Inv 006,9/25/18,10/31/18,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,"$4,255.84",
OSGA,Inv 201818,10/2/18,10/16/18,NBN Co,NBN Project Fusion,MW417R000166-2MIR-31-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$9,574.00",Approved and submitted for payment on 
OSGA,Inv 201819,10/2/18,10/16/18,NBN Co,NBN Project Fusion,MW417R000545-2ERP-20-STELLAR NPDL_MWR (A417)-Eastern Creek,NBN Project Fusion,"$67,830.00",
OSGA,Inv 201820,10/2/18,10/16/18,NBN Co,NBN Project Fusion,MW417R000554-2NYG-20-STELLAR NPDL_MWR (A417)-Nyngan ,NBN Project Fusion,"$13,140.00",
OSGA,Inv 201821,10/2/18,10/16/18,NBN Co,NBN Project Fusion,MW417R001252-2KYO-20-STELLAR NPDL_MWR (A417)- Kyogle,NBN Project Fusion,"$1,170.00",
OSGA,Inv 201822,10/2/18,10/16/18,NBN Co,NBN Project Fusion,MW417R000541-2DRG-20-STELLAR NPDL_MWR (A417)-Dorrigo ,NBN Project Fusion,"$33,070.00",
Altus,inv 181307,9/30/18,10/31/18,NBN Co,NBN A417,"MW417R000157-AYCA-4A46K7-2PAR-63-208-210 Great Western Hwy, Westmead DFN Design & Construct",NBN New Devs DFN HFC,$631.64,
Cylas,Inv 1200,9/30/18,10/31/18,NBN Co,NBN A417,"MW22297-AYCA-58QIXQ-2LIV-02-29 SCOTT ST, LIVERPOOL",NBN New Devs,"$3,000.14",Invoices actually supplied on the 4/10/18
Cylas,Inv 1201,9/30/18,10/31/18,NBN Co,NBN A417,"MW22094-AYCA-4LM7HH-2UND-61-590-602 New Canterbury Rd, Hurlstone Park",NBN New Devs,"$5,721.76",
Cylas,Inv 1202,9/30/18,10/31/18,NBN Co,NBN A417,MW22284-AYCA-4KZ476-2PTH-02-38-40 Doonmore St Penrith,NBN New Devs,"$6,099.75",
Cylas,Inv 1203,9/30/18,10/31/18,NBN Co,NBN A417,"MW22007-AYCA-4VJFPP-2NEW-22-19-21 Eve St, Erskineville",NBN New Devs,"$2,964.55",
Cylas,Inv 1204,9/30/18,10/31/18,NBN Co,NBN A417,MW417R000091-AYCA-57S6JD-2REV-20-50/42 Violet St Revesby ,NBN New Devs,"$3,384.13",
Cylas,Inv 1205,9/30/18,10/31/18,NBN Co,NBN A417,MW22346-AYCA-50FP2M-2ROU-03-Oxlade Street Kellyville,NBN New Devs,"$10,871.67",
Cylas,Inv 1206,9/30/18,10/31/18,NBN Co,NBN A417,MW417R001042-AYCA-4KKMW0-2ROU-03-AYCA-4KKMW0- 55 Foxall Road – 3,NBN New Devs,$706.00,
Cylas,Inv 1207,9/30/18,10/31/18,NBN Co,NBN A417,"MW22296-AYCA-4RB8MD-2LID-03-2 Clarke St, Berala",NBN New Devs,$300.00,
Cylas,Inv 1208,9/30/18,10/31/18,NBN Co,NBN A417,MW22319-AYCA-33L9HP-2BAN-64-Restwell & Leonard St Bankstown ,NBN New Devs,"$3,673.03",
Cylas,Inv 1209,9/30/18,10/31/18,NBN Co,NBN A417,"MW417R000669-AYCA-4QID92-2EAS-63-153-165 Brougham St, Woolloomooloo",NBN New Devs,"$5,869.67",
Penrith Council,PO 494,9/5/18,10/31/18,NBN Co,NBN A417,MW22548-AYCA-48V6NM-2PTH-05-Lord Sheffield Circuit Penrith,NBN New Devs,"$17,464.95",
Global Elite technologies   ,Inv 0202,9/28/18,10/31/18,NBN Co,NBN A417,MW417R001497-AYCA-4BC964-2BLK-11-Fairwater Boulevard Blacktown,NBN New Devs,"$1,105.82",
Global Elite technologies   ,Inv 0202,9/28/18,10/31/18,NBN Co,NBN A417,"MW22024-AYCA-35DF0W-2KEL-07-1, 1A & 1B President Rd, Kellyville",NBN New Devs,"$2,161.86",
Global Elite technologies   ,Inv 0202,9/28/18,10/31/18,NBN Co,NBN A417,"MW417R000750-AYCA-4W3F0S- 51-53 Foxall Road, Kellyville ",NBN New Devs,"$3,547.88",
Global Elite technologies   ,Inv 0202,9/28/18,10/31/18,NBN Co,NBN A417,"MW417R000397-AYCA-5BX3DW-2NEW-23-7-9 Hutchinson St, St Peters - 1",NBN New Devs,$908.28,
OSGA,Inv 201823,10/4/18,10/25/18,NBN Co,NBN Project Fusion,MW417R000550 - 2MIR-24 - STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$145,617.00",
Nintey Nine Group,Inv 603,10/11/18,10/25/18,NBN Co,NBN Project Fusion,MW417R000548-2LCT-01 - STELLAR NPDL_MWR (A417)-Lake Cathie,NBN Project Fusion,$110.00,
Nintey Nine Group,Inv 603,10/11/18,10/25/18,NBN Co,NBN Project Fusion,MW417R000170-2MIR-22-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$2,420.00",
Nintey Nine Group,Inv 603,10/11/18,10/25/18,NBN Co,NBN Project Fusion,MW417R000545-2ERP-20-STELLAR NPDL_MWR (A417)-Eastern Creek,NBN Project Fusion,"$2,013.00",
Nintey Nine Group,Inv 603,10/11/18,10/25/18,NBN Co,NBN Project Fusion,MW417R000554-2NYG-20-STELLAR NPDL_MWR (A417)-Nyngan ,NBN Project Fusion,$594.00,
Nintey Nine Group,Inv 603,10/11/18,10/25/18,NBN Co,NBN Project Fusion,MW417R000557-2POR-20-STELLAR NPDL_MWR (A417)-Portland,NBN Project Fusion,$165.00,
Nintey Nine Group,Inv 603,10/11/18,10/25/18,NBN Co,NBN Project Fusion,MW417R000541-2DRG-20-STELLAR NPDL_MWR (A417)-Dorrigo,NBN Project Fusion,"$1,628.00",
Nintey Nine Group,Inv 604,10/11/18,10/25/18,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,"$1,500.00",
Nintey Nine Group,Inv 604,10/11/18,10/25/18,NBN Co,NBN A417,"MW417R002021-AYCA-4IIZWC-2STL-66-28 Albany St, St Leonards DFN HFC",NBN New Devs DFN HFC,"$1,500.00",
Ablas Construction,Inv 007,9/25/18,10/31/18,NBN Co,NBN A417,"MW417R001136-AYCA-33L9HP-2BAN-64-Restwell & Leonard St, Bankstown DFN Design",NBN New Devs DFN HFC,$277.20,
Nintey Nine Group,Inv 606,10/15/18,10/29/18,NBN Co,NBN Project Fusion,MW417R000166-2MIR-31-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$2,860.00",
Nintey Nine Group,Inv 606,10/15/18,10/29/18,NBN Co,NBN Project Fusion,MW417R000172-2MON-25-STELLAR NPDL_MWR (A417)-Mona Vale,NBN Project Fusion,"$2,090.00",
Nintey Nine Group,Inv 606,10/15/18,10/29/18,NBN Co,NBN Project Fusion,MW417R000558 - 2SPW-20 - STELLAR NPDL_MWR (A417)-Springwood,NBN Project Fusion,"$1,881.00",
Kennards,Inv 19710217,9/14/18,9/28/18,NBN Co,NBN A401,"MW417R000338-AYCA-54NU37-9KBA-20-427-177 Newman-Morris Circuit, Oxley, ACT",NBN New Devs,$936.36,
Hills Council,PO 0515,10/18/18,11/1/18,NBN Co,NBN A417,MW22346-AYCA-50FP2M-2ROU-03-Oxlade Street Kellyville,NBN New Devs,"$9,106.00",
CDA Earthworx,Inv 1092,9/25/18,10/31/18,NBN Co,NBN A417,MW22346-AYCA-50FP2M-2ROU-03-Oxlade Street Kellyville,NBN New Devs,"$33,452.50",
Comms Connect,Inv 11024,10/23/18,11/30/18,NBN Co,NBN A417,MW22435-AYCA-5576QH-2TGL-02-3 Ghersi Ave Wambera,NBN New Devs,$275.83,
Coffey,Inv CANB06491L,10/23/18,11/6/18,NBN Co,NBN A417,"MW417R001661-AYCA-5JRURV-9BLC-20-37 Belconnen Way, Weetangera, ACT Ext",NBN New Devs,$300.00,
Nintey Nine Group,Inv 609,10/23/18,11/6/18,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,"$1,740.00",
Nintey Nine Group,Inv 610,10/23/18,11/6/18,NBN Co,NBN A417,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",NBN New Devs DFN HFC,"$1,500.00",
Nintey Nine Group,Inv 610,10/23/18,11/6/18,NBN Co,NBN A417,"MW417R001793-AYCA-4WB37J-2FRE-61-36 Pringle Ave, Belrose HFC DFN",NBN New Devs DFN HFC,"$1,500.00",
Nintey Nine Group,Inv 608,10/23/18,11/6/18,NBN Co,NBN Project Fusion,MW417R000559 - 2SPW-21 - STELLAR NPDL_MWR (A417)-Springwood,NBN Project Fusion,"$1,518.00",
Nintey Nine Group,Inv 608,10/23/18,11/6/18,NBN Co,NBN Project Fusion,MW417R000560 - 2SPW-28 - STELLAR NPDL_MWR (A417)-Springwood,NBN Project Fusion,"$3,619.00",
Nintey Nine Group,Inv 608,10/23/18,11/6/18,NBN Co,NBN Project Fusion,MW417R000556-2ORC-21-STELLAR NPDL_MWR (A417)-Orchard Hills,NBN Project Fusion,"$1,001.00",
Cumberland Council,PO 0521,10/24/18,11/23/18,NBN Co,NBN A417,"MW417R000157-AYCA-4A46K7-2PAR-63-208-210 Great Western Hwy, Westmead DFN Design & Construct",NBN New Devs DFN HFC,"$4,025.00",
Canterbury Concil,Inv 2049851,10/23/18,11/22/18,NBN Co,NBN A417,"MW417R001092-AYCA-5GPSWE-TTFN-2CAM-20-100A- 100B Northcote Street, Canterburry",NBN New Devs,"$1,070.25",
Liverpool Council,PO 05232,10/24/18,11/23/18,NBN Co,NBN A401,MW22191-AYCA-4Z4FSB - 2MIL-20 -  Mainfreight Logistics - 1,NBN New Devs,$612.64,
Tactix Civil,Inv 001,10/27/18,11/30/18,NBN Co,NBN A401,MW22191-AYCA-4Z4FSB - 2MIL-20 -  Mainfreight Logistics - 1,NBN New Devs,"$6,007.94",
Tactix Civil,Inv 002,10/27/18,11/30/18,NBN Co,NBN A417,MW22436 - AYCA-4SRFAN-2226 Roseberry St Balgowlah NSW EXT,NBN New Devs,"$2,564.38",
Tactix Civil,Inv 003,10/27/18,11/30/18,NBN Co,NBN A401,"MW417R001768-AYCA-5GWBTB-2TAH-01-4 Davies Place, Picton",NBN New Devs,"$3,333.25",
