,Inv 14053,CSPO using refresh rate,12,,206,206,0,MW417R001124-2ALS-01 - Alstonville,"$10,167.72","$33,892.40","$3,410.00","$47,470.12","$7,450.00",,,,,$0.00,,,"$33,892.40","$33,892.40",,
,Inv 14052,CSPO using refresh rate,6,35,130,130,0,MW417R001125-2BMG-20-STELLAR NPDL Bermagui,"$7,080.60","$23,602.00","$2,180.00","$32,862.60","$7,450.00",,,"$10,854.25","$68,555.00","$79,409.25",,"$103,826.76","$127,428.76","$48,019.51",38%,
,Inv 14038,CSPO using refresh rate,6,,100,100,0,MW417R001126-2GUN-01-STELLAR NPDL-Gunnedah,"$5,862.00","$19,540.00","$2,180.00","$27,582.00","$7,450.00",,,"$9,025.00",,"$9,025.00",,,"$19,540.00","$10,515.00",,
,Inv 14037,CSPO using refresh rate,,,79,79,0,MW417R001128 - 2HMK-04 - STELLAR NPDL_Haymarket ,"$5,008.98","$16,696.60",$0.00,"$21,705.58","$5,500.00",,$0.00,"$5,745.00",$0.00,"$5,745.00",,$0.00,"$16,696.60","$10,951.60",66%,Paid 18/10/18
,Inv 14039,CSPO using refresh rate,8,,126,126,0,MW417R001129 - 2KRI-01 - STELLAR NPDL-Kurri Kurr,"$6,918.12","$23,060.40","$2,590.00","$32,568.52","$7,450.00",,,"$10,801.50","$15,090.00","$25,891.50",,,"$23,060.40","-$2,831.10",-12%,
,Inv 14050,CSPO using refresh rate,14,,348,348,0,MW417R001130-2MAC-20-STELLAR NPDL-Macksville,"$15,935.76","$53,119.20","$3,820.00","$72,874.96","$7,450.00",,,"$26,113.50",,"$26,113.50",,,"$53,119.20","$27,005.70",,
,Inv 14040,CSPO using refresh rate,6,15,199,199,0,MW417R001131-2MYA-01-STELLAR NPDL-Moruya,"$9,898.38","$32,994.60","$2,180.00","$45,072.98","$7,450.00",,,"$15,080.50","$11,575.00","$26,655.50",,"$27,144.99","$60,139.59","$33,484.09",56%,
,Inv 14051,CSPO using refresh rate,10,,159,159,0,MW417R001132-2WRD-20-STELLAR NPDL-Warialda,"$8,258.58","$27,528.60","$3,000.00","$38,787.18","$7,450.00",,,"$13,558.00",,"$13,558.00",,,"$27,528.60","$13,970.60",,
,,"CSPO using refresh rate, Incorrect SOR used for Planning Activity Fees 56-05-02-15, should be 56-05-02-14",,,8,8,0,MW417R001133-9BLC-04-STELLAR NPDL-Belconnen,,"$7,083.20",$950.00,"$8,033.20","$7,450.00",,,"$1,512.25",,"$1,512.25",,,"$7,083.20","$5,570.95",,
,,CSPO using refresh rate,2,,13,13,0,MW417R001134-9DKI-23-STELLAR NPDL-Deakin,,"$2,760.20","$1,360.00","$4,120.20","$7,450.00",,,"$1,882.25",,"$1,882.25",,,"$2,760.20",$877.95,,
,Inv 14086,"CSPO using refresh rate, Regional. Validation workbook 28 EUP, CSPO 30 EUP",1,4,28,30,-2,MW417R001247-2WLH-20-STELLAR NPDL_MWR (A417)-Walcha,"$3,018.60","$10,062.00",$884.20,"$13,964.80","$7,450.00",,$330.00,"$2,561.50","$8,415.00","$10,976.50",,"$20,906.78","$30,968.78","$19,992.28",65%,Paid 18/10/18
,,CSPO using refresh rate,,,,1,-1,MW417R001248-2MIR-21-STELLAR NPDL_MWR (A417)-Miranda,,"$1,121.45",,"$1,121.45","$5,500.00",,$0.00,,"$9,155.00","$9,155.00",,"$15,716.44","$16,837.89","$7,682.89",46%,Paid 20/9/18
,,CSPO using refresh rate,,3,,6,-6,MW417R001252-2KYO-20-STELLAR NPDL_MWR (A417)- Kyogle,,"$1,812.40",,"$1,812.40","$7,450.00",,$0.00,,"$1,170.00","$1,170.00",,"$8,968.03","$10,780.43","$9,610.43",89%,
,Inv 14101,CSPO using refresh rate,10,,292,292,0,MW417R001255-9DKI-04-STELLAR NPDL_MWR (A417)-Deakin,"$13,661.04","$45,536.80","$3,000.00","$62,197.84","$7,450.00",,,"$21,354.00",$0.00,"$21,354.00",,$0.00,"$45,536.80","$24,182.80",53%,Paid 18/10/18
,Inv 14099,CSPO using refresh rate,6,,158,158,0,MW417R001257-2KRI-20-STELLAR NPDL_MWR (A417)-Kurri kurri,"$8,217.96","$27,393.20","$2,180.00","$37,791.16","$7,450.00",,,"$12,427.50","$15,030.00","$27,457.50",,,"$27,393.20",-$64.30,-0%,
,,"CSPO using refresh rate, Validation workbook 20 EUP, CSPO 21  EUP",,,20,21,-1,MW417R001258-2ORC-22-STELLAR NPDL_MWR (A417)-Orchard Hills,,"$8,550.45",-$121.45,"$8,429.00","$5,500.00",,,"$1,520.00",,"$1,520.00",,,"$8,550.45","$7,030.45",,
,Inv 14100,CSPO using refresh rate,6,,136,136,0,MW417R001260-2SWR-20-STELLAR NPDL_MWR (A417)-South West Rocks,"$7,324.32","$24,414.40","$2,180.00","$33,918.72","$7,450.00",,,,,$0.00,,,"$24,414.40","$24,414.40",,
,Inv 10498,"CSPO using refresh rate, Validation workbook 281 EUP, CSPO 283  EUP",12,,281,283,-2,MW417R001261-2TTF-20-STELLAR NPDL_MWR (A417)-Tenterfield,"$13,295.46","$44,318.20","$3,139.20","$60,752.86","$7,450.00",,,"$21,537.00",,"$21,537.00",,,"$44,318.20","$22,781.20",,
,Inv 14102,"CSPO using refresh rate, Validation workbook 47 EUP, CSPO 49  EUP",6,8,47,49,-2,MW417R001262-2WAL-20-STELLAR NPDL_MWR (A417)-Wallerawang,"$3,790.38","$12,634.60","$1,909.20","$18,334.18","$7,450.00",,,"$5,866.50","$17,305.00","$23,171.50",,"$33,294.28","$45,928.88","$22,757.38",50%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Need a final adjustment as workbooks submitted prior correcting the EUP numbers by ROB,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,126,154,6575,6810,,,"$237,852.05","$847,370.60","$321,219.51","$1,406,442.16","$282,750.00",,"$43,032.00","$437,949.00","$999,121.05","$1,437,070.05",,"$1,552,950.20","$2,400,320.80","$963,250.75",20%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Current,40.1%,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,
