Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount
Nintey Nine Group,Inv 678,10/04/2019,24/04/2019,NBN Co,NBN A417,MW417R002789-AYCA-53VL4I-2PNN-68-116a-118-castle-hill- HFC DFN,NBN New Devs DFN HFC,"$3,225.20"
Nintey Nine Group,Inv 679,10/04/2019,24/04/2019,NBN Co,NBN A417,MW417R002533-AYCA-2PNFXD-2ROS-66 -Corner Old South Road & Hamilton Street HFC DFN,NBN New Devs DFN HFC,"$1,080.00"
Nintey Nine Group,Inv 680,10/04/2019,24/04/2019,NBN Co,NBN A417,MW417R002938-AYCA-52ZW78-2STL-60-Atchison Street HFC DFN,NBN New Devs DFN HFC,"$5,176.45"
Comms Connect,Inv 11850,11/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001691 - AYCA-5PYJJF - 2KCL-02 - Sailfish Way & Seaside Drive Kingscliff NSB,NBN New Devs,"$4,097.06"
Comms Connect,Inv 11851,11/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002745-AYCA-5HY3IQ-2KYO-20-Stratheden Street, Kyogle",NBN New Devs,"$2,880.13"
FibreSole,Inv 0010,11/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002246-AYCA-4P3YPZ-2BAN-67-107 Chapel Road South, Bankstown",NBN New Devs,"$2,989.15"
FibreSole,Inv 016,12/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003379-AYCA-4HLUIU-2PYM-62-1454 Pacific Hwy Turramurra HFC DFN,NBN New Devs DFN HFC,"$6,838.77"
KSJDA,Inv 19/1421,13/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001688-2AYCA-4MFJ6I-CFS-03-65 Victoria Street Coffs Harbour ,NBN New Devs,"$19,148.70"
FibreSole,Inv 0015,14/04/2019,31/05/2019,NBN Co,NBN A417,"ND-NSW-2KNS-62-AYCA-5E2I7I-4-6 Grosvenor St, Kensington - 1-HFC-DFN",NBN New Devs DFN HFC,$300.00
Hunters Hill Council,Inv 18136,16/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R001563-AYCA-5FHXRP-2HUH-22-75 Park Road, Hunters Hill",NBN New Devs,"$2,880.00"
Nintey Nine Group,Inv 683,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2PEN-01-AYCA-5E4D09-2-6 Dolerite Way, Pemulwuy NSW 2145, Aus-TTFN",New Devs Maximo,"$9,722.30"
Nintey Nine Group,Inv 684,23/04/2019,07/05/2019,NBN Co,NBN A417,"MW417R002790-AYCA-5QBJSS-2PAR-62-7 Morton Street, Parramatta HFC DFN",NBN New Devs DFN HFC,"$1,587.60"
Nintey Nine Group,Inv 685,23/04/2019,07/05/2019,NBN Co,NBN A417,"MW417R002570-AYCA-4XIVYZ-HFC DFN-2UND-62-236-238 ILLAWARRA RD, MARRICKVILLE",NBN New Devs DFN HFC,$720.00
Nintey Nine Group,Inv 686,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2LAK-63- AYCA-4KG1NI-Punchbowl Development - 1-HFC-DFN,NBN New Devs DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 686,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2KNS-61-AYCA-21YG5R -Green Square Town Centre, Sites 7 & 17 -HFC-DFN",New Devs Maximo HFC DFN,"$1,500.00"
Nintey Nine Group,Inv 686,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,2BAL-66-Node Split,NBN Node Split DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 686,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2EAS-64-AYCA-4K9T49 -PRESBYTERIAN AGED CARE - SP4 Brown Stree-HFC-DFN,New Devs Maximo HFC DFN,"$1,500.00"
Nintey Nine Group,Inv 686,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,2CRM-61-Node Split,NBN Node Split DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 687,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,2BAL-61-Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,Inv 687,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,2BAL-62 Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,Inv 687,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,2BAL-66-Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,Inv 687,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,2CRM-61-Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,Inv 687,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,2STL-60-Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,Inv 688,23/04/2019,07/05/2019,NBN Co,NBN A417,MW417R002917-AYCA-4LKVQJ - 2ROC-61-551 Gardeners Road -HFC DFN,NBN New Devs DFN HFC,"$7,687.30"
Nintey Nine Group,Inv 689,23/04/2019,07/05/2019,NBN Co,NBN A417,MW417R001868 -AYCA-5QTMEE -  2KEL-07 -  68-82 Fairway Drive Kellyville NSB,NBN New Devs,"$1,200.00"
Nintey Nine Group,Inv 689,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,"ND-ACT-9BON-03-AYCA-5W2PN2-55 Sutherland Crescent, Taylor ACT - 1- TTFN",NBN New Devs Transformation,$600.00
Nintey Nine Group,Inv 689,23/04/2019,07/05/2019,NBN Co,NBN A417,"MW417R003287-AYCA-4KZ9TH-2HOR-62-457-459 Pacific Highway, Asquith Transformation",NBN New Devs Transformation,$600.00
Nintey Nine Group,Inv 690,23/04/2019,07/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2CAR-61-AYCA-4ATRUK -North Rocks Gardens - 1-HFC-DFN ,NBN New Devs DFN HFC,"$13,569.90"
Tactix Civil,Inv 073,23/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002972-AYCA-5WOZHL-2PEN-66--18 Rawson Road, South Wentworthville",NBN New Devs,"$1,221.38"
Tactix Civil,Inv 075,23/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R000616-AYCA-4VH4MG-2PTH-02-36 Barber Ave, Penrith",NBN New Devs,$728.03
Tactix Civil,Inv 076,23/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R001878-AYCA-1XN8L5-2KEL-07-9 Affleck Circuit, 9 Affleck Circuit",NBN New Devs,"$1,109.86"
Tactix Civil,Inv 077,23/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,"$1,221.38"
Tactix Civil,Inv 078,23/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003366-AYCA-4QNRBL-2KEL-03-822 Windsor Road Rouse Hill Transformation,NBN New Devs Transformation,"$1,916.86"
Tactix Civil,Inv 079,23/04/2019,31/05/2019,NBN Co,NBN A417,MW417R000629-AYCA-4OCM1V-2UND-60-260-264 Wardell Rd,NBN New Devs,"$1,817.15"
Tactix Civil,Inv 080,23/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs,"$3,240.38"
Tactix Civil,Inv 081,23/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002533-AYCA-2PNFXD-2ROS-66 -Corner Old South Road & Hamilton Street HFC DFN,NBN New Devs DFN HFC,"$1,846.65"
Tactix Civil,Inv 082,23/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002533-AYCA-2PNFXD-2ROS-66 -Corner Old South Road & Hamilton Street HFC DFN,NBN New Devs DFN HFC,"$1,305.50"
Tactix Civil,Inv 083,23/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002790-AYCA-5QBJSS-2PAR-62-7 Morton Street, Parramatta HFC DFN",NBN New Devs DFN HFC,"$1,252.23"
Tactix Civil,Inv 084,23/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002226-AYCA-4PEEEK - 2RYD-63- 17-21 Ryedale Rdm West Ryde  HFC DFN,NBN New Devs DFN HFC,$611.65
Tactix Civil,Inv 085,23/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002789-AYCA-53VL4I-2PNN-68-116a-118-castle-hill- HFC DFN,NBN New Devs DFN HFC,"$3,154.52"
Tactix Civil,Inv 086,23/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003299-2PNN-60-AYCA-5V8GEZ-31-33 SEFTON RD, THORNLEIGH",Business Segment,"$1,967.48"
Tactix Civil,Inv 087,23/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002899-AYCA-2WNBI8-2PEN-64-31,33,37B Garfield-HFC DFN",NBN New Devs DFN HFC,"$1,513.11"
Tactix Civil,Inv 088,23/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002899-AYCA-2WNBI8-2PEN-64-31,33,37B Garfield-HFC DFN",NBN New Devs DFN HFC,"$1,780.91"
Tactix Civil,Inv 090,23/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R000627-AYCA-4VSW7K-2PTH-05-10-12 Vista St, Penrith",NBN New Devs,"$1,419.81"
Worksafe,Inv 2BUR-65_20190424,24/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,$422.31
Worksafe,Inv 2RED01_20190424,24/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002435-AYCA-5BOGUB-2RED-01-11B Lachlan St, Waterloo EXT",NBN New Devs,"$2,348.87"
Worksafe,Inv AYCA2L9FVYD_20190424,24/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R001917-AYCA-2L9FVY-2HOR-02-117-119 Pacific Hwy, Hornsby",NBN New Devs,"$1,583.00"
Worksafe,Inv DFN2UND62_20190424,24/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002570-AYCA-4XIVYZ-HFC DFN-2UND-62-236-238 ILLAWARRA RD, MARRICKVILLE",NBN New Devs DFN HFC,$520.76
Worksafe,inv EPP60D_20190424,24/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,"$1,889.36"
Worksafe,Inv PYM60_20190424,24/04/2019,31/05/2019,NBN Co,,,,"$18,622.66"
Worksafe,Inv EPP-60_20190424,24/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,"$2,748.56"
Worksafe,Inv PEN-64_20190424,24/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002899-AYCA-2WNBI8-2PEN-64-31,33,37B Garfield-HFC DFN",NBN New Devs DFN HFC,"$31,765.41"
KSJDA,Inv 19/1428,26/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R000606-AYCA-56PJ6I-2GRK-01-645 Pacific Hwy, Kanwal",NBN New Devs,"$10,735.64"
FibreSole,Inv 0017,28/04/2019,31/05/2019,NBN Co,Minor Works Maximo,2EAS-67-Node Split,NBN Node Split DFN HFC,$300.00
FibreSole,Inv 0018,28/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003298-2PNN-60-AYCA-5V8GAT-1A DARTFORD RD, THORNLEIGH",Business Segment,"$1,451.38"
Coms R Us,Inv 0866,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW21728-AYCA-4HTS7R-2RIV-03-875 RICHMOND RD, MARSDEN PARK",NBN New Devs,"$4,887.36"
Albas Constrcution,Inv 050,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002470-AYCA-5E7TWE-2MEN-60-37-39 Barden Rd, Barden Ridge HFC DFN",NBN New Devs DFN HFC,"$4,655.85"
Albas Constrcution,Inv 056,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002470-AYCA-5E7TWE-2MEN-60-37-39 Barden Rd, Barden Ridge HFC DFN",NBN New Devs DFN HFC,"$3,455.00"
Albas Constrcution,Inv 053,30/04/2019,31/05/2019,NBN Co,NBN A417,ND-NSW-2RYD-64-AYCA-4P5T6R-Ryde Calibre-1-HFC-DFN,NBN New Devs DFN HFC,"$8,059.55"
Albas Constrcution,Inv 051,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002917-AYCA-4LKVQJ - 2ROC-61-551 Gardeners Road -HFC DFN,NBN New Devs DFN HFC,$268.80
Albas Constrcution,Inv 049,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002916-AYCA-49ZOSX - 2ROC-60-CIE GROUP HK-HFC DFN,NBN New Devs DFN HFC,$145.92
Albas Constrcution,Inv 054,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2EAS-64-AYCA-4K9T49 -PRESBYTERIAN AGED CARE - SP4 Brown Stree-HFC-DFN,NBN New Devs DFN HFC,"$6,795.95"
Albas Constrcution,Inv 052,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002226-AYCA-4PEEEK - 2RYD-63- 17-21 Ryedale Rdm West Ryde  HFC DFN,NBN New Devs DFN HFC,"$4,196.79"
Albas Constrcution,Inv 048,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2SEF-61-AYCA-4Q1RMX-Wood -1-HFC-DFN,NBN New Devs DFN HFC,"$21,748.08"
Albas Constrcution,Inv 055,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002737-AYCA-5HZXRM-2SHA-64-88 Reid Street, Werrington County HFC DFN",NBN New Devs DFN HFC,"$14,445.48"
Essential Traffic,Inv 0222,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002938-AYCA-52ZW78-2STL-60-Atchison Street HFC DFN,NBN New Devs DFN HFC,"$3,621.90"
Essential Traffic,Inv 0223,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002938-AYCA-52ZW78-2STL-60-Atchison Street HFC DFN,NBN New Devs DFN HFC,$705.60
Essential Traffic,Inv 0224,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002789-AYCA-53VL4I-2PNN-68-116a-118-castle-hill- HFC DFN,NBN New Devs DFN HFC,"$1,197.30"
FibreSole,inv 022,30/04/2019,31/05/2019,NBN Co,NBN A417,"ND-NSW-2GOS-20-AYCA-5OJCT8-Lot 51,155 Woy Woy Road Kariong NSW-Estate+TTFN",Minor Works Constuct,"$1,532.08"
FibreSole,inv 021,30/04/2019,31/05/2019,NBN Co,NBN A417,"ND-NSW-2GOS-20-AYCA-5OJCT8-Lot 51,155 Woy Woy Road Kariong NSW-Estate+TTFN",Minor Works Constuct,"$4,972.70"
Fibresole,Inv 025,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,2CRM-61-Node Split,NBN Node Split DFN HFC,$576.67
Fibresole,Inv 023,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,2STL-60-Node Split,NBN Node Split DFN HFC,"$1,339.49"
Fibresole,Inv 024,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,2BAL-66-Node Split,NBN Node Split DFN HFC,"$4,161.33"
Mega Cabling Solutions,Inv 1809,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002790-AYCA-5QBJSS-2PAR-62-7 Morton Street, Parramatta HFC DFN",NBN New Devs DFN HFC,"$10,474.73"
Mega Cabling Solutions,Inv 1814,30/04/2019,31/05/2019,NBN Co,NBN A417,2PET-66-Node Split,NBN Node Split DFN HFC,"$2,188.20"
Mega Cabling Solutions,Inv 1813,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,2EDG-60 Node Split,NBN Node Split DFN HFC,$342.97
Mega Cabling Solutions,Inv 1812,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,2BAN-68-Node Split,NBN Node Split DFN HFC,$997.34
Nintey Nine Group,inv 698,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,2STL-65-Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,inv 698,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,2EAS-67-Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,inv 698,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,2CRR-65-Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,inv 698,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2LAK-63- AYCA-4KG1NI-Punchbowl Development - 1-HFC-DFN,NBN New Devs DFN HFC,"$1,100.00"
Nintey Nine Group,inv 698,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2MIR-25-AYCA-5VXRM8-2 Actinotus Avenue, Caringbah South -1-Estate",NBN New Devs Transformation,$600.00
Nintey Nine Group,inv 698,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2MIR-25-AYCA-5VXRM8-2 Actinotus Avenue, Caringbah South -1-Estate",NBN New Devs Transformation,$600.00
Nintey Nine Group,inv 698,30/04/2019,14/05/2019,NBN Co,NBN A417,"MW417R002552-AYCA-4C0Z5Y - 2ROS-66-554-564 Old South Head Rd, Rose Bay",NBN New Devs,$200.00
Nintey Nine Group,inv 698,30/04/2019,14/05/2019,NBN Co,NBN A417,"MW417R002457-AYCA-4YHOA0-2PAR-63-8-12 Robilliard St, Mays Hill",NBN New Devs,$200.00
Nintey Nine Group,Inv 697,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,2CRR-65-Node Split,NBN Node Split DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 697,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,2NSY-60 Node Split,NBN Node Split DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 697,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,SERV-2MIR-29-L0130,FttC SC32,"$1,500.00"
Nintey Nine Group,Inv 697,30/04/2019,14/05/2019,NBN Co,Minor Works Maximo,SERV-2MIR-31-L0130,FttC SC32,"$1,500.00"
Techwave,Inv 1633,30/04/2019,31/05/2019,NBN Co,NBN A417,Desogn Overhead,NBN New Devs,"$7,980.00"
VS Connect,Inv 1069,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002917-AYCA-4LKVQJ - 2ROC-61-551 Gardeners Road -HFC DFN,NBN New Devs DFN HFC,$300.00
VS Connect,Inv 1069,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003246-AYCA-5SPCV6-2BOT-61-51 Chester Avenue Maroubra HFC DFN,NBN New Devs DFN HFC,$300.00
VS Connect,Inv 1069,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003233-AYCA-4ZHXIF-2KIL-62-8 Buckingham-HFC DFN,NBN New Devs DFN HFC,$300.00
VS Connect,Inv 1070,30/04/2019,31/05/2019,NBN Co,NBN A417,2RDL-61-01 49 Terry Rd Eastwood,NBN New Devs,$600.00
VS Connect,Inv 1070,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2MSV-02-AYCA-5NR7GA-Non Standard Build - 12 Berrima Road, Mo-Estate+TTFN",NBN New Devs,$600.00
VS Connect,Inv 1070,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SD2_FTTP_ND000014434_28A DIXON ROAD MOUNT RIVERVIEW NSW 2774,Held Order,$300.00
VS Connect,Inv 1071,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003181-AYCA-61L3QL -2KCL-02-Casuarina & Sailfish Way, Seaside Drive, Nautilus Way Kingscliff ",NBN New Devs,"$3,817.80"
VS Connect,Inv 1064,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SERV-2MIR-21-L0130,FttC SC32,"$11,830.00"
VS Connect,Inv 1064,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SERV-2MIR-22-L0130,FttC SC32,"$3,380.00"
VS Connect,Inv 1064,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SERV-2MIR-25-L0130,FttC SC32,"$1,820.00"
VS Connect,Inv 1064,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SERV-2MIR-26-L0130,FttC SC32,$130.00
VS Connect,Inv 1064,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SERV-2MIR-29-L0130,FttC SC32,"$5,915.00"
VS Connect,Inv 1064,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SERV-2MIR-31-L0130,FttC SC32,"$8,385.00"
VS Connect,Inv 1063,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SERV-2MON-25-L0130,FttC SC32,"$7,150.00"
VS Connect,Inv 1063,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SERV-2MON-20-L0130,FttC SC32,"$3,900.00"
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003220-AYCA-4WLRNG-2ROU-03-51-53 Foxall road,Kellyville ",NBN New Devs,$195.85
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003288 - AYCA-5L1XWG - 2LIV-67 - 365 Hume Highway, Liverpool Transformation",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R000616-AYCA-4VH4MG-2PTH-02-36 Barber Ave, Penrith",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2CYS-03-AYCA-4S2PFJ-Kaz Tower - 1-TTFN,NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW21884-AYCA-47OO3O- 2LIV-03- 188-190 Moore st, Liverpool",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R000602 - AYCA-49DBF5 - 2CRO-21 - 33-39 Croydon St, Cronulla",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW21876-AYCA-21PVTM - 2BLK-03 - 5 Second Avenue, Blacktown",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003366-AYCA-4QNRBL-2KEL-03-822 Windsor Road Rouse Hill Transformation,NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002739 -  AYCA-5U1ZX9 - 2CRO-26 -32 Seaview Street, Cronulla ",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003285-AYCA-5NKJJY-2CRO-24-25 Judd Street, Cronulla Transformation",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002384 - AYCA-5N4NUW- 2HBD-23 - 36 Wyndora Avenue, Freshwater ",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002640 - AYCA-5SX5PK - 2CRO-23 - 51-55 Burraneer Bay Road, Burraneer",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003053-AYCA-5FWMQ5 -2WRO-63-14-18 Neringah Avenue South, Wahroonga",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003220-AYCA-4WLRNG-2ROU-03-51-53 Foxall road,Kellyville ",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003284-AYCA-5T15312-2NEW-60-293 Princes Highway, Saint Peters",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003418 - AYCA-5EJRTN - 2CAM-02 - 31-31A Perry St, Campsie Transformation",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003224-AYCA-5G1AHP-2RED-01-2-14 Amelia Street, Waterloo Transformation",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2HOR-24-AYCA-4YTCRX-The Orchard-1- TTFN,NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2DAP-02-AYCA-5XRS1Z-7-9 Princes Highway, Dapto - 1- TTFN",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003287-AYCA-4KZ9TH-2HOR-62-457-459 Pacific Highway, Asquith Transformation",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BAN-70-AYCA-5TDQG3 -20-22 Craig Street, Punchbowl - 1-TTFN",NBN New Devs,$300.00
VS Connect,Inv1068,30/04/2019,31/05/2019,NBN Co,Minor Works Maximo,SD2_FTTP_ND000008778_1A Wheeo Street The Ponds NSW 2769 ,Held Order,$300.00
Comms Connect,Inv 11881,01/05/2019,30/06/2019,NBN Co,NBN A417,MW417R001688-2AYCA-4MFJ6I-CFS-03-65 Victoria Street Coffs Harbour ,NBN New Devs,"$1,754.02"
Nintey Nine Group,Inv 702,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2SEF-61-AYCA-4Q1RMX-Wood -1-HFC-DFN,NBN New Devs DFN HFC,$480.00
Nintey Nine Group,Inv 702,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2EAS-62-AYCA-31DCKF-Advanx Encore - 1-HFC-DFN,NBN New Devs DFN HFC,$120.00
Nintey Nine Group,Inv 702,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2EAS-63-AYCA-4BZSR3-HammondCare Darlinghurst - 1-HFC-DFN,NBN New Devs DFN HFC,$360.00
Nintey Nine Group,Inv 701,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2GOS-20-AYCA-5OJCT8-Lot 51,155 Woy Woy Road Kariong NSW-Estate+TTFN",NBN New Devs,"$1,175.00"
Nintey Nine Group,Inv 700,01/05/2019,15/05/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,$720.00
KSJDA,Inv 19/1432,01/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003363- AYCA-52924C-2TRT-24-38 French Rd, Wangi Wangi Transformation",NBN New Devs,$984.00
KSJDA,Inv 19/1433,03/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"HeldOrder-LOC000046278497-ORD020096712531-Unit 107, 3 Lincoln Road, Port Macquarie, NSW 2444",Held Order,"$1,024.00"
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,MW22501-AYCA-4W183C-2WLG-02-71 Auburn St Wollongong ,NBN New Devs,$809.36
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003149-AYCA-5V4B6P-2COR-09-53 Russell Street Balgownie Int,NBN New Devs,"$2,023.40"
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003422-AYCA-63B4XW-2MIR-27-65A PARTHENIA ST, DOLANS BAY ",NBN New Devs,"$3,444.13"
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003247-AYCA-5V4B6P-2COR-09-53 Russell Street, Balgownie Ext Transformation",NBN New Devs Transformation,"$2,650.80"
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R001188-AYCA-48QOI8-2NRN-05-Lodges Road, Elderslie",NBN New Devs,"$2,274.52"
