Contract,Project Name,Location,PE,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,Maximo work order,FSAM/MPS,Suburb,CSPO Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internal DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14575,20/12/2018,07/11/2018,07/11/2018,09/11/2018,19/11/2018,04/12/2018,18/12/2018,Nov-18,Dec-18,,"MW417R001950-2LIV-04-AYCA-5BV5ZG-SHOP DDS1, LEVEL 2, WESTFIELD LIVERPOOL",Liverpool,"$5,960.27","$5,746.39","$11,706.66"," $	12,877.33 ","$5,106.14",,"$5,106.14","$6,600.52",56%,Dave Yoemans,Direct Award,,,,
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14495,05/12/2018,05/11/2018,05/11/2018,12/11/2018,19/11/2018,21/11/2018,04/12/2018,Nov-18,Dec-18,,"MW417R001951-2PTH-05-AYCA-5BXC7Q-SHOP 01A2, LEVEL 1, 585 HIGH STREET",Penrith,"$2,914.87","$11,413.77","$14,328.64"," $	15,761.50 ","$5,927.90",,"$5,927.90","$8,400.74",59%,Dave Yoemans,Direct Award,,,,
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14469,29/11/2018,05/11/2018,05/11/2018,14/11/2018,22/11/2018,21/11/2018,29/11/2018,Nov-18,Nov-18,,"MW417R001952-2PTH-05-AYCA-5BXC7I-SHOP A5, FLOOR 2, 585 HIGH STREET, PENRITH",Penrith,"$13,865.48","$8,228.31","$22,093.79"," $	24,303.17 ","$12,998.04",,"$12,998.04","$9,095.75",41%,Dave Yoemans,Direct Award,,,,
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14496,05/12/2018,05/11/2018,06/11/2018,12/11/2018,19/11/2018,21/11/2018,04/12/2018,Nov-18,Dec-18,,"MW417R001953-2ROC-02-AYCA-5BXC86-DAN MURPHYS, 78-98 ARNCLIFFE STREET",Wolli Creek,"$1,499.14","$3,398.74","$4,897.88"," $	5,387.67 ","$2,437.05",,"$2,437.05","$2,460.83",50%,Dave Yoemans,Direct Award,,,,
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14497,05/12/2018,05/11/2018,05/11/2018,12/11/2018,19/11/2018,21/11/2018,04/12/2018,Nov-18,Dec-18,,"MW417R001954-2ROC-02-AYCA-5BXC8E-WOOLWORTHS, SHOP 1, 78-98 ARNCLIFFE STREET",Wolli Creek,"$4,744.32","$2,556.18","$7,300.50"," $	8,030.55 ","$3,577.12",,"$3,577.12","$3,723.38",51%,Dave Yoemans,Direct Award,,,,
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14498,05/12/2018,31/10/2018,05/11/2018,15/11/2018,22/11/2018,21/11/2018,04/12/2018,Nov-18,Dec-18,,"MW417R001955-2NRN-02-AYCA-5GNS0T-SHOP 1, 11-13 MAIN STREET, MOUNT ANNAN",Mt Annan,"$13,113.23","$3,137.48","$16,250.71"," $	17,875.78 ","$10,825.08",,"$10,825.08","$5,425.63",33%,Dave Yoemans,Direct Award,,,,
A417 RFQ,A417 RFQ New Devs,Sth NSW,Marshell Antonio,Inv 14386,14/11/2018,16/10/2018,16/10/2018,16/10/2018,24/10/2018,30/10/2018,13/11/2018,Oct-18,Nov-18,,"MW417R001276-AYCA-50T2L6-2TUM-20-76 Capper St, Tumut",Tumut,"$9,572.93","-$2,348.96","$7,223.97"," $	7,946.36 ",,,$0.00,"$7,223.97",100%,Mark Leal,26/08/2018,31/08/2018,5d,16/11/2018,77d
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14499,05/12/2018,29/10/2018,05/11/2018,09/11/2018,19/11/2018,21/11/2018,05/12/2018,Nov-18,Dec-18,,"MW417R001956-2CBT-02-AYCA-5GNRZH-WOOLWORTHS, SHOP MO1, MARKETFAIR",Campbelltown,"$5,791.37","$2,892.16","$8,683.53"," $	9,551.88 ","$6,773.24",,"$6,773.24","$1,910.29",22%,Dave Yoemans,Direct Award,,,,
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14336,29/10/2018,10/10/2018,10/10/2018,,,24/10/2018,29/10/2018,Oct-18,Oct-18,,MW417R001487-AYCA-55ZVL2-2ROU-03-45 Foxall Rd Kellyville ,Kellyville,$668.28,,$668.28, $	735.11 ,,$267.93,$267.93,$400.35,60%,Ertan Cicek,Direct Award,14/09/2018,,11/12/2018,88d
A417 RFQ,A417 RFQ New Devs,Central West,Marshell Antonio,Inv 14335,07/11/2018,17/09/2018,17/09/2018,18/09/2018,26/10/2018,27/09/2018,06/11/2018,Sep-18,Nov-18,,MW417R001420-AYCA-5FHVE5-2ORG-06-71 Bletchington Street Orange Int,Orange,"$1,990.10",$910.59,"$2,900.69"," $	3,190.76 ",,,$0.00,"$2,900.69",100%,Ertan Cicek,Direct Award,07/09/2018,,02/10/2018,25d
A417 New Devs,A417 Greenfield MDU,Sth Coast,Marshell Antonio,Inv 14937,05/04/2019,23/01/2019,23/01/2019,23/01/2019,18/03/2019,06/02/2019,04/04/2019,Jan-19,Apr-19,,"MW417R001530 - AYCA-5CXXCR - 2BTM-21 - 30 Golf Links Dr, Batemans Bay ",Batemans Bay,"$2,919.49","$5,874.36","$8,793.85"," $	9,673.24 ","$1,770.88",,"$1,770.88","$7,022.97",80%,Ertan Cicek,Direct Award,18/09/2018,,20/11/2018,63d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14262,15/10/2018,20/09/2018,20/09/2018,,,04/10/2018,18/10/2018,Sep-18,Oct-18,,MW417R001497-AYCA-4BC964-2BLK-11-Fairwater Boulevard Blacktown,Blacktown,"$5,336.12",,"$5,336.12"," $	5,869.73 ","$1,105.82",,"$1,105.82","$4,230.30",79%,Ertan Cicek,Direct Award,17/09/2018,,12/12/2018,86d
A417 New Devs,A417 Greenfield MDU,Sydney Sth,Marshell Antonio,inv 14909,10/04/2019,20/02/2019,20/02/2019,15/02/2019,26/03/2019,06/03/2019,11/04/2019,Feb-19,Apr-19,,"MW417R001524-AYCA-45U68U-2PTH-12-5 CULLEN AV, JORDAN SPRINGS",Jordan Springs,"$10,684.80","-$4,767.64","$5,917.16"," $	6,508.88 ",,,$0.00,"$5,917.16",100%,Ertan Cicek,Direct Award,18/09/2018,,30/11/2018,73d
A417 RFQ,A417 RFQ New Devs,Sth NSW,Marshell Antonio,Inv 14637,18/01/2019,10/12/2018,10/12/2018,10/12/2018,18/12/2018,24/12/2018,22/01/2019,Dec-18,Jan-19,,"MW417R001290 - AYCA-50OJVS - 2DNQ-22 - 419 Kelly St, Deniliquin ",Deniliquin,"$24,419.13","$15,576.51","$39,995.64"," $	43,995.20 ",,"$28,099.78","$28,099.78","$11,895.86",30%,Mark Leal,29/08/2018,17/09/2018,19d,21/11/2018,65d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14935,01/04/2019,23/01/2019,23/01/2019,23/01/2019,18/03/2019,06/02/2019,02/04/2019,Jan-19,Apr-19,,"MW417R001526-AYCA-2RG791-2PEN-61-5-19 Toongabbie Rd , Toongabbie",Toongabbie,"$1,207.53","$7,192.05","$8,399.58"," $	9,239.54 ",,,$0.00,"$8,399.58",100%,Ertan Cicek,Direct Award,18/09/2018,,30/11/2018,73d
A417 New Devs,A417 HFC DFN,Sydney,Mickey Tran,Inv 14847,21/03/2019,31/01/2019,31/01/2019,01/02/2019,11/02/2019,14/02/2019,21/03/2019,Jan-19,Mar-19,,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,Epping,"$32,019.38","$127,924.42","$159,943.80"," $	175,938.18 ","$131,543.71",,"$131,543.71","$28,400.09",18%,Mark Leal,Direct Award,19/09/2018,,30/11/2018,72d
A417 New Devs,A417 HFC DFN Comm,Sydney,Mickey Tran,Inv 14195,28/09/2018,24/09/2018,24/09/2018,,,,25/09/2018,Sep-18,Sep-18,,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,Epping,"$13,722.59",,"$13,722.59"," $	15,094.85 ",,,$0.00,"$13,722.59",100%,Mark Leal,Direct Award,19/09/2018,,30/11/2018,72d
A417 New Devs,A417 Greenfield MDU,ACT,Marshell Antonio,,,,30/07/2019,,,,,Jul-19,Jan-00,,MW417R001664-AYCA-587UWZ-9CVI-22-7 Lowrie Street Dickson ACT ,Dickson,"$2,220.41",,"$2,220.41"," $	2,442.45 ",,,$0.00,"$2,220.41",100%,Ertan Cicek,Direct Award,28/09/2018,,31/10/2018,33d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14585,07/01/2019,03/12/2018,03/12/2018,,,17/12/2018,08/01/2019,Dec-18,Jan-19,,MW417R001652 - AYCA-5ML96W -2LIV-61 - 24 Blackwood Avenue Casula ,Casula,"$1,428.00",,"$1,428.00"," $	1,570.80 ",,,$0.00,"$1,428.00",100%,Ertan Cicek,Direct Award,28/09/2018,,23/10/2018,25d
A417 New Devs,A417 Greenfield MDU,ACT,Marshell Antonio,Inv 15107,27/05/2019,23/04/2019,23/04/2019,28/04/2019,08/05/2019,07/05/2019,28/05/2019,Apr-19,May-19,,MW417R001665-AYCA-53R6D6-9BLC-04-Nest 3 ,Gungarlin,"$7,628.33","$9,863.40","$17,491.73"," $	19,240.90 ","$1,829.40",,"$1,829.40","$15,662.33",90%,Ertan Cicek,Direct Award,02/10/2018,,30/10/2018,28d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14516,05/12/2018,23/10/2018,23/10/2018,23/10/2018,27/11/2018,06/11/2018,06/12/2018,Oct-18,Dec-18,,"MW417R001659-AYCA-54E9AY-2MER-21-RESIDENTIAL ESTATE - 4 (Block A & B), Picton",Picton,"$9,350.37","$2,343.82","$11,694.19"," $	12,863.61 ",,,$0.00,"$11,694.19",100%,Ertan Cicek,Direct Award,02/10/2018,,30/10/2018,28d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,Inv 15053,12/05/2019,05/04/2019,05/04/2019,05/04/2019,23/04/2019,24/04/2019,14/05/2019,Apr-19,May-19,,"MW417R001667 - AYCA-55XM3V - 2HBD-20 -10-12 Roger St, Brookvale",Brookvale,"$2,347.15","$8,452.78","$10,799.93"," $	11,879.92 ","$5,554.43",,"$5,554.43","$5,245.50",49%,Ertan Cicek,Direct Award,02/10/2018,,31/10/2018,29d
A417 RFQ,A417 RFQ NSB,Hunter,Mickey Tran,Inv 14943,08/04/2019,04/03/2019,04/03/2019,04/03/2019,20/03/2019,18/03/2019,09/04/2019,Mar-19,Apr-19,,MW417R001630 - AYCA-5PBMZD - 2URL-20 - 14 SALISBURY ST URALLA NSB,Uralla,$960.00,"$13,772.91","$14,732.91"," $	16,206.20 ","$5,458.90",,"$5,458.90","$9,274.01",63%,Mark Leal,27/09/2018,02/10/2018,5d,31/10/2018,29d
A417 New Devs,A417 Greenfield MDU,ACT,Marshell Antonio,Inv 14517,05/12/2018,22/10/2018,22/10/2018,24/10/2018,27/11/2018,05/11/2018,06/12/2018,Oct-18,Dec-18,,"MW417R001661-AYCA-5JRURV-9BLC-20-37 Belconnen Way, Weetangera, ACT Ext",Weetangera,"$5,878.20","$3,447.03","$9,325.23"," $	10,257.75 ",$300.00,,$300.00,"$9,025.23",97%,Ertan Cicek,Direct Award,03/10/2018,,31/10/2018,28d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14769,06/03/2019,31/01/2019,31/01/2019,31/01/2019,11/02/2019,14/02/2019,05/03/2019,Jan-19,Mar-19,,MW417R001687-AYCA-4DQ6PX-2NRN-06-Estate-Cobbitty Rd Cobbitty ,Cobbitty,"$1,391.35",$376.46,"$1,767.81"," $	1,944.59 ",,,$0.00,"$1,767.81",100%,Ertan Cicek,Direct Award,04/10/2018,,01/11/2018,28d
A417 New Devs,A417 Greenfield MDU,Nth Coast,Dane Harrington,,,18/04/2019,18/04/2019,18/04/2019,,06/05/2019,,Apr-19,Jan-00,,MW417R001688-2AYCA-4MFJ6I-CFS-03-65 Victoria Street Coffs Harbour ,Coffs Harbour,$593.24,"$5,767.26","$6,360.50"," $	6,996.55 ","$20,902.72",,"$20,902.72","-$14,542.22",-229%,Ertan Cicek,Direct Award,09/10/2018,,28/01/2019,111d
A417 New Devs,A417 Greenfield MDU,Central West,Marshell Antonio,Inv 14635,18/01/2019,20/11/2018,20/11/2018,21/11/2018,21/12/2018,04/12/2018,22/01/2019,Nov-18,Jan-19,,"MW417R001770 - AYCA-5N4YCV - 2BTH-02 - 5 Watt Drive, Robin Hill Ext",Bathurst,"$1,946.85","$3,741.20","$5,688.05"," $	6,256.85 ","$1,912.60",,"$1,912.60","$3,775.45",66%,Ertan Cicek,Direct Award,11/10/2018,,10/01/2019,91d
A417 New Devs,A417 Greenfield MDU,Sth Coast,Marshell Antonio,,,,30/07/2019,,,,,Jul-19,Jan-00,,MW417R001729 - AYCA-5KIP6Y - 2WLG-07 - 45 Rosemont Street West Wollongong ,Wollongong,"$1,592.08",,"$1,592.08"," $	1,751.29 ",,,$0.00,"$1,592.08",100%,Ertan Cicek,Direct Award,09/10/2018,,28/12/2018,80d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14761,05/03/2019,31/01/2019,31/01/2019,31/01/2019,11/02/2019,14/02/2019,28/02/2019,Jan-19,Feb-19,,MW417R001750-AYCA-4DQ9I8-2NRN-06-Cobbitty Rd Cobbitty ,Cobbitty,$669.27,$225.95,$895.22, $	984.74 ,,,$0.00,$895.22,100%,Ertan Cicek,Direct Award,09/10/2018,,17/01/2019,100d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,Inv 14934,02/04/2019,27/02/2019,27/02/2019,27/02/2019,12/03/2019,13/03/2019,04/04/2019,Feb-19,Apr-19,,"MW417R001563-AYCA-5FHXRP-2HUH-22-75 Park Road, Hunters Hill",Hunters Hill,"$3,629.09","$15,596.83","$19,225.92"," $	21,148.51 ","$4,891.30",,"$4,891.30","$14,334.62",75%,Ertan Cicek,Direct Award,09/10/2018,,11/12/2018,63d
A417 New Devs,A417 HFC DFN,Sydney West,Mickey Tran,,,29/03/2019,23/04/2019,23/04/2019,06/05/2019,07/05/2019,,Apr-19,Jan-00,,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",Toongabbie,"$43,870.72","$133,795.18","$177,665.90"," $	195,432.49 ","$120,617.71","$12,526.25","$133,143.96","$44,521.94",25%,Mark Leal,Direct Award,10/10/2018,,28/12/2018,79d
A417 New Devs,A417 HFC DFN Comm,Sydney,Mickey Tran,Inv 14263,15/10/2018,11/10/2018,11/10/2018,,,,15/10/2018,Oct-18,Oct-18,,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",Toongabbie,"$18,801.74",,"$18,801.74"," $	20,681.91 ",,,$0.00,"$18,801.74",100%,Mark Leal,Direct Award,10/10/2018,,28/12/2018,79d
A417 New Devs,A417 Greenfield MDU,Sth Coast,Marshell Antonio,Inv 14584,07/01/2019,30/11/2018,30/11/2018,30/12/2018,10/12/2018,14/12/2018,08/01/2019,Nov-18,Jan-19,,MW417R001786 - AYCA-5B4OYT - 2ULL-04 - The Lakes - 9A,Burrill Lake ,"$2,926.47","$2,282.60","$5,209.07"," $	5,729.98 ","$2,538.00",,"$2,538.00","$2,671.07",51%,Ertan Cicek,Direct Award,11/10/2018,,08/01/2019,89d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14583,07/01/2019,28/11/2018,29/11/2018,,,13/12/2018,08/01/2019,Nov-18,Jan-19,,MW417R001787 - AYCA-57Y4AJ - 2MIL-02 - 2140 Camden Valley Way - 1,Camden,$772.06,,$772.06, $	849.27 ,,,$0.00,$772.06,100%,Ertan Cicek,Direct Award,11/10/2018,,08/01/2019,89d
A417 New Devs,A417 Greenfield MDU,Sth Coast,Marshell Antonio,Inv 14634,18/01/2019,28/11/2018,28/11/2018,29/11/2018,21/12/2018,12/12/2018,22/01/2019,Nov-18,Jan-19,,MW417R002015-AYCA-568KCW-2GER-01-Mayflower Gerringong ,Gerringong,"$2,351.63","$4,251.26","$6,602.89"," $	7,263.18 ","$2,911.43",$657.30,"$3,568.73","$3,034.16",46%,Ertan Cicek,Direct Award,29/10/2018,,15/01/2019,78d
A417 RFQ,A417 RFQ New Devs,Sth NSW,Marshell Antonio,inv 14502,05/12/2018,08/11/2018,08/11/2018,14/11/2018,23/11/2018,22/11/2018,04/12/2018,Nov-18,Dec-18,,"MW417R001768-AYCA-5GWBTB-2TAH-01-4 Davies Place, Picton",Picton,"$6,488.73",$785.91,"$7,274.64"," $	8,002.10 ","$3,333.25",,"$3,333.25","$3,941.39",54%,Mark Leal,10/10/2018,11/10/2018,1d,01/01/2019,82d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14633,18/01/2019,21/11/2018,22/11/2018,07/12/2018,21/12/2018,06/12/2018,22/01/2019,Nov-18,Jan-19,,MW417R001785-AYCA-5ML96W-2LIV-61- Blackwood Avenue Casula ,Casula,"$1,357.13","$5,471.92","$6,829.05"," $	7,511.96 ","$1,761.80",,"$1,761.80","$5,067.25",74%,Ertan Cicek,Direct Award,12/10/2018,,11/01/2019,91d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14720,15/02/2019,05/12/2018,05/12/2018,17/12/2018,30/01/2019,19/12/2018,13/02/2019,Dec-18,Feb-19,,"MW417R001805-AYCA-5DVB9M-2ROC-02-4 Magdalene Terrace, Wolli Creek",Wolli Creek,"$2,319.78","$13,164.05","$15,483.83"," $	17,032.21 ","$3,184.85",,"$3,184.85","$12,298.98",79%,Ertan Cicek,Direct Award,12/10/2018,,01/11/2018,20d
A417 New Devs,NBN Assurance Wagga,Sth NSW,Andrew McPherson,Inv 14251,16/10/2018,16/10/2018,16/10/2018,,,,22/01/2019,Oct-18,Jan-19,,"MW417R002566 - 2WAG-02 -INC000008944090 - Lot 57, 18 Incarnie Cr, Wagga Wagga",Wagga Wagga,$256.28,,$256.28, $	281.91 ,,$97.66,$97.66,$158.62,62%,Tony Gabriel,,,,,
A417 New Devs,NBN Assurance Wagga,Sth NSW,Andrew McPherson,Inv 14250,16/10/2018,16/10/2018,16/10/2018,,,,22/01/2019,Oct-18,Jan-19,,"MW417R002567-2WAG-06  INC000008340723 - UNIT 3, 12 WEWAK ST, ASHMONT",Ashmont,$384.42,,$384.42, $	422.86 ,,$146.49,$146.49,$237.93,62%,Tony Gabriel,,,,,
A417 New Devs,A417 Greenfield MDU,ACT,Marshell Antonio,Inv 14643,18/01/2019,08/12/2018,08/12/2018,08/12/2018,21/12/2018,22/12/2018,22/01/2019,Dec-18,Jan-19,,"MW417R001864-AYCA-5MT9Y3-9BON-03-Bon Scott Crescent, Moncrieff , ACT Ext ",Moncrieff,"$9,092.68","$2,989.57","$12,082.25"," $	13,290.47 ",,,$0.00,"$12,082.25",100%,Ertan Cicek,Direct Award,16/10/2018,,03/12/2018,48d
A417 New Devs,A417 HFC DFN,Sydney Nth,Mickey Tran,,,11/05/2019,15/05/2019,20/05/2019,,24/05/2019,14,May-19,Jan-00,,"MW417R001793-AYCA-4WB37J-2FRE-61-36 Pringle Ave, Belrose HFC DFN",Frenchs Forest,"$35,728.26","$117,928.28","$153,656.54"," $	169,022.19 ","$101,004.53",,"$101,004.53","$52,652.01",34%,Mark Leal,Direct Award,16/10/2018,,20/12/2018,65d
A417 New Devs,A417 HFC DFN Comm,Sydney,Mickey Tran,Inv 14323,26/10/2018,17/10/2018,17/10/2018,,,,23/10/2018,Oct-18,Oct-18,,"MW417R001793-AYCA-4WB37J-2FRE-61-36 Pringle Ave, Belrose HFC DFN",Frenchs Forest,"$15,312.11",,"$15,312.11"," $	16,843.32 ",,,$0.00,"$15,312.11",100%,Mark Leal,Direct Award,16/10/2018,,20/12/2018,65d
A417 RFQ,A417 RFQ New Devs,Hunter,Dane Harrington,Inv 14944,08/04/2019,18/01/2019,18/01/2019,18/01/2019,12/03/2019,29/01/2019,09/04/2019,Jan-19,Apr-19,,"MW417R001670-AYCA-5ETO6E - 2TAM-07-7 Jack Smyth Drive, Hillvue ",Tamworth,"$13,588.63","$18,400.57","$31,989.20"," $	35,188.11 ","$20,142.57","$4,437.62","$24,580.19","$7,409.00",23%,Mark Leal,09/10/2018,16/10/2018,7d,21/12/2018,66d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,,,,30/06/2019,,,,,Jun-19,Jan-00,,"MW417R001887-AYCA-41FBT3-2NSY-02-231 Miller St, North Sydney",North Sydney,"$1,375.53",,"$1,375.53"," $	1,513.08 ","$1,449.66",,"$1,449.66",-$74.13,-5%,Ertan Cicek,Direct Award,16/10/2018,,02/12/2018,47d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14712,15/02/2019,21/12/2018,21/12/2018,20/12/2018,30/01/2019,11/01/2019,15/02/2019,Dec-18,Feb-19,,"MW417R001876-2AYCA-4R1E3Q-PTH-02-144-148 High Street & 35-37 Barber Avenue, Penrith",Penrith,$932.59,"$6,243.01","$7,175.60"," $	7,893.16 ","$2,141.26",,"$2,141.26","$5,034.34",70%,Ertan Cicek,Direct Award,16/10/2018,,04/12/2018,49d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,,,26/04/2019,26/04/2019,20/05/2019,,10/05/2019,,Apr-19,Jan-00,,"MW417R001892-AYCA-5LC14Q-2NSY-21-100 Mount street, North sydney",North Sydney,"$1,224.43","$5,590.01","$6,814.44"," $	7,495.88 ",$300.00,,$300.00,"$6,514.44",96%,Ertan Cicek,Direct Award,17/10/2018,,04/12/2018,48d
A417 RFQ,A417 RFQ NSB,Sydney West,Mickey Tran,Inv 14913,15/04/2019,14/03/2019,14/03/2019,14/03/2019,20/03/2019,28/03/2019,16/04/2019,Mar-19,Apr-19,,MW417R001868 -AYCA-5QTMEE -  2KEL-07 -  68-82 Fairway Drive Kellyville NSB,Kellyville,$960.00,"$3,408.15","$4,368.15"," $	4,804.97 ","$1,200.00",,"$1,200.00","$3,168.15",73%,Mark Leal,16/10/2018,18/10/2018,2d,26/11/2018,39d
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14854,25/03/2019,16/01/2019,16/01/2019,16/01/2019,12/03/2019,30/01/2019,25/03/2019,Jan-19,Mar-19,,"MW417R001859-AYCA-5NM0LP-2BUR-65-118 Burwood Road, Croydon Park ",Croydon Park,"$6,061.73","$12,246.35","$18,308.08"," $	20,138.89 ","$6,847.32","$4,150.25","$10,997.57","$7,310.51",40%,Ertan Cicek,Direct Award,18/10/2018,,03/12/2018,46d
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14545,14/12/2018,13/11/2018,13/11/2018,13/11/2018,22/11/2018,28/11/2018,14/12/2018,Nov-18,Dec-18,,"MW417R001958-2SHH-04-AYCA-5GNS19-SHOP 1097, 211 LAKE ENTRANCE ROAD",ShellHarbour,"$9,278.44","$5,236.06","$14,514.50"," $	15,965.95 ","$7,245.90",,"$7,245.90","$7,268.60",50%,Dave Yoemans,Direct Award,,,,
A417 New Devs,A417 Business Segment,Sydney,Mickey Tran,Inv 14493,05/12/2018,29/10/2018,05/11/2018,09/11/2018,19/11/2018,21/11/2018,04/12/2018,Nov-18,Dec-18,,"MW417R001961-2ABN-02-AYCA-5GN6MZ-SHOP 2, 1 RUSSELL STREET, ALBION PARK ",Albion Park,"$6,802.60","$5,870.02","$12,672.62"," $	13,939.88 ","$4,841.62",,"$4,841.62","$7,831.00",62%,Dave Yoemans,Direct Award,,,,
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14719,15/02/2019,05/12/2018,05/12/2018,17/12/2018,30/01/2019,19/12/2018,15/02/2019,Dec-18,Feb-19,,"MW417R001910-2AYCA-2M3M8J-PTH-05-72-84 Empire Circuit, Penrith",Penrith,"$1,915.96","$5,533.73","$7,449.69"," $	8,194.66 ","$3,749.57",,"$3,749.57","$3,700.12",50%,Ertan Cicek,Direct Award,19/10/2018,,07/12/2018,49d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,,,,30/07/2019,,,,,Jul-19,Jan-00,,"MW417R001878-AYCA-1XN8L5-2KEL-07-9 Affleck Circuit, 9 Affleck Circuit",Kellyville,"$4,049.37",,"$4,049.37"," $	4,454.31 ","$1,109.86",,"$1,109.86","$2,939.51",73%,Nabeel Jaimon,Direct Award,19/10/2018,,04/12/2018,46d
A417 New Devs,A417 Greenfield MDU,ACT,Marshell Antonio,Inv 14623,16/01/2019,07/12/2018,07/12/2018,,,21/12/2018,15/01/2019,Dec-18,Jan-19,,MW417R001903-AYCA-5JRURV-9BLC-20-Estate-37 Belconnen Way Weetangera ACT Int,Weetangera,"$1,592.08",,"$1,592.08"," $	1,751.29 ",,$342.00,$342.00,"$1,250.08",79%,Nabeel Jaimon,Direct Award,22/10/2018,,12/12/2018,51d
A417 New Devs,A417 Greenfield MDU,Sydney CBD,Dane Harrington,,,,30/06/2019,,,,,Jun-19,Jan-00,,"MW417R001914 - AYCA-4DBFGM - 2NEW-20 - 87 Parramatta Rd, Camperdown",Camperdown,"$1,743.13",,"$1,743.13"," $	1,917.44 ",$300.00,,$300.00,"$1,443.13",83%,Ertan Cicek,Direct Award,22/10/2018,,08/10/2018,-14d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,,,,30/06/2019,,,,,Jun-19,Jan-00,,"MW417R001917-AYCA-2L9FVY-2HOR-02-117-119 Pacific Hwy, Hornsby",Hornsby,"$1,415.68",,"$1,415.68"," $	1,557.25 ","$6,251.12",,"$6,251.12","-$4,835.44",-342%,Ertan Cicek,Direct Award,23/10/2018,,08/12/2018,46d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,,,23/03/2019,25/03/2019,23/03/2019,24/05/2019,08/04/2019,,Mar-19,Jan-00,,"MW417R001916-AYCA-4DW3WX-2HOR-62-18-22 Lords Ave + 421-425 Pacific Hwy, Asquith",Asquith,"$1,922.68","$4,029.98","$5,952.66"," $	6,547.93 ","$2,053.86",,"$2,053.86","$3,898.80",65%,Ertan Cicek,Direct Award,23/10/2018,,08/12/2018,46d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,,,05/03/2019,05/03/2019,05/03/2019,16/05/2019,19/03/2019,,Mar-19,Jan-00,,"MW417R001913-AYCA-35V4R1-2HOM-03-208-214 Parramatta Rd, Homebush",Homebush,"$1,037.08","$13,389.36","$14,426.44"," $	15,869.08 ","$8,936.65",,"$8,936.65","$5,489.79",38%,Ertan Cicek,Direct Award,23/10/2018,,08/12/2018,46d
A417 RFQ,A417 RFQ New Devs,ACT,Marshell Antonio,inv 14500,05/12/2018,05/11/2018,05/11/2018,07/11/2018,22/11/2018,19/11/2018,04/12/2018,Nov-18,Dec-18,,"MW417R001847-AYCA-5K3OHQ-9KBA-23-93 Ivo Whitton Circuit, Kambah",Kambah,"$3,248.50",$357.12,"$3,605.62"," $	3,966.18 ",,$541.83,$541.83,"$3,063.79",85%,Mark Leal,12/10/2018,23/10/2018,11d,03/01/2019,72d
