RequestID,EFSCD,Project Status,Comments:
AYCA-31DCKF,31/01/2019,Completed,"06/07 - Lead in conduit to be brought out within next week, comms room possibly ready in two weeks. lead in has been changed to Boundary Rd not Neild Av. 09/07 ready 16/07
17/07- Civils and splicing booked in for tomorrow 
19/07- Blockages to be flushed 23/07, link up completed
25/07 - Blockage rectified and cable hauled, waiting on developer internal pathways
26/07- Scheduled for splicing next week
03/08 - Pushed out to next week, week starting 06/08"
AYCA-3O2CEB,30/07/2019,Developer Delay,"22/07 - Material order request sent, site visit required
26/07-  Clarify with NBN regarding one cable for two building developments
17/08 - Request for clarity on 10/08"
AYCA-34MTV2,,Completed,
AYCA-57JCRY,30/07/2019,Site Visit,"01/03- A month away frtom bringig out LIC
07/03- Uable to rope through congested conduit, requires extensive new build, or alternate route with road crossing"
AYCA-35V4R1,31/01/2019,Completed,"09/11- Check LAANs, may have to submit ROP 10 days before construction
15/11- Internals commenced
01/12- Still awaiting ROL
11/01- No change, requested to put a new application in"
AYCA-3O8ECI,30/06/2019,Site Visit,05/04 - Work order received yesterday
AYCA-39AB50,,Completed,"06/07 - Waiting on developer to link up to our pipe at boundary, unable to haul cable yet.
19/07- scheduled for splicing and haul week starting 23/07. 
26/07 - Scheduled for splicing and haul week starting 30/07"
AYCA-39XZGZ,,Completed,
AYCA-3A485K,,Completed,
AYCA-3AVVT5,16/11/2018,Completed,"06/08- Requires site visit
28/08- A end FJL is not currently built. FSD cable is in the pit
30/08- VPL forecasted to complete FJL construction 25/09
05/10 - No response from NBN regarding confirmation of Parent site. Hauling has been completed, pending splicing
09/10 - FJL still not built, followed up with NBN 
12/10- Still awaiting response from NBN regarding A end
17/10- Dealayed for road works, awaiting NBN response regarding VPL new schedule
27/11- Still no word on parent site
11/12- No change
06/01- No change
18/01- No change
22/03- Splicing completed
28/03- Waiting for new Workbook"
AYCA-3BBGCI,,Completed,
AYCA-3CFI3W,02/02/2019,Completed,"18/05 - Internal PDH Dependent - waiting on PDH
26/07 - Internal started this week, PDH will be installed 27/07
03/08 - awaiting for advise from Ertan in regards to PDH installation
09/08- PDH Installed, splicing scheduled week starting 13/08.
10/08- Splicing scheduled to be completed week starting 13/08
15/08- Complete internal haul and insert into PDH outstanding"
AYCA-4DBFGM,28/06/2019,Site Visit,"14/03- Just at framing stage
31/05- Scaff down in 6 weeks"
AYCA-3D0J11,18/02/2019,Completed,"06/07 - Developer advised 3 months from 13/06 until LPC ready. Follow up 6 weeks from 13/06
26/07: No change
10/08- Comms room expected to be built in 6 weeks time.
26/10- Hoarding to come down in a month or two
23/11- Unable to contact
01/12- Unable to contact, crew sent out to rod and rope and discovered public domain works already complete
06/01- Upon discussion with developere, advised that public domain works were from site next door. They have poured ashpalt footpath over telstra pits
15/02- Scheduled WS 18/02"
AYCA-42HX6R,23/10/2019,Site Visit,07/12- Developer unwilling to give any information. Only wants to speak to Ertan
AYCA-5M5JQ0,22/08/2019,Site Visit,
AYCA-3G34XT,,Completed,
AYCA-3I8XUO,,Completed,
AYCA-3JJIX9,28/02/2019,Completed,"31/08 - Lead-in is ready, revise civil plans to send to Saman and Ertan. Connection back to comms not ready
07/09 - Confirmed all ready for link up and haul for WS 10/09
14/09 - Pit install and link up today
27/09- Awaiting PDH
14/12- PDH installed"
AYCA-3K4RCM,,Completed,
AYCA-3L48XJ,,Completed,
AYCA-3LT1P4,,Completed,
AYCA-3NFID7,31/01/2019,Completed,"06/07 - Approx 2 months away (29/07)
25/07- Comms room ready, waiting for lead in conduit
03/08 - No change
09/08- Waiting for construction conmpany to call back 
15/08- Third message left with construction company, no return calls 
22/08 - Site visit from crew attended today, waiting for feedback on progress/details
23/08 - Still concrete slab, obtained contact details, still approx 2 months away
07/09 - 4 weeks away and developer is bringing trenching lead-in plus power same time to bring to boundary, follow up in 2 weeks - Clarify if P100 or P50 - P100 will require pit upgrade
10/10- Could not contact
11/10- Developer advises another two weeks, pushed out due to rain
25/10- Call next friday, trenching to commence next week, requires closing down a coffee shop to bring conduit to front
02/11- Coffee shop closing 07/11, aiming to be ready 12/11
09/11- Advised the coffee shop is now closed and escavation has begun, hopefully next friday LIC will be complete
15/11- Advises it will be ready next week
23/11- Developer advises it will be ready next week again. He will call to confirm. 
30/11- With NBN, possibility of redesign. waiting for comms cupboard to be built. 
13/12- Civils and haul completed, waiting on internals
06/01- No change"
AYCA-4P3YPZ,22/02/2019,Completed,"11/02- LIC brought out in middle of developement at around 100mm cover. ACM 4 pit ok to link into. Construction 2-3 weeks away
22/03- Blockage on route in footpath
11/04- Civils and haul complete, splicing commencing WS 15/04"
AYCA-5CQHIP,21/12/2019,Site Visit,
AYCA-3G1TZ6,21/06/2019,Site Visit,24/05- Civils scheduled next week
AYCA-3TBATE,,Completed,
AYCA-3TP6RP,,Completed,
AYCA-3V5BM6,,Completed,
AYCA-413V2N,,Completed,
AYCA-413Z64,30/11/2018,Completed,"06/07 - further developer delay due to weather and builder not running on schedule, no escavator on site still, at least another 2 weeks.
09/11- Should be ready 16/07
17/07- Scheduled in tonight "
AYCA-41AL6Q,,Completed,
AYCA-47OO3O,20/06/2019,Developer Delay,"06/07 - Site had no structure, only temp fencing at time of inspection 27/03
26/07: No change
03/08 - no change
02/05- Need to locate buried pits out the front to determine which to link into "
AYCA-5K1HTP,20/06/2019,Site Visit,26/05- Developer to pour footpath soon
AYCA-5NXLZB,19/06/2019,Site Visit,07/03- Unable to contact
AYCA-42N8QF,01/04/2019,Completed,"06/07 - Site had old buildings not knocked down yet, fencing at time of inspection 03/04. Incorrect EFSCD
26/07 - no change. scheduled second site visit on the 13th of August
03/08 - no change
11/10- Call in two months for follow up as advised by developer
07/09- Scheduled to scope WS 11/03
08/03- LIC brought out to pit, left 200m away. 1 bend and a 1m piece of conduit required.
"
AYCA-5L4YBN,15/03/2019,Completed,"12/04- Requires CRQ, MPT upgrade and patching only
16/04- CRQ booked for 06/05"
AYCA-442ZEA,,Completed,
AYCA-44H3AU,,Completed,"06/07 - everything ready to go excpet PDH. Will need to be night works due to being infront of site entry
19/07- Civils week starting 06/08
26/07 : PDH planned to be installed week ending 03/08
30/07- PDH installed, schedule civils and haul 03/08
03/08 - Civil and haul scheduled for week starting 06/08
09/08- Civils completed, site meeting with NBN on 13/08 to discuss new build. 
15/08- New build scheduled week starting 20/08
22/08 - Civils and haul complete. Splicing 24/08"
AYCA-44MH0G,,Completed,"06/07 - Civils 100% complete up to boundary, hauling up to lead-in pit. Lead-in from developer not ready. Follow up developer when lead-in will be installed - Joe 0411121298
12/07- Check with Ertan that PDH has been installed before sending haulers out to complete, site 2 weeks away. 
24/07- Site another week and a half away
26/07 - PDH was installed. Follow up with the developer on the 31st of July
27/07- Sceduled to complete week starting 30/07
03/08 - construction in progress. PDH is installed today, not as per the advise on the 26th of July"
AYCA-45LS90,,Completed,"10/08 - LAANs 20/08 start date
15/08 - Confirm if civils is required
16/08 - No Civils required, ready for haul and splice
28/08- Scheduled for 29/08"
AYCA-45Q6J5,,Completed,"07/06 - Internal PDH Dependent
12/07 - No change
26/07 - PDH is installed
03/08 - No change
09/08- Splicing scheduled week starting 13/08
16/08 - Field completed, pending artefacts"
AYCA-45U68U,07/01/2019,Completed,"20/09 - Internals completed, require site visit
04/10 - Developer require jack hammer out front for us to get lead-in link up. Confirm with dev. Also require CRQ, dropping DJL on existing DSS run
05/10 - Require special CRQ for outage
11/10- Requires drill shot 
19/10- Land M Trenchless to submit quote by Monday 22/10
25/10- Quote submitted on 23/10, awaiting response
02/11- No change
08/11- Still waiting on Opticom response on agreement
15/11- No change
23/11- Opticom agreement obtained, waiting for clarification on whether we can install lead in into pit as well as haul through conduit.
30/11- Looking into new plans with Opticom contact
14/12-OPticom site visit scheduled for today, but cannot contact rep
11/01- Scheduled civils and haul 14/01
18/01- Pushed out week starting 21/01"
AYCA-468RZY,04/02/2019,Completed,"06/07 - Developer advised end of July lead-in approx ready
25/07 - Site still 3-4 months away,
03/08 - No change
28/08- Unable to contact 
11/10- Requires site visit to discuss where to bring conduit out
19/10- Developer to bring conduit out on side street, electrician to do this before footings are dug out
07/11- Jemena spotter booked for Monday
15/11- Civils complete, CRQ booked for 28-30 Nov
30/11- New CRQ raised for 17/12, unable to contact developer for update on internals
13/12- Awaiting internal pathways, MPT upgrade and civils complete. Will terminate external cable when we return for internals
18/01- Pathways certified, scheduled week starting 28/01"
AYCA-468RZY,,Completed,
AYCA-476RM9,15/02/2017,Completed,"27/07- CRQ from the 31/07, Scheduled in to complete work
03/08 - MPT upgrade completed. Integration scheduled in for Monday, 06/08
14/08 - Second integration due to faulty card. Scheduled today
15/08- Faulty equipment, new Chassis ordered on 17/08 - confirming material ETA
28/08 - Advised material should arrive today. Need to schedule with integration team etc, will need follow up on date
07/09 - Chasis did not resolve issue, require RANI card, ordered, pending ETA
14/09 - Materials received, scheduled works to commence WS 17/09
28/09- Still having issues with equipment
02/10 - Tech spoke to Mark Leal, waiting for update
09/10 - Reordered all new parts/cards. 613870"
AYCA-47C97W,,Completed,
AYCA-Y8UNL,14/09/2019,Site Visit,
AYCA-47STWW,01/02/2019,Completed,"01/12- Waiting on PON Patching
07/12- Developer to install conduit for us, only need to corehole into manhole, need to send through SWMS
11/01- Develoepr to open trench for us on Thursday, we lay pipe on Friday"
AYCA-48280D,,Completed,06/07 - Scheduled for splicing 09/07
AYCA-48HHL8,,Completed,"06/07 - Ordered materials, require site visit
17/07- site visited, waiting on details
19/07- Waiting for lead in mark up to be sent through
26/07: second site visit 27/07
03/08 - Waiting to hear back from developer regarding whether we do the pit upgrade or not 
15/08- Construction scheduled week starting 20/08 (Confirming PDH install date)
16/08 - Waiting for ROL to commence then civils can commence
30/08- Altus error in booking ROL, expecting to receive this by Friday 31/08
05/09- Scheduled Monday 10/09 
14/09 - Civils completed
21/09 - Waiting on PDH to be installed
14/11- PDH installed, hauling on saturday, splicing next week"
AYCA-1XN8L5,13/11/2019,Site Visit,"02/11- Still awaiting LAANs
04/04- Advised site may be pushed out, develoepr to contact when LIC and comms room ready
18/04- Road crossing starter pipe finishes under road. May be better option to do new one with grundy"
AYCA-4PPBEB,04/03/2020,Site Visit,"27/11/- Dependent on Datateks 2RYD-63 DFN
01/12- Scoped by Mick Gale, not ready until next year"
AYCA-48V6NM,,Completed,"06/07 - New LAANs received, schedule in 11/07 as LAAN date revised
12/07 - Civils complete 12/07, splicing 16/07"
AYCA-49OZC4,28/01/2019,Completed,"15/02- Pending tunnell access approval, waiting on TUN number from NBN"
AYCA-49Z80V,,Completed,
AYCA-4A5XPU,,Completed,
AYCA-4B5K39,,Completed,
AYCA-4Z6R8L,31/01/2020,Site Visit,"18/07 - Materials ordered, needs site visit
27/07- Site visit organised week starting 30/07
03/08 - no change"
AYCA-4BBYMK,16/01/2019,Completed,"29/06 - Dependent site won't be built till mid August AYCA-4BBYMK
03/08 - no change
06/08- Dependant site pushed out until October
17/08 - no change
28/08- Dependant site forecast completion 16/10
16/10 - Mark advised pushed out to 27/11
17/12- Dependednt site due this week, schedule for first week back
11/01- Splicing remaining"
AYCA-4BC75L,,Completed,"24/07 - Pending dependent site to be ready. Waiting for NBN PM to confirm
03/08 - No change
10/08- Waiting for information on dependant site 
16/08 - NBN estimate MPT ready 08/10
20/08 - Mark leal advised: for construction once site ready 06/09 - perform patch and test, PC pack 2 days after"
AYCA-4BT0OX,,Completed,
AYCA-4C0Z5Y,15/03/2019,Completed,"14/03- Scheduled 18/03, 3m trench and corehole into manhole
22/03- Haul and civils complete, waiting on A end"
AYCA-4CG9U4,13/12/2018,Completed,"06/07 - boards come down when crane comes down in 2-3 weeks. Tony will call when this happens hopefully 18th july. contact 0424892073
23/07- Another 3-4 weeks
26/07: still waiting on developer
03/08 - No change
30/08- Unable to contact
05/09- Established contact, developer advised WS 24/09 hoarding down, require follow up before crew commences
20/09 - Advised Internals commencing soon, require follow up when hoarding down
27/09-Hoarding is down, starting Kerb and Gutter week starting 01/10/2018, developer to advise when he starts footpath as we will come in at that time to ensure the pit is upgraded to the correct level
04/10 - Require follow up regarding site access for WS 08/10
10/10- Kerb and gutter work pushed out due to weather, now looking at getting access for end of week starting 15/10
17/10- Civils scheduled for 18/10, developer advises we will have full access
18/10 - ACM Pit removal scheduled today - also internals have been completed"
AYCA-26KP9Q,10/12/2019,Developer Delay,"06/07 - EFSCD pushed out till 01/02/2019, developer advised nothing ready at this stage since visit 16/03
26/07: No Change
03/08 - no change"
AYCA-4DQ6PX,25/01/2019,Completed,"05/11- No a end
11/01- A end built, scheduled for construction week starting 14/01"
AYCA-4DQ9I8,25/01/2019,Completed,"05/11- No a end
11/01- A end built, scheduled for construction week starting 14/01"
AYCA-4DRN0U,,Completed,
AYCA-4EE89M,,Completed,
AYCA-4EITU0,14/01/2019,Completed,"09/11- Awaiting Endeavour energy response regarding stand by
15/11- No standby needed, "
AYCA-4EOA07,,Completed,
AYCA-4EZRCH,31/01/2019,Completed,"06/07 - Developer advised 2 months until comms room ready, contact back in 6 weeks from 13/06
20/07- unable to contact
24/07- No change to site, call in 4 weeks for an update 
03/08 - no change
30/08- Comms room to be built next week, LIC to be built in 4 weeks
23/11- Advised to call back in three weeks when the stormwater has been installed
11/01- Unable to contact
18/01- Stormwater being put in now, 
15/02- Sceduled WS 18/02
01/03- Waiting to hear back from developer regarding damaged pit by Ausgrid
07/03- Pit has been replaced, ready for us
14/03- Civils complete"
AYCA-5QVLJR,20/11/2019,Design,05/04 - NDD to be submitted 08/04
AYCA-4GPKZN,,Completed,
AYCA-4IEHVB,,Completed,"06/07 - Civils and hauling complete, confirming pairs, need 3 more pairs as pillar range 1-100 are taken"
AYCA-4JM0L9,,Completed,"06/07 - Civils completed, waiting on VPL installing the MPT at A END
16/07 - VPL schedule to build A END by end of week, potential to schedule next week
20/07- Advised VPL has pushed this back
25/07 - Lindy to advise latest update this week. Follow up with Lindy 30/07
31/07 - Lindy advised MPT is installed
01/08 - construction completed"
AYCA-4KBL5R,,Completed,"06/07 - Duct issues due to relocation of BMPT, not as per plan. Possibly rehaul required
10/07- Hauling completed"
AYCA-4KKMW0,,Completed,"10/08 - Request to NBN when parent site will be completed to schedule work
10/08 - Parent site completed since 2016, should be ready to patch, complete
28/08- Attended site, incorrect MPT (not 12 but 8), request if need to upgrade MPT with outage to patch the remaining"
AYCA-4KNB05,,Completed,"13/08 - Materials ordered, site visit required, LAAN received
16/08 - LAAN - Access start date 22/08, RRP/Civils/Haul commencing 24/08, Splicing week commencing 27/08
20/08 - Hauling complete, ready for splicing schedule"
AYCA-4KZ476,,Completed,"06/07 - Site visit this week and site still same condition. LPC not ready
17/07 - Following up with developer, will return and advise of status
25/07 - Civil trench P50 external to build route, cannot use P20, developer still delay
17/08 - Developer site sheds still in way of lead-in, developer still delay
28/08- PDH Installed
30/08- Site visit this afternoon to organise a date and see what needs to be moved
05/09- Awaiting response from developer regarding possible change of design"
AYCA-41DY76,18/10/2019,Site Visit,"11/01- Sheduled week starting 21/01
18/01-EFSCD moved out"
AYCA-4LISRC,,Completed,"06/08- LAANs received
17/08 - Planned site visit 17/08 to confirm build
28/08- Hauling completed, splicing scheduled 28/08"
AYCA-4LM7HH,,Completed,"06/07 - Revisit, confirm road crossing exist, confirm corehole, ROL small window, require renew, night works, L/P/C not ready
26/07: No change
03/08 - no change
15/08- Need another site visit to guide developer where to corehole and shoring wall and HV is within work zone. 
07/09 - Waiting on ROL, night works
14/09 - ROL received, night works to commence 18/09
05/10 - Link up completed
11/10- Second visit discovered a road crossing, proposal to come
12/10- Awaiting new LAANs and design
08/11- Awaiting cable tray from developer"
AYCA-4LQOVR,,Completed,
AYCA-54WJL3,06/09/2019,Developer Delay,"04/07 - Cable is hauled up to lead-in pit. Empty lot with no building and fenced off area. Incorrect EFSCD
26/07: Correct EFSCD obtained. Follow up site visit on the beginning of September
03/08 - No change
30/11- Contact details requested"
AYCA-4LVG38,12/01/2019,Completed,"01/12- Waiting for LAANs
13/12- Internals submitted"
AYCA-4M02LB,,Completed,"06/07 - Confirmed with builder lead-in won't be ready for at least few months. 
26/07: Due for follow up on the 2nd of August
03/08 - no change
03/08- Follow up in 6 weeks - Lead-in was brought out NOT to spec 100mm cover through concrete slab
21/09 - Sent to Ertan to NBN field services, no response. NBN advised builder will have it resolved.
27/09- Developer advises another 2 months for comms room to be built
08/11- On hold as advised by NBN"
AYCA-4MFJ6I,13/02/2019,Completed,"19/10- Email sent to NBN to clarify scope
26/10- Scope confirmed, Vipin advises another project attached to this one will be sent through. 
23/11- Sent to contractor, waiting to receive dates from them to scope
09/02- Requires new build, proposal to come
07/03- Waiting on response to quote
22/03- Scheduled WS 25/03
11/04- CRQ raised for MPT swap
12/04- New materials ordered 639900"
AYCA-4MJ7W3,,Completed,
AYCA-4MJKV1,,Completed,
AYCA-4MNF1P,,Completed,
AYCA-41DSOU,02/09/2019,Developer Delay,"13/08 - Materials ordered, site visit required, LAAN received
16/08 - Site visit indicates pit and pipe after Halloway St is not ready. Earth moving machinery in place, unlikely will be ready before 05/11. Advised NBN
16/10 - Advised will schedule personnel to attend end of month
23/10- Advised EFSCD has been  pushed out until late 2019
02/05- Haul complete, cable not labelled"
AYCA-4NNOGX,28/02/2019,Completed,"06/07 - Not ready for at least 4 months time from 18/05, scaffolding, no lead-in
26/07: No change
03/08 - no change
11/10- Developer to follow up with electrician on progress
26/10- Corehole completed, waiting for conduit and cable tray
19/11- Corehole and cable tray comlplete, ready to schedule
30/11- ROL requested
06/01- ROL receieved and valid until 24/01
07/03- Unable to contact"
AYCA-4NOC4P,30/11/2018,Completed,"04/10 - Waiting on Comms room to be built, ETA waiting from builder
05/10 - Follow up with builder when hauling cable is available (link up completed)
11/10- Scheduled to complete week starting 15/10"
AYCA-4O03IQ,,Completed,"06/07 - Site delayed a fourth time, driveway expected to be poured 17th July, comms cabinet at least a week away after driveway. follow up 12/07 to see if they are on track
12/07- Driveway to be poured 17/07, Meter box possibly  week after
17/07-Driveway to be poured next week. Still a few weeks away from having meter box installed
25/07- Delayed another week.
03/08- Driveway to be poured next week, potentially ready the week after 
10/08- Developer advises to schedule in 20/08
16/08- Confirm on Monday that meter box will be installed by Wednesday.
30/08 - Site in progress build, external and internal"
AYCA-4O03IQ,,Completed,10/08- Waiting on externals
AYCA-4OHMS3,,Completed,
AYCA-4OQ160,,Completed,"10/08- Start Construction week starting 20/08
17/08 - Haul completed 17/08, splicing to commence WS 20/08
20/08 - Project pushed out for splicing @ customer available is 06/09 up to 10AM or 07/09 anytime
05/09 - Confirmed with customer booked for 07/09"
AYCA-4RJS2D,16/08/2019,Developer Delay,"13/08 - Materials ordered, site visit required, LAAN received
16/08 - LAAN - Access start date 22/08, RRP/Civils/Haul commencing 24/08, Splicing week commencing 27/08
20/08 - Site visit indicates not ready from the lead-in pit. Site doesn't seem level and no construction done
21/08 - Contacted developer, advised wont have lead-in ready for approx start of 2019"
AYCA-4PBBAI,,Completed,
AYCA-4PIIN5,,Completed,"06/07 - ready 11/07
12/07- Splicing today"
AYCA-4LT337,08/08/2019,Site Visit,"22/07 - Material order request sent, site visit required
03/08 - no change
19/12- Still escavating, two year project, folllow up in a few months to check progress"
AYCA-4PQO3D,07/01/2019,Completed,"06/07 - Unable to locate lead-in pit, lead-in to be brought out next week from 04/07, need to confirm developer, lead-in pit may require upgrade and additional P50 trench due to capacity of P20
12-07 Scheduled in for 17/07
26/07- Civils haul and splice complete, waiting on PON Patching
27/07- PON Patching received, scheduled for week starting 30/07
30/07 - MW is not available in sharepoint. PC Pack sent to Ertan via email
02/08 - MW is in sharepoint. RFC submitted 01/08. PC Pack uploaded to sharepoint today"
AYCA-54OULE,31/07/2019,Site Visit,07/03-  Site being escavated
AYCA-4Q0G0C,,Completed,
AYCA-4Q27NU,11/01/2019,Completed,"15/08 - Materials ordered, requires site visit, LAAN received
07/09 - Comms ready, pathways 99%, lead-in ready, but suggest to commence only if Test and Coil option OK"
AYCA-4QBUIV,,Completed,
AYCA-4QG9AV,,Completed,
AYCA-4QHVO8,,Completed,"22/07 - Material order request sent, site visit required
26/07- No change
03/08 - no change
11/10- Begin construction week starting 15/10
19/10- pushed out due to rain, now expecting to meet on site next Wednesday
2/11- Still waiting on correct workbook"
AYCA-4QID92,,Completed,"22/07 - Material order request sent, site visit required
24/07- RRP to commence 30/07
26/07 - Civils and haul scheduled 27/07
02/08 - Lindy advised us that CTL will be installed early next week. Proposed field completion by Wednesday, 08/08
07/08- Waiting for Ertans response on CTL installation
16/04- CTLs installed,  scheduled week starting 20/08"
AYCA-2T05DV,25/07/2019,Developer Delay,"06/07 - Materials ordered, require raise CRQ
25/07- Site visit before Monday
26/07: CRQ is for 31/07-02-08
31/07 - MPT upgrade completed
03/08- Site in early stages of construction and waiting for DA approval
19/10- Unable to contact, left message
19/10- Site has been pushed out until next year
06/02- Read email regarding LAANs
02/05- Unable to contact
08/05- advised call back in 2 weeks
31/05- Unable to contact"
AYCA-4R1C1M,,Completed,"29/06 - AJL not built yet. Confirming parent site AYCA-1WXP9R for completion. Waiting response since 12/06
26/07: no change. still waiting
03/08 - No change
"
AYCA-4R1E3Q,21/12/2018,Completed,"16/10- Requires material order
17/10- Comms room still being built, advised to call back in a month
08/11- Civils underway
09/11- Proposal sent to NBN, awaiting response
01/12- Requested ROL
14/12- ROL received, civils commenced, rain impacted schedule. "
AYCA-4R1HAL,,Completed,
AYCA-4R1HNT,,Completed,
AYCA-4R2N0H,,Completed,
AYCA-4R7UP6,,Completed,
