ILM List,
10002146,Site Manager bracket for 19 inch racks to house a Axis Dome camera and Shock Sensor adjacent to an RMM unit
10002147,Site Manager Cable Analog Input 20 feet length
10002148,Site Manager Cable Analog Input 70 feet length
10002149,Site Manager Cable to SiteBus Sensors 2m
10002150,Site Manager Cable to SiteBus Sensors 5m
10002151,Site Manager Cable Cat 5 with RJ45 Connectors 0.5m
10002152,Site Manager Cable Cat 5 with RJ45 Connectors 10m
10002153,Site Manager Cable Cat 5 with RJ45 Connectors 2m
10002154,Site Manager Cable Cat 5 with RJ45 connectors 5m
10002155,Site Manager Dell R710 Cut Down Terminal Server
10002156,Site Manager Dell R710 Server
10002157,Site Manager Dell R910 Server
10002158,Site Manager Dual E1 WAN Module
10002159,Site Manager Dual Gigabit Ethernet Fibre or Ethernet
10002160,Site Manager E1 DAC WAN Module
10002161,Site Manager Fiber Plugin for RMXWGBE40
10002162,Site Manager HSPA Modem WAN
10002163,Site Manager Optical isolator
10002164,Site Manager Industrial POE Injector
10002165,Site Manager Lantech 4 Port POE Switch High POE Power
10002166,Site Manager Lantech 4 Port POE Switch Normal POE Power
10002167,Site Manager One Slot Chassis
10002168,License Site Manager Optima RTU
10002169,Site Manager Server Red Hat Licence
10002170,Site Manager Remote Management Device
10002171,Site Manager RMB1
10002172,Site Manager RMM-1400 With RMB-2 NO WAN
10002173,Site Manager RMM-1431 NO RMB-2 WITH WAN - (Replaced by 10009213)
10002174,Site Manager cable serial 2m RJ45 Connectors
10002175,Site Manager Tiebar Cable Management 19inch Rack
10002176,Site Manager Tiebar Cable Management - 23inch Rack
10002177,Licence Site Manager Security per RMX3200 or RMM1400
10002178,Site Manager Security management server and software
10002179,Site Manager Top Level Secure Connection Server
10002180,Site Manager Two Slot Chassis
10002181,Cable Aerial Ribbon 72F
10002182,Cable Aerial Ribbon 144F
10002183,Cable Aerial Ribbon Tap 12F
10002184,Splice Enclosure FDH Mechanical Base 288F
10002185,Splice Enclosure FDH Heatshrink Base 288F
10002186,Splice Enclosure Transition Mechanical Base 144F ORS6
10002186,Splice Enclosure Transition Mechanical Base 144F ORS6
10002186,Splice Enclosure Transition Mechanical Base 144F ORS6
10002187,Splice Enclosure FDH Heatshrink Base 432F
10002188,Splice Enclosure FDH Mechanical Base 432F
10002189,Splice Enclosure FOSC400D5 576F 432F Heatshrink base incl seals
10002189,Splice Enclosure FOSC400D5 576F 432F Heatshrink base incl seals
10002190,Joint Splice Enclosure Mass and Local Heatshrink Base Oval Port ORS8
10002190,Joint Splice Enclosure Mass and Local Heatshrink Base Oval Port ORS8
10002191,Splice Enclosure FDH Mechanical Base 576F
10002192,Splice Protectors 12F Ribbon pk 100
10002192,Splice Protectors 12F Ribbon pk 100
10002192,Splice Protectors 12F Ribbon pk 100
10002193,Bracket Universal for Installation or Support for Transtion and Mass Local closure ORS6 10002186 or ORS8 10002190
10002194,Closure Accessories Bracket Installation Support SCF8
10002195,Bracket for Wall and Pole Mounting for Transtion Closure ORS6 10002186
10002195,Bracket for Wall and Pole Mounting for Transtion Closure ORS6 10002186
10002196,Bracket for Wall and Pole Mounting for Mass Local Closure ORS8 10002190
10002196,Bracket for Wall and Pole Mounting for Mass Local Closure ORS8 10002190
10002197,Closure Accessories Bracket Aerial Hanging Device
10002198,Sealing Ring for Transition Closure ORS6 10002186
10002199,Sealing Ring for Mass and Local Closure ORS8 10002190
10002200,Clamp Band for Transition Closure ORS6 10002186
10002201,Clamp Band for Mass and Local Closure ORS8 10002190
10002202,End Cap Gauage tool for Transition Closure ORS6 1002186
10002203,Closure accessories - Tool End-cap SCF8
10002204,Cap Dummy Plug for Express for Transition Closure ORS6 10002186
10002205,Closure accessories - Plug Dummy Express SCF8
10002206,Cable Entry Kit for 3 Multiport Feeder Cables for Transition Closure ORS6 10002186
10002207,Cap Dummy Plug pk 5 for Drop Port Transition Closure ORS6 1002186
10002208,Closure accessories - Plug dummy drop Port - SCF8
10002209,Branch Clamp Heat Shrink with Glue stick for Mass and Local Closure ORS8 10002190 pk 10
10002210,Closure accessories - Seal Heat Shrink Port HS1 Heat Shrink Seal and Strain Relief Hardware for 14 mm Port
10002211,Closure accessories - Heat shrink Large Round Single Port for 6 in
10002212,Closure accessories - Oval Port with Branching Kit (1 each) 6 in
10002213,Seal Heat Shrink Port HS4 Heat Shrink Seal And Strain Relief Hardware For 32mm Port ORS8 10002190
10002214,Closure accessories - Small Round port HS Ground Strap and Clamp without central member strain relief 6 in
10002215,Closure accessories - Oval Port with Branching Kit (1 each) 4 in
10002216,Seal Heat Shrink Port HS7 Heat Shrink Seal And Strain Relief Hardware For 24mm Port for ORS8 10002190
10002217,Cable Enty for Oval Port for Mass and Local Closure ORS 8 10002190 with Branching Kit
10002218,Fibre Distribution Hub FDH 432F Cabinet with 30m Cable No Splitter
10002219,Fibre Distribution Hub FDH 432F Cabinet with 100m Cables No Splitter
10002220,Fibre Distribution Hub FDH 432F Cabinet with 200m Cables No Splitter
10002221,Fibre Distribution Hub FDH 576F Cabinet with 30m Cables No Splitter
10002222,Fibre Distribution Hub FDH 576F Cabinet with 100m Cables No Splitter
10002223,Fibre Distribution Hub FDH 576F Cabinet with 200m Cables No Splitter
10002224,Fibre Distribution Hub FDH 864F Cabinet with 30m Cables No Splitter
10002225,FDH Cabinet 100m Cable Stubs 864F
10002226,Fibre Distribution Hub FDH 864F Cabinet with 200m Cables No Splitter
10002227,FDH Plinth 300mm
10002228,FDH Cable Entry Retrofit
10002229,Anchor Assembly for FDH 432F and 576F cabinets
10002229,Anchor Assembly for FDH 432F and 576F cabinets
10002230,Anchor Assembly for FDH 864F cabinet
10002231,Handle Replacement FDH Cabinet 001 Keyed Handle only no rods
10002232,Handle Replacement with Rods 432F 576F FDH Cabinet 001 Keyed
10002233,Handle Replacement with Rods 864F FDH Cabinet 001 Keyed
10002234,Extension Skirt LS 6in 432F 576F FDH Cabinets Almond
10002235,Extension Skirt LS 6in 864F FDH Cabinets Almond
10002236,Extension Skirt LS 12in 432F 576F FDH Cabinets Almond
10002237,Extension Skirt LS 12in 864F FDH Cabinet Almond
10002238,Rrplacement Shell Kit PAD only 6IN Skirt and 001 Key and 432 Almond
10002239,Kit Shell Replacment Pad only 6in Skirt 432F FDH Cabinet 001 Key Almond
10002240,Door Replacement Kit 432F 576F FDH Cabinet 001 Key Almond
10002241,Door Right Replacement Kit LS 864F FDH Cabinet 001 Key Almond
10002242,Door Left Replacement Kit 864F FDH Cabinet 001 Key Almond
10002243,Cable Ribbon Termite Protection 72F
10002243,Cable Ribbon Termite Protection 72F
10002243,Cable Ribbon Termite Protection 72F
10002243,Cable Ribbon Termite Protection 72F
10002243,Cable Ribbon Termite Protection 72F
10002244,Cable Ribbon Termite Protection 144F
10002244,Cable Ribbon Termite Protection 144F
10002244,Cable Ribbon Termite Protection 144F
10002244,Cable Ribbon Termite Protection 144F
10002245,Cable Ribbon Termite Protection 288F
10002245,Cable Ribbon Termite Protection 288F
10002245,Cable Ribbon Termite Protection 288F
10002245,Cable Ribbon Termite Protection 288F
10002246,Cable Ribbon Termite Protection 432F
10002246,Cable Ribbon Termite Protection 432F
10002246,Cable Ribbon Termite Protection 432F
10002246,Cable Ribbon Termite Protection 432F
10002247,Cable Ribbon 576F Termite Protection SDC Drum
10002247,Cable Ribbon 576F Termite Protection SDC Drum
10002247,Cable Ribbon 576F Termite Protection SDC Drum
10002247,Cable Ribbon 576F Termite Protection SDC Drum
10002247,Cable Ribbon 576F Termite Protection SDC Drum
10002248,Cable Ribbon 864F Termite Protection SDC Drum
10002248,Cable Ribbon 864F Termite Protection SDC Drum
10002249,Cable Ribbon 72F Termite Protection Cut Length
10002249,Cable Ribbon 72F Termite Protection Cut Length
10002249,Cable Ribbon 72F Termite Protection Cut Length
10002250,Cable Ribbon 144F Termite Protection Cut Length
10002250,Cable Ribbon 144F Termite Protection Cut Length
10002251,Cable Ribbon 288F Termite Protection Cut Length
10002251,Cable Ribbon 288F Termite Protection Cut Length
10002252,Cable Ribbon 432F Termite Protection Cut Length
10002252,Cable Ribbon 432F Termite Protection Cut Length
10002253,Cable Ribbon 576F Termite Protection Cut Length
10002253,Cable Ribbon 576F Termite Protection Cut Length
10002253,Cable Ribbon 576F Termite Protection Cut Length
10002254,Cable Ribbon 864F Termite Protection Cut Length
10002254,Cable Ribbon 864F Termite Protection Cut Length
10002255,Cable Stranded 48F Heavy Duty Termite Protection
10002255,Cable Stranded 48F Heavy Duty Termite Protection
10002256,Cable Stranded 72F Heavy Duty Termite Protection Drum
10002256,Cable Stranded 72F Heavy Duty Termite Protection Drum
10002257,Cable Stranded 144F Heavy Duty Termite Protection Drum
10002257,Cable Stranded 144F Heavy Duty Termite Protection Drum
10002258,Cable Single Fibre Easy Access Drop 20m
10002258,Cable Single Fibre Easy Access Drop 20m
10002259,Cable Single Fibre Easy Access Drop 30m
10002259,Cable Single Fibre Easy Access Drop 30m
10002260,Cable Single Fibre Easy Access Drop 40m
10002260,Cable Single Fibre Easy Access Drop 40m
10002261,Cable Single Fibre Easy Access Drop 60m
10002261,Cable Single Fibre Easy Access Drop 60m
10002262,Cable Single Fibre Easy Access Drop 80m
10002262,Cable Single Fibre Easy Access Drop 80m
10002263,Cable Single Fibre Easy Access Drop 120m
10002263,Cable Single Fibre Easy Access Drop 120m
10002264,Cable Single Fibre Easy Access Drop 200m
10002264,Cable Single Fibre Easy Access Drop 200m
10002265,Cable Single Fibre Easy Access Drop 300m
10002265,Cable Single Fibre Easy Access Drop 300m
10002266,Cable Single Fibre Easy Access Drop 500m
10002266,Cable Single Fibre Easy Access Drop 500m
10002267,12F Cable Ribbon Feeder 10m
10002267,12F Cable Ribbon Feeder 10m
10002267,12F Cable Ribbon Feeder 10m
10002268,12F Cable Ribbon Feeder 40m
10002268,12F Cable Ribbon Feeder 40m
10002269,12F Cable Ribbon Feeder 70m
10002269,12F Cable Ribbon Feeder 70m
10002270,12F Cable Ribbon Feeder 110m
10002270,12F Cable Ribbon Feeder 110m
10002271,12F Cable Ribbon Feeder 150m
10002271,12F Cable Ribbon Feeder 150m
10002272,12F Cable Ribbon Feeder 200m
10002272,12F Cable Ribbon Feeder 200m
10002273,12F Cable Ribbon Feeder 250m
10002273,12F Cable Ribbon Feeder 250m
10002274,12F Cable Ribbon Feeder 300m
10002274,12F Cable Ribbon Feeder 300m
10002275,12F Cable Ribbon Feeder 400m
10002275,12F Cable Ribbon Feeder 400m
10002276,Cable Ribbon Feeder 500m
10002276,Cable Ribbon Feeder 500m
10002276,Cable Ribbon Feeder 500m
10002277,Multiport 2 x n 4 Port
10002278,Multiport 2 x n 8 Port
10002279,Multiport 4 x n 12 Port
10002280,Cable Stranded 144F Heavy Duty Rodent and Termite Protection Drum
10002280,Cable Stranded 144F Heavy Duty Rodent and Termite Protection Drum
10002281,Cable Stranded 72F Heavy Duty Rodent and Termite Protection Drum
10002281,Cable Stranded 72F Heavy Duty Rodent and Termite Protection Drum
10002282,Cable Ribbon 144F Rodent and Termite Protection Cut Length
10002282,Cable Ribbon 144F Rodent and Termite Protection Cut Length
10002283,Cable Ribbon 288F Rodent and Termite Protection Cut Length
10002283,Cable Ribbon 288F Rodent and Termite Protection Cut Length
10002284,Cable Ribbon 432F Rodent and Termite Protection Cut Length
10002284,Cable Ribbon 432F Rodent and Termite Protection Cut Length
10002285,Cable Ribbon 576F Rodent and Termite Protection Cut Length
10002285,Cable Ribbon 576F Rodent and Termite Protection Cut Length
10002286,Cable Ribbon 72F Rodent and Termite Protection Cut Length
10002286,Cable Ribbon 72F Rodent and Termite Protection Cut Length
10002287,Cable Ribbon 864F Rodent and Termite Protection Cut Length
10002287,Cable Ribbon 864F Rodent and Termite Protection Cut Length
10002288,Cable Ribbon 144F Rodent and Termite Protection Drum
10002288,Cable Ribbon 144F Rodent and Termite Protection Drum
10002289,Cable Ribbon 288F Rodent and Termite Protection Drum
10002289,Cable Ribbon 288F Rodent and Termite Protection Drum
10002290,Cable Ribbon 432F Rodent and Termite Protection Drum
10002290,Cable Ribbon 432F Rodent and Termite Protection Drum
10002291,Cable Ribbon 576F Rodent and Termite Protection Drum
10002291,Cable Ribbon 576F Rodent and Termite Protection Drum
10002292,Cable Ribbon 72F Rodent and Termite Protection Drum
10002292,Cable Ribbon 72F Rodent and Termite Protection Drum
10002293,Cable Ribbon 864F Rodent and Termite Protection Drum
10002293,Cable Ribbon 864F Rodent and Termite Protection Drum
10002294,Splice Enclosure Trunk 144F Heatshrink for FOSC400A4
10002295,Splice Enclosure Heatshrink Base 288F FOSC400
10002296,Splice Enclosure Transition Mechanical Base 288F
10002297,Splice Enclosure FDH Mechanical Base 288 432F
10002298,Splice Enclosure Mass and Local Drop port seals
10002299,Splice Enclosure Mass and Local Mechanical Base Main port
10002300,Splice Enclosure Transition 288F Heatshrink Base incl Seals
10002301,Closure accessories Splice tray for A&B closures
10002302,Splice Tray Ribbon Splicing Spare for FOSC400-D5
10002303,Seal Wraparound Heat Shrink for FDH FOSC Round ports
10002304,Seal Wraparound Heat Shrink for FDH FOSC Oval Ports
10002305,Patch Cord Simplex SC APC to SC APC 1.5m
10002306,Patch Cord Simplex SC APC to SC APC 2m
10002307,Patch Cord Simplex SC APC to SC APC 2.5m
10002307,Patch Cord Simplex SC APC to SC APC 2.5m
10002308,Patch Cord Simplex SC APC to SC APC 4.5m
10002309,Patch Cord Simplex SC APC to SC APC 5m
10002310,Patch Cord Simplex SC APC to SC APC 5.5m
10002310,Patch Cord Simplex SC APC to SC APC 5.5m
10002311,Patch Cord Simplex SC APC to SC APC 6.5m
10002311,Patch Cord Simplex SC APC to SC APC 6.5m
10002312,Patch cord connector SC APC to SC APC 7.5m
10002312,Patch cord connector SC APC to SC APC 7.5m
10002313,Patch cord Simplex SC APC to SC APC 8.5m
10002313,Patch cord Simplex SC APC to SC APC 8.5m
10002314,Patch Cord Simplex SC APC to SC APC 10m
10002315,Patch Cord Simplex SC APC to SC APC 15m
10002316,Patch Cord Simplex SC APC to SC APC 20m
10002317,Pigtail SC APC 1.5m
10002318,Cords Pigtail SC/APC 2.5m
10002319,Multiport 2 x n 4 Port
10002319,Multiport 2 x n 4 Port
10002319,Multiport 2 x n 4 Port
10002320,MultiPort 4 x n 4 Port
10002321,Multiport 2 x n 8 Port
10002321,Multiport 2 x n 8 Port
10002321,Multiport 2 x n 8 Port
10002322,MultiPort 4 x n 8 Port
10002322,MultiPort 4 x n 8 Port
10002323,MultiPort 2 x n 12 Port
10002323,MultiPort 2 x n 12 Port
10002323,MultiPort 2 x n 12 Port
10002324,Multiport 4 x n 12 Port
10002324,Multiport 4 x n 12 Port
10002325,MultiPort 4 x n Mounting Bracket
10002325,MultiPort 4 x n Mounting Bracket
10002326,Frame HDODF including one base fixing kit
10002327,Door Set Frame HDODF
10002328,Side Panel Frame HDODF
10002329,ODF Subrack splice patch 72F Ribbon A SC 8x3 LP 19inch
10002330,ODF Subrack splice patch 72F Stranded A SC 8x3 LP 19inch
10002331,ODF Subrack splice only 72F Stranded LP 19inch
10002332,OEF Subrack splice patch 72F Ribbon A/SC 8x3 LP Mid Mount
10002333,OEF subrack splice patch 72F A/SC 8x3 RP
10002334,OEF Subrack splice patch 72F Ribbon A/SC 6x4 LP Mid Mount
10002335,OEF subrack splice patch 72F A/SC 6x4 RH
10002336,ODF Subrack splice patch 24F ribbon A/SC 2x4 LP 1RU 19inch
10002337,OEF Subrack splice patch 24F Ribbon A/SC 2x3 LP 1RU Mid Mount
10002338,"OEF subrack splice patch 24F A/SC 2x3 RP 1RU 21"""
10002339,ODF Subrack Cable 8F bundle for 7302 PON card
10002340,Cable 12F bundle for 7450 12 port card All ports 2.6m Long
10002341,Cable 12F bundle for 7450 48 port card bottom feed 3.1m Long
10002342,Cable 12F bundle for 7450 48 port card top feed 2.6m Long
10002343,Duct & Snap On Lid Assembly ODF Trunking 100mm
10002344,Duct & Snap On Lid Assembly ODF Trunking 220mm
10002345,ODF Trunking 100mm Joiner
10002346,ODF Trunking 220mm Joiner
10002347,ODF Trunking 100mm End Cover
10002348,ODF Trunking 220mm End Cover
10002349,ODF Trunking 100 x 100 Elbow Down Kit
10002350,ODF Trunking 50mm Drop Off Kit
10002351,ODF Trunking 100mm Break Out Kit 90 Degrees
10002352,Elbow Down Assembly ODF Trunking 100mm 90degree
10002353,Elbow Down Assembly ODF Trunking 220mm 90degree
10002354,Tee Assembly ODF Trunking 100mm
10002355,Horizontal Tee Assembly ODF Trunking 220W x 100H
10002356,Vertical Tee Assembly ODF Trunking 100W x 100H
10002357,Intra Suite Assembly Drop ODF Trunking 220 x 100mm
10002358,ODF Trunking Convoluted Tube Yellow 44mm ID x 2m length
10002359,ODF Trunking Convoluted Tube 88mm OD 2m length
10002360,ODF Trunking 220mm Break Out Kit 90 degrees
10002361,Mount Bracket Assembly ODF Trunking 220mm
10002362,Mount Bracket & Stud Assembly ODF Trunking 100mm
10002363,Cross Connector Assembly ODF Trunking 100 100mm
10002364,Cross Connector Assembly ODF Trunking 220 220mm
10002365,Adaptor LH Assembly ODF Trunking 220-100mm
10002366,Adaptor RH Assembly ODF Trunking 220-100mm
10002367,ODF Trunking Slot & Mitre Tool Kit
10002368,Mitre Box Assembly ODF Trunking 100 220 300mm
10002369,ODF Spares - Round Storage Spool Kit 210mm long (single)
10002370,ODF Spares - Round Storage Spool Kit 210mm long (pack of 10)
10002371,"ODF Spares - ""D"" Storage Spool Kit 210mm long (single)"
10002372,"ODF Spares - ""D"" Storage Spool Kit 210mm long (pack of 10)"
10002373,"ODF Spares - ""D"" Lower Ducting Spool Kit 140mm long (pair)"
10002374,ODF Spares Subrack Screw & Cage Nut Mounting Kit
10002375,ODF Spares 16mm OD Conv Tube 25.0m
10002376,ODF Spares 16mm OD Conv Tube Clip pack of 20
10002377,ODF Spares 34mm OD Conv Tube 3.0m
10002378,ODF Spares 34mm OD Conv Tube Clip pack of 10
10002379,ODF Spares - Ribbon Fibre Breakout Kit & ODF Metal Mgmt Plate & Protection Tubes
10002380,ODF Spares - Ribbon Fibre Breakout Kit 72F & Protection Tubes
10002381,ODF Spares - Ribbon Fibre Breakout Kit 144F & Protection Tubes
10002382,ODF Spares Ribbon Fibre Transport Tube Kit
10002383,ODF Spares - Dust Cover Replacement Kit (top & bottom)
10002384,ODF Spares Hazard Label Kit
10002385,ODF Spares - Lower Cable Trough Blanking Plate (no back to back racks are needed)
10002386,ODF Spares - Upper Cable Trough Bracket
10002387,ODF Spares - Lower Cable Trough Adjacent Joiner Kit
10002388,ODF Spares Back to Back Lower Duct Joiner Kit
10002389,ODF Spares Pigtails 900um with Ribbon Breakouts 3 diff lengths 1 set
10002390,ODF Spares - Pack of 20 X A/SC Through Adaptors with Short Flange
10002391,ODF Spares - Set of 3 A/SC Through Adaptor Removal Tools
10002392,ODF Spares - 2 Packs of 100 Heat Shrink Splice Protectors
10002393,ODF Spares Visible Light Source 625nm Faulty Optical Fibre Jumper Tracing Cord
10002394,ODF Spares - Set of 4 Isolating Kits for Superstructure
10002395,ODF Spares - Pair of Superstructure Mounting Brackets 140mm (D) x 220mm (H)
10002396,ODF Spares Long Superstructure mounting Brackets 110mm D x 665mm H 1 pair
10002397,ODF Spares - 6 Spare Sets of Back to Back HDODF Mounting Brackets and Bolts
10002398,ODF Spares - 6 Spare Sets of Side to Side HDODF Mounting Brackets and Bolts
10002399,ODF Spares Pack of Hook and Loop Ties 15 in all of various sizes
10002400,ODF Spares - 8 Spare Lids for Splice Trays
10002401,ODF Spares 20 Fibre Radius Guides
10002402,ODF Spares Cable Ties for Securing Entering Cables pack of 20
10002403,ODF Spares Fibre Handler TC255 Pack of 10
10002404,ODF Spares - Touch Up Paint RAL7035 Light Grey
10002405,Splice Through Kit ODF Spares pack of 10
10002406,Cleaning ODF Spares One Click A SC Connector Cleaner pack of 15
10002407,Cleaning ODF Spares One Click LC Connector Cleaner pack of 15
10002408,ODF Spares - Lint Free Paper Tissues Medical Grade
10002409,ODF Spares Subrack Cover Perspex and Labels
10002410,ODF Spares - Connector Cleaning Kit
10002411,ODF Spares Splitter Tray for HDODF
10002412,ODF Spares - Cletop Cleaning Unit SC Connector
10002413,ODF Spares - Cletop Cleaning Unit LC Connector
10002414,ODF Spares - Cletop Cleaning Unit Replacement Cartridges
10002415,ODF Spares - Through Adaptor Connector Cleaning Stick 1.25mm
10002416,ODF Spares - Through Adaptor Connector Cleaning Stick 2.5mm
10002417,ODF Spares - POLT/VOLT Unit for Eqpt Rack
10002418,ODF Spares - Heat Shrink Splice Protector for 8 or 12 fibre Ribbon Fibre
10002419,Equipment Rack ETSI 2200H x 600W x 300D
10002420,Rack Equipment ETSI 2200H x 600W x 600D v2.0
10002421,Rack Equipment ANSI 2200H x 600W x 600D v2.0
10002422,Rack Equipment ANSI 2200H x 600W x 1000D v2.0
10002423,Rack Equipment Class C 2200H x 600W x 1000D
10002424,Rack accessories Low Superstructure Mounting Brackets Pair
10002425,Rack accessories Superstructure Mounting Brackets Pair
10002426,Rack accessories Side Panel T x D for 2200H x 600W c w internal latching Earth Strap
10002427,Rack accessories Side Panel T x D for 2200H x 1000W c w internal latching Earth Strap
10002428,Rack accessories Door Telco Steel Mesh 2200H x 600W Swing Handle Euro Cylinder Barrel 3P Locking Earth Strap
10002429,Rack accessories Door T x D Mesh 2200H x 600W Swing Handle Euro Cylinder Barrel 3P Locking Earth Strap
10002430,Rack accessories Door CQr Class C Mesh 2200H x 600W Earth Strap
10002431,Distribution Unit DC
10002432,Airpax Plug CB 165A in 50kA with Aux 3 pole
10002433,Airpax Plug CB 50A in 50kA with Aux Single pole
10002434,Airpax Plug CB 2A in 50kA with Aux Single pole
10002435,Line board OLT 7302 ISAM FD 8port
10002436,OLT 7302 B+ optics
10002437,OLT 7302 C+ Optics
10002438,OLT 7302 ISAM FD 8port GPON Line board with 8 B+ optics
10002439,OLT 7302 ISAM FD 8port GPON Line board with 8 C+ optics
10002440,OLT 7302 ISAM FD rack 1 FD LT subrack
10002441,OLT 7302 ISAM FD rack 2 FD LT subracks
10002442,OLT 7302 ISAM FD rack including lock kit with 1 FD LT subrack
10002443,OLT 7302 Door Lock Kit (for XD-Mod and Universal FD ETSI Rack)
10002444,OLT 7302 ISAM FD Shelf 48V only excl Fan Unit
10002445,OLT 7302 ISAM FD Shelf 48V only incl. fan unit
10002446,OLT 7302 7302 ISAM FD Fan With Dustfilter 48V only
10002447,OLT 7302 ISAM 7302 Dummy stiffener cards for NGLT with SC fibre connector parking slots
10002448,OLT 7302 ISAM FD Fiber Routing Kit
10002449,OLT 7302 ISAM FD ETSI Universal Dummy stiffener EMC
10002450,Dust Cover for empty SFP position OLT 7302
10002451,OLT ISAM FD 320Gbps NT w BITS and SyncE w o SFP
10002452,OLT ISAM FD 100Gbps NT w/ BITS and SyncE w/o SFP
10002453,OLT SFP+ 10GE SM 1310nm Duplex LC 10km 11dB
10002454,Cable Craft OLT ISAM FD
10002455,OLT ISAM FD BITS Cable
10002456,License OLT RTU fee per ISAM 8 port LT board
10002457,GPON EMS Sun Fire X4270M2-H1-AA AMS Application Server
10002458,GPON EMS Sun Fire X4470 - AMS Database Server
10002459,GPON EMS AMS Server for Lab Sun Fire X4170 M2
10002460,GPON EMS 5520 AMS application fee
10002461,GPON EMS 5520 AMS operator license
10002462,GPON EMS 5520 AMS port licence (SDU ONT or modem)
10002463,GPON NTD SDU Indoor ICS04 (must be used in Tasmania or MDUs when 10015867 is drawn down)
10002464,NTD SDU Outdoor
10002465,GPON NTD MDU 16 VDSL2
10002466,GPON NTD MDU 24 VDSL2
10002467,GPON PTP DSLAM for MDU deployment 24 VDSL2
10002468,GPON VDSL2 modem
10002469,GPON power supply for NTD SDU Indoor
10002470,UPS for NTD SDU Indoor
10002471,Cable 3m extension for UPS for NTD SDU Indoor
10002472,GPON power supply for NTD SDU Outdoor
10002473,UPS for NTD SDU Outdoor no DC cable
10002474,Cable DC 150m roll for UPS for NTD SDU Outdoor
10002474,Cable DC 150m roll for UPS for NTD SDU Outdoor
10002475,Battery for SDU UPS
10002475,Battery for SDU UPS
