Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date
AYCA-56B97M,2SEF-61,1 Tangerine Street Fairfield East,Active,Supply Order Raised,18,FTTP – Type 2,NSW,Fairfield East,1 Tangerine Street,2165,183538,B + E,1/30/19
AYCA-4UMUPA,2KEL-07,Department of Education - 1,Active,Supply Order Raised,3,FTTP – Type 2,NSW,Kellyville,21 Fairway Dr,2155,174997,B + E,1/29/19
AYCA-49OZC4,2EAS-65,257 Oxford St - 1,Active,Supply Order Raised,19,FTTP – Type 2,NSW,Paddington,257 Oxford Street,2021,158732,B + E,1/28/19
AYCA-5M4R4N,2SHA-64,"76 Irwin Street, Werrington NSW 2747, Au",Active,Supply Order Raised,12,FTTP – Type 3 (MT-LFN),NSW,Werrington,74-76 Irwin Street,2747,188995,B + E,1/28/19
AYCA-5MG99P,2MEN-62,"593 Old Illawarra Road, Menai NSW 2234,",Active,Supply Order Raised,5,FTTP – Type 3 (MT-LFN),NSW,Menai,593 Old Illawarra Road,2234,189818,B + E,1/28/19
AYCA-5MGOY8,2MEN-62,"589 Old Illawarra Road, Menai NSW 2234,",Active,Supply Order Raised,3,FTTP – Type 3 (MT-LFN),NSW,Menai,591 Old Illawarra Road,2234,189819,B + E,1/28/19
AYCA-4YZGFK,2PEN-66,boronia st - 1,Active,Supply Order Raised,15,FTTP – Type 3 (MT-LFN),NSW,South Wentworthville,51 Boronia St,2145,177339,B + E,1/25/19
AYCA-5NM0LP,2BUR-65,"118 Burwood Road, Croydon Park NSW 2133,",Active,Supply Order Raised,12,FTTP – Type 3 (MT-LFN),NSW,Croydon Park,118 Burwood Road,2133,189216,B + E,1/25/19
AYCA-4SRFAN,2BAL-62,ALDI Store Development - Balgowlah - 1,Active,Supply Order Raised,2,FTTP – Type 3 (MT-LFN),NSW,Balgowlah,22/26 Roseberry St,2093,175478,B + E,1/22/19
AYCA-2RG791,2PEN-61,Mixed Development - 1,Active,Supply Order Raised,59,FTTP – Type 2,NSW,Toongabbie,15-19 Toongabbie Rd,2146,187086,B + E,1/19/19
AYCA-2XJBL7,2SIL-02,Site 9 - 1,Active,Supply Order Raised,9,FTTP – Type 2,NSW,Sydney Olympic Park,3 Olympic Blvd,2127,160138,B + E,1/18/19
AYCA-4EITU0,2LIV-02,The Pinnacle - 100 Castlereagh Street -,Active,Supply Order Raised,141,FTTP – Type 2,NSW,Liverpool,10 Norfolk St,2170,160664,B + E,1/14/19
AYCA-57Y170,2BRY-01,Morrow Building - 1,Active,Supply Order Raised,6,FTTP – Type 2,NSW,Berry,17 Hitchcocks Ln,2535,181585,B + E,1/14/19
AYCA-5MHAO7,2SIL-02,NSWRL Centre of Excellence - 1,Active,Supply Order Raised,6,FTTP – Type 3 (MT-LFN),NSW,Sydney Olympic Park,"Site 18, Dawn Fraser Avenue",2127,190591,B + E,1/14/19
AYCA-4LVG38,2MIL-20,"9-11 Edgeworth Place, Cartwright - 1",Active,Supply Order Raised,31,FTTP – Type 2,NSW,Cartwright,9-11 Edgeworth Pl,2168,191504,B + E,1/12/19
AYCA-4Q27NU,2BRG-03,Emerald Hills Retail Development - 2,Active,Supply Order Raised,20,FTTP – Type 2,NSW,Gledswood Hills,50 Raby Rd,2557,174487,B + E,1/11/19
AYCA-54A0VP,2PYM-62,Charles Court - 1,Active,Supply Order Raised,17,FTTP – Type 2,NSW,Warrawee,7 Cherry St,2074,191031,B + E,1/10/19
AYCA-4VJFPP,2NEW-22,"19-21 Eve St, Erskineville - 1",Active,Supply Order Raised,21,FTTP – Type 2,NSW,Erskineville,19-21 Eve St,2043,177334,B + E,1/9/19
AYCA-45U68U,2PTH-12,VC7 - 1,Active,Supply Order Raised,40,FTTP – Type 2,NSW,Jordan Springs,5 Cullen Avenue,2747,181693,B + E,1/7/19
AYCA-4PQO3D,2EPP-62,LUCILLE - 1,Active,Supply Order Raised,62,FTTP – Type 2,NSW,Epping,12/6 Maida Rd,2121,181696,B + E,1/7/19
AYCA-4R1E3Q,2PTH-02,Home On High - 1,Active,Supply Order Raised,102,FTTP – Type 2,NSW,Penrith,144-148 High Street & 35-37 Barber Avenue,2750,176345,B + E,12/21/18
AYCA-5DVB9M,2ROC-02,"4 Magdalene Terrace, Wolli Creek - 1",Active,Supply Order Raised,124,FTTP – Type 2,NSW,Wolli Creek,4 Magdalene Terrace,2205,186354,B + E,12/21/18
AYCA-5FE5LS,2LIV-03,"46-50 Hoxton Park Road, Liverpool - 1",Active,Supply Order Raised,34,FTTP – Type 2,NSW,Liverpool,46-50 Hoxton Park Road,2170,185923,B + E,12/20/18
AYCA-4CG9U4,2KNS-04,29-31 Dunning Avenue Rosebery - 1,Active,Supply Order Raised,32,FTTP – Type 2,NSW,Rosebery,29-31 Dunning Ave,2018,181955,B + E,12/13/18
AYCA-5SK61D,2NWR-03,"38 Cumberland Avenue, South Nowra NSW 25",Active,Supply Order Raised,1,FTTP – Type 2,NSW,South Nowra,39 Cumberland Avenue,2541,192782,B + E,12/5/18
AYCA-413Z64,2PAR-64,THE DARCY - 1,Active,Supply Order Raised,37,FTTP – Type 2,NSW,Westmead,2B Darcy Rd,2145,155179,B + E,11/30/18
AYCA-4NOC4P,2MIR-22,40 Cawarra Road - 1,Active,Supply Order Raised,16,FTTP – Type 2,NSW,Caringbah,40 Cawarra Road,2229,181351,B + E,11/30/18
AYCA-5PIMJX,2STL-66,"36A Park Road, Naremburn - 1",Active,Supply Order Raised,8,FTTP – Type 3 (MT-LFN),NSW,Naremburn,36A Park Road,2065,190629,B + E,10/22/18
AYCA-5L49UP,2PEN-64,"4 Water Street, Wentworthville NSW 2145,",Active,Supply Order Raised,11,FTTP – Type 3 (MT-LFN),NSW,Wentworthville,4 Water Street,2145,188325,B + E,9/10/18
AYCA-5N0IF2,2CFS-03,Non Standard Builds - 30 Park Ave Coffs,Active,Supply Order Raised,6,FTTP – Type 2,NSW,Coffs Harbour,30 Park Ave,2450,188862,B + E,8/22/18
AYCA-5MNUDQ,2KNS-03,Non Standard Builds - 221 Queen St Beaco,Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Beaconsfield,221 Queen Street,2015,187150,B + E,8/18/18
AYCA-5BXBTE,2MIR-27,"41 Langer Ave, Caringbah South NSW 2229,",Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Caringbah South,41 LANGER AVENUE,2229,183789,B + E,6/4/18
AYCA-5F1RYP,2EDG-66,"114 New South Head Road, Edgecliff - 1",Active,Supply Order Raised,7,HFC,NSW,Edgecliff,114 New South Head Road,2027,183814,B + E,6/1/18
AYCA-5FA5OM,2MIR-24,"4-6 Crammond Boulevard, Caringbah - 1",Active,Supply Order Raised,6,FTTP – Type 3 (MT-LFN),NSW,Caringbah,4-6 Crammond Boulevard,2229,184811,B + E,6/1/18
AYCA-476RM9,2LIV-04,"Non Standard Builds - 87-91 Campbell St,",Active,Dev Transferred to Build,76,,NSW,Liverpool,87-91 Campbell St,2170,159520,B + E,2/15/17
AYCA-5JRURV,9BLC-20,"37 Belconnen Way, Weetangera - 1",Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),ACT,Weetangera,37 Belconnen Way,2614,188989,B + E,1/21/19
AYCA-481ES7,2BTH-09,Sitecar - 915,Active,Supply Order Raised,3,FTTP – Type 3 (MT-LFN),NSW,Bathurst,65 George St,2795,163663,B + E,1/31/20
AYCA-41DSMK,2ROU-03,49 Halloway - 3,Active,Supply Order Raised,1,FTTP – Type 2,NSW,Kellyville,38 Hezlett Road,2155,156718,D,10/18/19
AYCA-41DY76,2ROU-03,49 Halloway - 2,Active,Supply Order Raised,6,FTTP – Type 2,NSW,Kellyville,38 Hezlett Road,2155,156720,D,10/18/19
AYCA-41DSOU,2ROU-03,49 Halloway - 4,Active,Supply Order Raised,6,FTTP – Type 2,NSW,Kellyville,38 Hezlett Road,2155,156719,D,9/2/19
AYCA-4RJS2D,2CHL-05,High Point on Edge - 1,Active,Supply Order Raised,7,FTTP – Type 3 (MT-LFN),NSW,Boolaroo,5 Edge St,2284,168810,B + D,8/16/19
AYCA-2T05DV,2RCH-04,ISAAC DEVELOPMENTS BLIGH PARK - 1,Active,Supply Order Raised,4,FTTP – Type 2,NSW,South Windsor,752 George St,2756,163188,B + D,7/25/19
AYCA-EV5EP,2DAP-01,Vista Park - 6,Active,Supply Order Raised,12,FTTP – Type 2,NSW,Wongawilli,Smiths Lane,2530,175796,D,5/31/19
AYCA-5KIP6Y,2WLG-07,"45 Rosemont Street, West Wollongong NSW",Active,Supply Order Raised,4,FTTP – Type 2,NSW,West Wollongong,45 Rosemont Street,2500,187104,B + E,5/3/19
AYCA-58PGFK,2MSV-03,4 NEW FREESTANDING VILLAS - 25 Ascot Rd,Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Bowral,25 Ascot Rd,2576,184634,B + E,4/26/19
AYCA-4H9191,2COR-03,208-210 Princes Highway - 1,Active,Supply Order Raised,7,FTTP – Type 2,NSW,Bulli,208-210 Princes Highway,2516,162471,B + E,4/12/19
AYCA-5KPEKH,2NRN-06,"Olive Hill Drive, Cobbitty - 6",Active,Supply Order Raised,6,FTTP – Type 2,NSW,Cobbitty,Olive Hill Drive,2570,191391,B + D,3/29/19
AYCA-5JIMDQ,2DBB-02,"166 Brisbane Street, Dubbo - 1",Active,Supply Order Raised,6,FTTP – Type 2,NSW,Dubbo,166 Brisbane Street,2830,192244,B + E,3/1/19
AYCA-LYHJJ,2MTT-02,Renwick - DA06B,Active,Supply Order Raised,8,FTTP – Type 2,NSW,Mittagong,10 Cardigan St,2575,183911,D,3/1/19
AYCA-4W183C,2WLG-02,The Quad - 1,Active,Supply Order Raised,4,FTTP – Type 2,NSW,Wollongong,71 Auburn St,2500,178048,B + E,2/28/19
AYCA-4W844H,2DNM-20,"Grey Gum Road, Denman - 1",Active,Supply Order Raised,4,FTTN,NSW,Denman,18A Grey Gum Rd,2328,177335,B + D,2/28/19
AYCA-5BOGUB,2RED-01,"11B Lachlan St, Waterloo - 1",Active,Supply Order Raised,67,FTTP – Type 2,NSW,Waterloo,11B Lachlan St,2017,190109,B + E,2/22/19
AYCA-4X6TWU,2LID-08,Omar Mosque - final stages,Active,Supply Order Raised,2,FTTP – Type 2,NSW,Auburn,43-47 Harrow Rd,2144,177336,B + E,2/15/19
AYCA-4MFJ6I,2CFS-03,Victoria Terrace - 1,Active,Supply Order Raised,2,FTTP – Type 2,NSW,Coffs Harbour,65 Victoria Street,2450,166142,B + D,2/13/19
AYCA-5D2DU0,2LCT-01,Seawide Estate - 4,Active,Supply Order Raised,10,FTTP – Type 2,NSW,Lake Cathie,Lot 65 Shorebreak Crescent,2445,183799,D,2/8/19
AYCA-57DG41,2BTH-01,Opal Bathurst Aged Care Facility - 1,Active,Supply Order Raised,4,FTTP – Type 2,NSW,Bathurst,93 Stanley St,2795,180126,B + E,2/7/19
AYCA-468RZY,2LID-04,23 RAILWAY PARADE - 1,Active,Supply Order Raised,5,FTTP – Type 2,NSW,Lidcombe,23 Railway Parade,2141,156882,B + E,2/4/19
AYCA-583XDD,2PTH-02,Rise Projects PTY LTD - 1,Active,Supply Order Raised,12,FTTP – Type 2,NSW,South Penrith,117-119 Jamison Rd,2750,180129,B + D,2/1/19
AYCA-577BDS,2BLK-07,36 Huntingwood Drive - 1,Active,Supply Order Raised,3,FTTP – Type 2,NSW,Huntingwood,36 Huntingwood Drive,2148,180681,B + E,1/31/19
AYCA-48QOI8,2NRN-05,ELDERSLIE - 1,Active,Supply Order Raised,7,FTTN,NSW,Elderslie,155F Lodges Road,2570,161511,B + D,1/28/19
AYCA-5MG99P,2MEN-62,"593 Old Illawarra Road, Menai NSW 2234,",Active,Supply Order Raised,5,FTTP – Type 3 (MT-LFN),NSW,Menai,593 Old Illawarra Road,2234,189818,B + E,1/28/19
AYCA-5MGOY8,2MEN-62,"589 Old Illawarra Road, Menai NSW 2234,",Active,Supply Order Raised,3,FTTP – Type 3 (MT-LFN),NSW,Menai,591 Old Illawarra Road,2234,189819,B + E,1/28/19
AYCA-4DQ6PX,2NRN-06,645 Cobbitty Road - 3,Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Cobbitty,Cobbitty Rd,2570,162516,D,1/25/19
AYCA-4DQ9I8,2NRN-06,645 Cobbitty Road - 2,Active,Supply Order Raised,6,FTTP – Type 3 (MT-LFN),NSW,Cobbitty,Cobbitty Rd,2570,162517,D,1/25/19
AYCA-4YJULB,2REV-20,Flower Power - 1,Active,Supply Order Raised,9,FTTP – Type 3 (MT-LFN),NSW,Milperra,479 Henry Lawson Drive,2214,177523,A + E,1/25/19
AYCA-4SRFAN,2BAL-62,ALDI Store Development - Balgowlah - 1,Active,Supply Order Raised,2,FTTP – Type 3 (MT-LFN),NSW,Balgowlah,22/26 Roseberry St,2093,175478,B + E,1/22/19
AYCA-4BBYMK,2ROU-01,Old Pitt Town Road - 1 Community,Active,Supply Order Raised,7,FTTP – Type 3 (MT-LFN),NSW,Box Hill,184 & 186 Old Pitt Town Rd,2765,162606,D,1/16/19
AYCA-5ALAXU,2ORG-02,Shiralee - 1A,Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Orange,104 Lysterfield Rd,2800,181921,D,1/10/19
AYCA-4HTS7R,2RIV-03,875 Marsden Park - 1,Active,Supply Order Raised,4,FTTP – Type 2,NSW,Marsden Park,875 Richmond Rd,2765,163669,B + D,12/14/18
AYCA-5SK61D,2NWR-03,"38 Cumberland Avenue, South Nowra NSW 25",Active,Supply Order Raised,1,FTTP – Type 2,NSW,South Nowra,39 Cumberland Avenue,2541,192782,B + E,12/5/18
AYCA-3AVVT5,2BRG-01,"70-100 Seventeenth Ave, Austral - 2",Active,Supply Order Raised,9,FTTP – Type 3 (MT-LFN),NSW,Austral,70 Seventeenth Avenue,2179,149109,D,11/16/18
AYCA-5MWJQ4,2MAC-22,Fairway Gardens - 1A,Active,Supply Order Raised,2,FTTP – Type 3 (MT-LFN),NSW,Macksville,222 Wallace St,2447,188997,D,10/31/18
AYCA-5QTMEE,2KEL-07,Non Standard Builds - 68-82 Fairway Driv,Active,Supply Order Raised,8,FTTP – Type 2,NSW,Kellyville,68-82 Fairway Drive,2155,190574,B + D,10/3/18
AYCA-5PYJJF,2KCL-02,Non Standard Builds - Sailfish Way Kings,Active,Supply Order Raised,28,FTTP – Type 2,NSW,Kingscliff,Sailfish Way & Seaside Drive,,190383,B + D,9/24/18
AYCA-5PBMZD,2URL-20,Non Standard Builds - 14 SALISBURY ST,Active,Supply Order Raised,4,FTTN,NSW,URALLA,14 SALISBURY ST,2358,189825,B + D,9/18/18
AYCA-4YZZ1I,2ABN-03,Boulevarde - 1,Active,Supply Order Raised,4,FTTN,NSW,Oak Flats,149 The Boulevarde,2529,175688,B + D,9/17/18
AYCA-5KAX1D,2MDG-01,"Non Standard Builds - 20 Burrundulla Av,",Active,Supply Order Raised,11,FTTN,NSW,Mudgee,20 Burrundulla Ave,2850,185812,B + D,7/23/18
AYCA-5FA5OM,2MIR-24,"4-6 Crammond Boulevard, Caringbah - 1",Active,Supply Order Raised,6,FTTP – Type 3 (MT-LFN),NSW,Caringbah,4-6 Crammond Boulevard,2229,184811,B + E,6/1/18
AYCA-5DL8UH,2MRE-02,Non Standard Builds - Boland Drive Moree,Active,Supply Order Raised,6,FTTP – Type 3 (MT-LFN),NSW,Moree,Boland Drive,2400,183224,B + C,5/10/18
AYCA-54DAGS,2PTH-07,29 Park Avenue Kingswood - 29 Park Avenu,Active,Supply Order Raised,10,FTTP – Type 2,NSW,Kingswood,29 Park Ave,2747,185853,B + D,3/1/18
AYCA-476RM9,2LIV-04,"Non Standard Builds - 87-91 Campbell St,",Active,Dev Transferred to Build,76,,NSW,Liverpool,87-91 Campbell St,2170,159520,B + E,2/15/17
AYCA-5FK9G7,2TEM-20,Non Standard Builds - 113 Baker St Temor,Active,Supply Order Raised,7,FTTP – Type 3 (MT-LFN),NSW,Temora,113-115 Baker Street,2666,187094,B + D,
