Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-01-04,Installation of cable sheath via existing or new conduit,Per linear metre, $	2.70 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-01-04-AH,Installation of cable sheath via existing or new conduit outside working hours,Per linear metre, $	4.50 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-02-01,Extra over rate for supply and install AC power cable for FTTB Cabinet,Per linear metre, $	15.99 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-02-02,Extra over rate for supply and install earth cable for FTTB Cabinet,Per linear metre, $	7.99 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-02-03,"Extra over rate for the installation of a copper cable sheaths from main distribution frame to FTTB Cabinet, via riser, shaft or cable tray",Per linear metre, $	11.76 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-02-04,"Extra over rate for the installation of copper cable sheaths via ceiling space, floor cavity or crawl space",Per linear metre, $	12.30 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-01,Installation of backbone cable in buildings,Per linear metre, $	6.10 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-02,Installation of coaxial service drop cable (lateral) from isolator to the ICD in existing or new duct and the installation of the ICD,Per drop, $	125.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-03,Installation of coaxial service drop cable (lateral) from isolator to ICD on existing or new cable tray and the installation of the ICD,Per drop, $	115.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-04,Installation of coaxial service drop cable (lateral) from isolator to ICD in cavity or communications riser and the installation of the ICD ,Per drop, $	127.90 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-05,Installation of coaxial customer premises tie-cabling from ICD to wall plate,Per wall plate, $	108.01 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-06,Installation of coaxial customer premises tie-cabling from isolator to unterminated location within ceiling void,Per Tie cable, $	82.22 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-07,Installation of coaxial customer premises drop cable from isolator to wall plate in existing or new ducting,Per drop, $	80.90 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-08,Installation of coaxial customer premises drop cable from isolator to wall plate on existing or new cable tray,Per drop, $	89.74 
Broadspectrum,Broadspectrum - DCSA,ON-CI-04-03-09,Installation of coaxial customer premises drop cable from isolator to wall plate in cavity or communications riser,Per drop, $	76.34 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-01,Removal and disposal of cable in distribution aerial Network,Per Span, $	211.02 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-02,Removal and disposal of cable in local aerial Network,Per Span, $	183.44 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-03,Removal and disposal of catenary wire in aerial Network,Per Span, $	143.97 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-04,Removal and disposal of cable in distribution underground Network,Per metre, $	1.93 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-05,Removal and disposal of cable in local underground Network,Per metre, $	1.54 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-06,Removal and disposal of cable in buildings ,Per metre, $	3.13 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-10,Removal and disposal of aerial lead in cables,Per lead in, $	64.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-11,Relocation of aerial lead in cables,Per lead in, $	117.27 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-12,Disconnect and re-connect of aerial lead in cables,Per lead in, $	71.00 
Broadspectrum,Broadspectrum - DCSA,ON-CI-05-01-15,Removal and disposal of underground lead in cables,Per lead in, $	45.10 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-01-01,Installation of a new 900 type CCU,Per new 900 type CCU, $	655.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-01-02,Installation of a new 1800 type CCU,Per new 1800 type CCU, $	655.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-01-03,"Installation of 10 cable pair bundles between two copper cable insulation displacement modules (Connection Modules), including the termination of the bundle on each Connection Module",Per 10 cable pair bundle, $	23.03 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-01-04,Cutting over existing services from an existing Connection Module to a new Connection Module,Per 10 cable pairs, $	68.80 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-02-01,Upgrading of an existing CCU from 900 type to 1800 type,Per CCU required to be upgraded from 900 type to 1800 type, $	114.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-02-02,Augmentation of an existing 900 type CCU (Pillar Expansion Option 1) ,Per Expansion CCU, $	626.43 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-02-03,Augmentation of an existing 900 type CCU (Pillar Expansion Option 2),Per Expansion CCU," $	1,216.47 "
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-03-01,Removal and disposal of an existing CCU,Per existing CCU, $	245.15 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-04-01,Replacement of Pillar Lid Lock or Pillar Cap,Per existing CCU, $	36.09 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-04-02,Installation of 2-piece Pillar Base Repair Kit,Per existing CCU, $	99.11 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-04-03,Replace Cover Lightweight (1800 Type),Per existing CCU, $	38.09 
Broadspectrum,Broadspectrum - DCSA,ON-CP-01-04-04,Replacement of copper cable insulation displacement connection module (Connection Module) and termination of cable,Per existing module, $	24.25 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-01,Installation of a new Distribution extra large copper joint,Per new Distribution extra large copper joint, $	701.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-02,Installation of a new Distribution large copper joint,Per new Distribution large copper joint, $	589.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-03,Installation of a new Distribution small copper joint,Per new Distribution small copper joint, $	350.89 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-04,Installation of a new Main Cable small copper joint,Per new Main Cable small copper joint, $	665.39 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-05,Installation of a new Main Cable medium copper joint,Per new Main Cable medium Copper joint, $	831.65 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-06,Installation of a new Main Cable large copper joint enclosure,Per new Main Cable large Copper joint enclosure," $	1,875.47 "
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-07,Installation of a new Main Cable extra large copper joint enclosure,Per new Main Cable extra large Copper joint enclosure," $	2,582.00 "
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-08,Installation of a new aerial large copper joint,Per new Distribution large copper joint, $	626.21 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-01-09,Installation of a new aerial small copper joint,Per new Distribution small copper joint, $	403.20 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-01,Rehabilitate existing Distribution large openable copper joint,Per large openable copper joint, $	98.76 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-02,Rehabilitate existing Distribution small openable copper joint,Per small openable copper joint, $	62.39 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-03,Replacement of existing Distribution in-line copper joint with a new in-line large copper joint,Per existing copper joint replaced , $	447.37 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-04,Replacement of existing Distribution in-line copper joint with a new in-line small copper joint,Per existing copper joint replaced , $	169.04 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-05,Cutting over existing services from an existing copper joint to a new large copper joint,Per existing copper joint replaced , $	566.36 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-06,Cutting over existing services from an existing copper joint to a new small copper joint,Per existing copper joint replaced , $	230.34 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-07,Rehabilitate existing aerial large copper joint,Per existing copper joint replaced , $	250.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-08,Rehabilitate existing aerial small copper joint,Per existing copper joint replaced , $	161.46 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-09,Rehabilitate existing elevated copper joint,Per existing copper joint replaced , $	126.98 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-10,Rehabilitate existing small Distribution in-line copper joint ,Per small in-line copper joint, $	107.55 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-15,Rehabilitate existing extra large or large Distribution in-line copper joint ,Per existing copper joint, $	185.98 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-16,Rehabilitate existing medium Distribution in-line copper joint ,Per existing copper joint, $	145.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-20,Joint a working cable pair into an existing joint up to and including a 10 pair cable,Per existing copper joint, $	85.95 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-21,Joint a working cable pair into an existing joint above a 10 pair cable and up to and including a 50 pair cable,Per existing copper joint, $	134.91 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-22,Joint a working cable pair into an existing joint above a 50 pair cable and up to and including a 100 pair cable,Per existing copper joint, $	272.28 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-23,Joint a working cable pair into an existing joint above 100 pair cable,Per existing copper joint, $	397.34 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-24,Insert a 2 pair cable into an existing joint and joint to existing cable,Per 2 pair cable, $	29.11 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-25,Insert a cable including a 10 pair and up to an including a 100 pair into an existing joint and joint to existing cable,Per Cable inserted, $	90.56 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-02-26,Locate and rectify a fault in a copper pair,Per Copper Cable, $	65.40 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-03-01,Removal of existing copper joint,Per existing copper joint, $	60.29 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-03-02,Removal of existing aerial copper joint,Per existing copper joint, $	173.94 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-03-03,Remove a existing elevated joint,Per existing copper joint, $	84.17 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-04-01,Joint sealing maintenance task (add Dexbond 10B Sealant),Per existing copper joint, $	22.04 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-04-02,"Replace joint lid, clamp, or Support Bar   (HSOJ or Dexgreen Joint)",Per existing copper joint, $	10.46 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-04-03,Replace or install 2-5pr Snap Enclosure,Per existing copper joint, $	15.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-04-04,Replace or install 10pr Snap Enclosure,Per existing copper joint, $	30.00 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-04-05,Replace connectors in an openable joint,Per existing copper joint, $	24.87 
Broadspectrum,Broadspectrum - DCSA,ON-CP-02-04-06,Replace Bandit Strap,Per existing copper joint, $	8.82 
Broadspectrum,Broadspectrum - DCSA,ON-CP-03-01-01,Removal of a pair gain system ,Per pair gain system, $	235.19 
Broadspectrum,Broadspectrum - DCSA,ON-CP-03-01-02,Migration of an existing service from a pair gain system to a dedicated copper circuit,Per existing service, $	32.99 
Broadspectrum,Broadspectrum - DCSA,ON-CP-03-01-03,Single service active migration in a CSD including service jumpering in the pillar,Per service, $	47.33 
Broadspectrum,Broadspectrum - DCSA,ON-CP-03-01-04,Removal of existing line conditioning equipment,Per existing line conditioning equipment, $	99.88 
Broadspectrum,Broadspectrum - DCSA,ON-CP-03-01-05,Removal of an existing bridge tap ,Per existing bridge tap, $	101.52 
Broadspectrum,Broadspectrum - DCSA,ON-CP-03-01-06,Install earth bonding cable between cable sections,Per linear metre, $	3.28 
Broadspectrum,Broadspectrum - DCSA,ON-CP-03-01-10,Multiple services pre-validation for migration at any location ,Per existing service, $	29.39 
Broadspectrum,Broadspectrum - DCSA,ON-CP-05-01-01,Installation of service jumpering in an Exchange,Per Service, $	47.57 
Broadspectrum,Broadspectrum - DCSA,ON-CP-05-01-02,Existing service transfer jumpering in an MDF and termination end point,Per existing service, $	36.22 
Broadspectrum,Broadspectrum - DCSA,ON-CP-05-02-01,Installation of service jumpering in a cross connect unit for the first service jumpered,Per Service, $	6.64 
Broadspectrum,Broadspectrum - DCSA,ON-CP-05-02-02,Extra over service Jumpering in a cross connect unit,Per Service , $	5.37 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-01,Supply and install 1 x P50 PVC pipe in open trench in OTR (Other Than Rock),Per linear metre, $	40.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-02,Supply and install 1 x P100 PVC pipe in open trench in OTR (Other Than Rock),Per linear metre, $	45.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-02a,Supply and install 1 x P150 PVC pipe in open trench in OTR (Other Than Rock),Per linear metre, $	50.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-03,Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm,Per linear metre, $	16.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-04,Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm,Per linear metre, $	34.95 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-05,Supply and install riser from ground to security enclosure (up to 1m in length),Per riser, $	50.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-05a,Supply and install riser from ground to security enclosure (greater than 1m in length),Per riser, $	95.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-05b,Supply and install pole riser - full pole length.,Per riser, $	115.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-05c,Supply and install pole riser connection to pit (up to 3m length),Per riser, $	110.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-05d,"Supply and install pole riser extension
",Per riser, $	75.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-06,"Supply and install 1 x P50 (63 OD) pipe using boring techniques in OTR (Other Than Rock), including link ins",Per linear metre, $	53.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-07,"Supply and install 1 x P100 (110 OD) pipe using boring techniques in OTR (Other Than Rock), including link ins",Per linear metre, $	76.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-08,Supply and install 1 x P50 (63 OD) pipe using grundomat or similar techniques in OTR (Other Than Rock) ,Per Linear Metre, $	52.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-09,Supply and install 1 x P100 (110 OD) pipe using grundomat or similar techniques in OTR (Other Than Rock),Per Linear Metre, $	76.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-10,Supply and install 1 x P50 PVC pipe in open trench provided and reinstated by others,Per Linear Metre, $	6.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-11,Supply and install 1 x P100 PVC pipe in open trench provided and reinstated by others,Per Linear Metre, $	9.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-12,Extra over for all pipe size road crossings kerb to kerb (OTR),Per Linear Metre, $	65.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-13,Install only pipe seal 50mm (Tdux or other approved equivalent),Each Seal, $	30.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-14,Install only pipe seal 100mm (Tdux or other approved equivalent),Each Seal, $	30.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-01-15,Approved Standard Backfill (Clean fill material),Per Square Metre, $	12.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-02-01,Extra over rate for the supply and install of pipe in Rock in open trench,Per linear metre, $	50.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-02-02,"Extra Over to supply and install 1 x P50 (63 OD) pipe using boring techniques in Rock, including link ins",Per linear metre, $	158.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-02-03,"Extra Over to supply and install 1 x P100 (110 OD) pipe using boring techniques in Rock, including link ins",Per linear metre, $	187.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-01-02-04,Extra over for all pipe size  road crossings kerb to kerb in rock,Per linear metre, $	100.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-01,"Installation only of small pits (P2, P3) at new locations in OTR (Other Than Rock)",Per pit, $	230.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-02,"Installation only of medium pits (P4, P5) at new locations in OTR (Other Than Rock)",Per pit, $	365.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-03,"Installation only of large pits (P6, P8) at new locations in OTR (Other Than Rock)",Per pit, $	620.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-04,Installation only of extra large pits (P9) at new locations in OTR (Other Than Rock),Per pit, $	950.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-05,Install pit riser,Each pit riser, $	150.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-06,Install pit lids,Each pit lids, $	35.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-07,"Installation only of small pits (P2, P3) over existing infrastructure in OTR (Other Than Rock)",Per pit, $	250.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-07a,"Installation only of medium pits (P4, P5) over existing infrastructure in OTR (Other Than Rock)",Per pit, $	490.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-07b,"Installation only of large pits (P6, P8) over existing infrastructure in OTR (Other Than Rock)",Per pit, $	700.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-07c,Installation only of extra large pits (P9) over existing infrastructure in OTR (Other Than Rock),Per pit, $	995.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-01-08,Supply and install composite pit lids,Each pit lids, $	40.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-02-01,Extra over rate for the supply and installation of a pit in Rock ,Per cubic metre, $	163.50 
