Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account,
Procab,Procab - MWA,PD-02-02-01,Pre-Work Order release survey ,Per Work Order, $	448.50 ,Pre-Work Order release survey ,45151,
Procab,Procab - MWA,CW-02-01-08,Supply and install composite pit lids,Each pit lids, $	65.55 ,Supply and install composite pit lids,45151,
Procab,Procab - MWA,CW-02-02-01,Extra over rate for the supply and installation of a pit in Rock ,Per cubic metre, $	207.00 ,Extra over rate for the supply and installation of a pit in Rock ,45151,
Procab,Procab - MWA,CW-02-03-01,Removal and disposal of small (P2) ACM Pit,Each ACM Pit, $	365.70 ,Removal and disposal of small (P2) ACM Pit,45151,
Procab,Procab - MWA,CW-02-03-02,Removal and disposal of medium (P4 or P5) ACM Pit,Each ACM Pit, $	424.35 ,Removal and disposal of medium (P4 or P5) ACM Pit,45151,
Procab,Procab - MWA,CW-02-03-03,Removal and disposal of large (P6 or P8) ACM Pit,Each ACM Pit, $	724.50 ,Removal and disposal of large (P6 or P8) ACM Pit,45151,
Procab,Procab - MWA,CW-02-03-04,Removal and disposal of extra large (P9) ACM Pit,Each ACM Pit, $	828.00 ,Removal and disposal of extra large (P9) ACM Pit,45151,
Procab,Procab - MWA,CW-02-04-01,Remove and dispose of a single lid plastic pit,Each Pit, $	158.70 ,Remove and dispose of a single lid plastic pit,45151,
Procab,Procab - MWA,CW-02-04-02,Remove and dispose of a double lid plastic pit,Each Pit, $	207.00 ,Remove and dispose of a double lid plastic pit,45151,
Procab,Procab - MWA,CW-03-01-01,Core bore,Each core bore, $	158.70 ,Core bore,45151,
Procab,Procab - MWA,CW-04-01-01,Installation only of single cable by direct buried techniques by any means,Per linear metre, $	7.76 ,Installation only of single cable by direct buried techniques by any means,45151,
Procab,Procab - MWA,CW-04-02-01,Extra over for the installation of a single cable by direct buried techniques in Rock,Per linear metre, $	51.75 ,Extra over for the installation of a single cable by direct buried techniques in Rock,45151,
Procab,Procab - MWA,CW-04-03-01,Supply and install marker posts for buried underground cable,Per marker post, $	69.00 ,Supply and install marker posts for buried underground cable,45151,
Procab,Procab - MWA,CW-05-01-01,Identify and repair a damaged and blocked duct in any surface,Per blockage repaired, $	331.20 ,Identify and repair a damaged and blocked duct in any surface,45151,
Procab,Procab - MWA,CW-05-01-02,Clear pipe blockage using high pressure water,Per blockage cleared, $	165.60 ,Clear pipe blockage using high pressure water,45151,
Procab,Procab - MWA,CW-05-01-03,Extra over for the repair of a secondary damaged or blocked duct in any surface ,Per blockage repaired, $	248.40 ,Extra over for the repair of a secondary damaged or blocked duct in any surface ,45151,
Procab,Procab - MWA,CW-06-01-01,Breakout concrete surface material ,Per linear metre, $	62.10 ,Breakout concrete surface material ,45151,
Procab,Procab - MWA,CW-06-01-02,Breakout asphalt or bitumen,Per linear metre, $	55.20 ,Breakout asphalt or bitumen,45151,
Procab,Procab - MWA,CW-06-01-03,Breakout paving material in CBD areas,Per linear metre, $	96.60 ,Breakout paving material in CBD areas,45151,
Procab,Procab - MWA,CW-06-01-04,Breakout paving material in all areas other than CBD,Per linear metre, $	55.20 ,Breakout paving material in all areas other than CBD,45151,
Procab,Procab - MWA,CW-06-02-01,Reinstate concrete surface material ,Per linear metre, $	151.80 ,Reinstate concrete surface material ,45151,
Procab,Procab - MWA,CW-06-02-02,Reinstate asphalt or bitumen,Per linear metre, $	127.65 ,Reinstate asphalt or bitumen,45151,
Procab,Procab - MWA,CW-06-02-03,Reinstate paving material in CBD areas,Per linear metre, $	220.80 ,Reinstate paving material in CBD areas,45151,
Procab,Procab - MWA,CW-06-02-04,Reinstate paving material in all areas other than CBD,Per linear metre, $	69.00 ,Reinstate paving material in all areas other than CBD,45151,
Procab,Procab - MWA,CI-01-01-01,Pipe Proving in existing duct,Per linear metre, $	1.83 ,Pipe Proving in existing duct,45151,
Procab,Procab - MWA,CI-01-02-01,Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,Per existing riser on a pole or existing riser on the external face of a building, $	41.40 ,Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,45151,
Procab,Procab - MWA,CI-02-01-01,Installation of a cable sheath greater than 144 fibre in underground duct by any means ,Per linear metre, $	2.73 ,Installation of a cable sheath greater than 144 fibre in underground duct by any means ,45151,
Procab,Procab - MWA,CI-02-01-02,Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in underground duct by any means,Per linear metre, $	2.42 ,Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in underground duct by any means,45151,
Procab,Procab - MWA,CI-02-01-03,Installation of 12 fibre  cable sheath in underground duct by any means,Per linear metre, $	2.07 ,Installation of 12 fibre  cable sheath in underground duct by any means,45151,
Procab,Procab - MWA,CI-02-01-04,Installation of single fibre cable sheath in underground duct by any means,Per linear metre, $	1.73 ,Installation of single fibre cable sheath in underground duct by any means,45151,
Procab,Procab - MWA,CI-02-01-05,Installation of a cable sheath in existing riser on a pole or in existing riser on the external face of a building,Per cable sheath , $	58.65 ,Installation of a cable sheath in existing riser on a pole or in existing riser on the external face of a building,45151,
Procab,Procab - MWA,CI-02-02-01,Installation of copper cable of up to including 100 pair in underground duct,Per linear metre, $	2.62 ,Installation of copper cable of up to including 100 pair in underground duct,45151,
Procab,Procab - MWA,CI-02-02-02,Installation of copper cable of greater than 100 pair in underground duct,Per linear metre, $	3.52 ,Installation of copper cable of greater than 100 pair in underground duct,45151,
Procab,Procab - MWA,CI-02-03-01,Installation of hardline in underground duct by any means,Per linear metre, $	4.14 ,Installation of hardline in underground duct by any means,45151,
Procab,Procab - MWA,CI-02-03-02,Installation of hardline in an existing riser on a pole or in an existing riser on the external face of a building,Per linear metre, $	7.04 ,Installation of hardline in an existing riser on a pole or in an existing riser on the external face of a building,45151,
Procab,Procab - MWA,CI-03-01-01,Installation of cable sheath and all NBN Co infrastructure on timber poles in the communications corridor,Per Span, $	313.95 ,Installation of cable sheath and all NBN Co infrastructure on timber poles in the communications corridor,45151,
Procab,Procab - MWA,CI-03-01-02,Installation of cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor,Per Span, $	338.10 ,Installation of cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor,45151,
Procab,Procab - MWA,CI-03-01-03,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor,Per Span, $	365.70 ,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor,45151,
Procab,Procab - MWA,CI-03-01-04,Installation of cable sheath and all NBN Co infrastructure on timber poles in the power corridor,Per Span, $	400.20 ,Installation of cable sheath and all NBN Co infrastructure on timber poles in the power corridor,45151,
Procab,Procab - MWA,CI-03-01-05,Installation of cable sheath and all NBN Co infrastructure on stobie poles in the power corridor,Per Span, $	427.80 ,Installation of cable sheath and all NBN Co infrastructure on stobie poles in the power corridor,45151,
Procab,Procab - MWA,CI-03-01-06,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor,Per Span, $	427.80 ,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor,45151,
Procab,Procab - MWA,CI-03-02-01,Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the communications corridor up to 100 pair,Per Span, $	313.95 ,Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the communications corridor up to 100 pair,45151,
Procab,Procab - MWA,CI-03-02-02,Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor up to 100 pair,Per Span, $	338.10 ,Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor up to 100 pair,45151,
Procab,Procab - MWA,CI-03-02-03,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor up to 100 pair,Per Span, $	365.70 ,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor up to 100 pair,45151,
Procab,Procab - MWA,CI-03-02-04,Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the power corridor up to 100 pair,Per Span, $	400.20 ,Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the power corridor up to 100 pair,45151,
Procab,Procab - MWA,CI-03-02-05,Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the power corridor up to 100 pair,Per Span, $	427.80 ,Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the power corridor up to 100 pair,45151,
Procab,Procab - MWA,CI-03-02-06,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor up to 100 pair,Per Span, $	427.80 ,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor up to 100 pair,45151,
Procab,Procab - MWA,CI-03-03-01,Installation of hardline on all pole types,Per Coaxial Cable Span , $	269.10 ,Installation of hardline on all pole types,45151,
Procab,Procab - MWA,CI-03-03-02,Installation of a catenary wire only on timber poles,Per Coaxial Cable Span, $	282.90 ,Installation of a catenary wire only on timber poles,45151,
Procab,Procab - MWA,CI-03-03-03,Installation of a catenary wire only on stobie poles,Per Coaxial Cable Span, $	331.20 ,Installation of a catenary wire only on stobie poles,45151,
Procab,Procab - MWA,CI-03-03-04,Installation of a catenary wire only on concrete or steel poles,Per Coaxial Cable Span, $	331.20 ,Installation of a catenary wire only on concrete or steel poles,45151,
Procab,Procab - MWA,CI-03-03-05,Re-lashing of existing hardline to existing catenary wire,Per Coaxial Cable Span, $	215.28 ,Re-lashing of existing hardline to existing catenary wire,45151,
Procab,Procab - MWA,CI-04-01-01,Installation of cable sheath within a cable chamber or tunnel networks,Per linear metre, $	6.56 ,Installation of cable sheath within a cable chamber or tunnel networks,45151,
Procab,Procab - MWA,CI-04-01-01-AH,Installation of cable sheath within a cable chamber or tunnel networks outside working hours,Per linear metre, $	9.83 ,Installation of cable sheath within a cable chamber or tunnel networks outside working hours,45151,
Procab,Procab - MWA,CI-04-01-02,Installation of cable sheath via riser shaft/cable tray ,Per linear metre, $	5.24 ,Installation of cable sheath via riser shaft/cable tray ,45151,
Procab,Procab - MWA,CI-04-01-02-AH,Installation of cable sheath via riser shaft/cable tray outside working hours,Per linear metre, $	7.31 ,Installation of cable sheath via riser shaft/cable tray outside working hours,45151,
Procab,Procab - MWA,CI-04-01-03,Installation of cable sheath via ceiling space/floor cavity or crawl space,Per linear metre, $	5.24 ,Installation of cable sheath via ceiling space/floor cavity or crawl space,45151,
Procab,Procab - MWA,CI-04-01-03-AH,Installation of cable sheath via ceiling space/floor cavity or crawl space outside working hours,Per linear metre, $	7.87 ,Installation of cable sheath via ceiling space/floor cavity or crawl space outside working hours,45151,
Procab,Procab - MWA,CI-04-01-04,Installation of cable sheath via existing or new conduit,Per linear metre, $	4.00 ,Installation of cable sheath via existing or new conduit,45151,
Procab,Procab - MWA,CI-04-01-04-AH,Installation of cable sheath via existing or new conduit outside working hours,Per linear metre, $	6.56 ,Installation of cable sheath via existing or new conduit outside working hours,45151,
Procab,Procab - MWA,CI-04-02-01,Extra over rate for supply and install AC power cable for FTTB Cabinet,Per linear metre, $	13.32 ,Extra over rate for supply and install AC power cable for FTTB Cabinet,45151,
Procab,Procab - MWA,CI-04-02-02,Extra over rate for supply and install earth cable for FTTB Cabinet,Per linear metre, $	8.97 ,Extra over rate for supply and install earth cable for FTTB Cabinet,45151,
Procab,Procab - MWA,CI-04-02-03,"Extra over rate for the installation of a copper cable sheaths from main distribution frame to FTTB Cabinet, via riser, shaft or cable tray",Per linear metre, $	7.90 ,"Extra over rate for the installation of a copper cable sheaths from main distribution frame to FTTB Cabinet, via riser, shaft or cable tray",45151,
Procab,Procab - MWA,CI-04-02-04,"Extra over rate for the installation of copper cable sheaths via ceiling space, floor cavity or crawl space",Per linear metre, $	8.45 ,"Extra over rate for the installation of copper cable sheaths via ceiling space, floor cavity or crawl space",45151,
Procab,Procab - MWA,CI-04-03-01,Installation of backbone cable in buildings,Per linear metre, $	4.90 ,Installation of backbone cable in buildings,45151,
Procab,Procab - MWA,CI-04-03-02,Installation of coaxial service drop cable (lateral) from isolator to the ICD in existing or new duct and the installation of the ICD,Per drop, $	75.90 ,Installation of coaxial service drop cable (lateral) from isolator to the ICD in existing or new duct and the installation of the ICD,45151,
Procab,Procab - MWA,CI-04-03-03,Installation of coaxial service drop cable (lateral) from isolator to ICD on existing or new cable tray and the installation of the ICD,Per drop, $	103.50 ,Installation of coaxial service drop cable (lateral) from isolator to ICD on existing or new cable tray and the installation of the ICD,45151,
Procab,Procab - MWA,CI-04-03-04,Installation of coaxial service drop cable (lateral) from isolator to ICD in cavity or communications riser and the installation of the ICD ,Per drop, $	75.90 ,Installation of coaxial service drop cable (lateral) from isolator to ICD in cavity or communications riser and the installation of the ICD ,45151,
Procab,Procab - MWA,CI-04-03-05,Installation of coaxial customer premises tie-cabling from ICD to wall plate,Per wall plate, $	86.25 ,Installation of coaxial customer premises tie-cabling from ICD to wall plate,45151,
Procab,Procab - MWA,CI-04-03-06,Installation of coaxial customer premises tie-cabling from isolator to unterminated location within ceiling void,Per Tie cable, $	82.80 ,Installation of coaxial customer premises tie-cabling from isolator to unterminated location within ceiling void,45151,
Procab,Procab - MWA,CI-04-03-07,Installation of coaxial customer premises drop cable from isolator to wall plate in existing or new ducting,Per drop, $	100.05 ,Installation of coaxial customer premises drop cable from isolator to wall plate in existing or new ducting,45151,
Procab,Procab - MWA,CI-04-03-08,Installation of coaxial customer premises drop cable from isolator to wall plate on existing or new cable tray,Per drop, $	100.05 ,Installation of coaxial customer premises drop cable from isolator to wall plate on existing or new cable tray,45151,
Procab,Procab - MWA,CI-04-03-09,Installation of coaxial customer premises drop cable from isolator to wall plate in cavity or communications riser,Per drop, $	100.05 ,Installation of coaxial customer premises drop cable from isolator to wall plate in cavity or communications riser,45151,
Procab,Procab - MWA,CI-05-01-01,Removal and disposal of cable in distribution aerial Network,Per Span, $	189.75 ,Removal and disposal of cable in distribution aerial Network,45151,
Procab,Procab - MWA,CI-05-01-02,Removal and disposal of cable in local aerial Network,Per Span, $	162.15 ,Removal and disposal of cable in local aerial Network,45151,
Procab,Procab - MWA,CI-05-01-03,Removal and disposal of catenary wire in aerial Network,Per Span, $	162.15 ,Removal and disposal of catenary wire in aerial Network,45151,
Procab,Procab - MWA,CI-05-01-04,Removal and disposal of cable in distribution underground Network,Per metre, $	1.73 ,Removal and disposal of cable in distribution underground Network,45151,
Procab,Procab - MWA,CI-05-01-05,Removal and disposal of cable in local underground Network,Per metre, $	1.59 ,Removal and disposal of cable in local underground Network,45151,
Procab,Procab - MWA,CI-05-01-06,Removal and disposal of cable in buildings ,Per metre, $	2.69 ,Removal and disposal of cable in buildings ,45151,
Procab,Procab - MWA,CI-05-01-10,Removal and disposal of aerial lead in cables,Per lead in, $	89.70 ,Removal and disposal of aerial lead in cables,45151,
Procab,Procab - MWA,CI-05-01-11,Relocation of aerial lead in cables,Per lead in, $	131.10 ,Relocation of aerial lead in cables,45151,
Procab,Procab - MWA,CI-05-01-12,Disconnect and re-connect of aerial lead in cables,Per lead in, $	131.10 ,Disconnect and re-connect of aerial lead in cables,45151,
Procab,Procab - MWA,CI-05-01-15,Removal and disposal of underground lead in cables,Per lead in, $	65.55 ,Removal and disposal of underground lead in cables,45151,
Procab,Procab - MWA,CB-01-01-01,Installation of an external FDH Cabinet ,Per FDH Cabinet," $	1,210.95 ",Installation of an external FDH Cabinet ,45151,
Procab,Procab - MWA,CB-02-01-01,Installation only of an external small port Node Cabinet,Per external Node Cabinet," $	2,163.15 ",Installation only of an external small port Node Cabinet,45151,
Procab,Procab - MWA,CB-02-01-02,Installation only of an external medium port Node Cabinet,Per external Node Cabinet," $	3,018.75 ",Installation only of an external medium port Node Cabinet,45151,
Procab,Procab - MWA,CB-02-01-03,Installation only of an external large port Node cabinet,Per external Node Cabinet," $	3,881.25 ",Installation only of an external large port Node cabinet,45151,
Procab,Procab - MWA,CB-02-02-01,Installation of service jumpering in a FTTN/FTTB Node Cabinet,Per 48 Port Line Card, $	138.00 ,Installation of service jumpering in a FTTN/FTTB Node Cabinet,45151,
Procab,Procab - MWA,CB-02-02-02,Cable layup within CJL for external small port CSD node,Per CJL, $	89.70 ,Cable layup within CJL for external small port CSD node,45151,
Procab,Procab - MWA,CB-03-01-01,Installation of an internal small FTTB Cabinet,Per FTTB Cabinet," $	1,980.30 ",Installation of an internal small FTTB Cabinet,45151,
Procab,Procab - MWA,CB-03-01-02,Installation of an internal medium FTTB Cabinet,Per FTTB Cabinet," $	2,150.73 ",Installation of an internal medium FTTB Cabinet,45151,
Procab,Procab - MWA,CB-03-01-03,Installation of an internal large FTTB Cabinet (greater than 192 up to 384 port),Per FTTB Cabinet," $	2,718.60 ",Installation of an internal large FTTB Cabinet (greater than 192 up to 384 port),45151,
Procab,Procab - MWA,CB-03-02-01,Supply and install new service earth bar,Per service earth bar, $	69.00 ,Supply and install new service earth bar,45151,
Procab,Procab - MWA,CB-03-02-02,Supply and install new service earth stake,Per service earth stake, $	106.95 ,Supply and install new service earth stake,45151,
Procab,Procab - MWA,CB-03-02-03,Install a 10 pair MDF terminal block,Per 10 pair MDF terminal block, $	27.60 ,Install a 10 pair MDF terminal block,45151,
Procab,Procab - MWA,CB-03-02-04,Install a 100 pair MDF terminal frame,Per 100 pair MDF terminal frame, $	64.17 ,Install a 100 pair MDF terminal frame,45151,
Procab,Procab - MWA,CB-04-01-01,Removal and disposal of a cabinet,Per Cabinet, $	414.00 ,Removal and disposal of a cabinet,45151,
Procab,Procab - MWA,CB-04-01-02,Repair of a cabinet panel,Per Cabinet, $	89.70 ,Repair of a cabinet panel,45151,
Procab,Procab - MWA,CB-04-01-03,Removal of graffiti from a cabinet,Per Cabinet, $	117.30 ,Removal of graffiti from a cabinet,45151,
Procab,Procab - MWA,CB-04-01-04,Replacement of a cabinet lock,Per Cabinet, $	37.95 ,Replacement of a cabinet lock,45151,
Procab,Procab - MWA,FB-01-01-01,Installation and preparation of a new fibre joint enclosure greater than 144 fibres,Per fibre joint enclosure, $	220.80 ,Installation and preparation of a new fibre joint enclosure greater than 144 fibres,45151,
Procab,Procab - MWA,FB-01-01-02,Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,Per fibre joint enclosure, $	196.65 ,Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,45151,
Procab,Procab - MWA,FB-01-01-03,Installation and preparation of a fibre joint enclosure up to and including 12 fibres,Per fibre joint enclosure, $	103.50 ,Installation and preparation of a fibre joint enclosure up to and including 12 fibres,45151,
Procab,Procab - MWA,FB-01-01-04,Installation and preparation of Gator fibre joint enclosure ,Per Gator fibre joint enclosure, $	103.50 ,Installation and preparation of Gator fibre joint enclosure ,45151,
Procab,Procab - MWA,FB-01-02-01,Prepare a fibre cable sheath greater than 144 fibres  to be connected to fibre joint enclosures,Per cable sheath, $	193.20 ,Prepare a fibre cable sheath greater than 144 fibres  to be connected to fibre joint enclosures,45151,
Procab,Procab - MWA,FB-01-02-02,Prepare a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected to fibre joint enclosures,Per cable sheath, $	106.95 ,Prepare a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected to fibre joint enclosures,45151,
Procab,Procab - MWA,FB-01-02-03,Prepare a 12 fibre cable to be connected to fibre joint enclosures,Per cable sheath, $	55.20 ,Prepare a 12 fibre cable to be connected to fibre joint enclosures,45151,
Procab,Procab - MWA,FB-01-02-04,Prepare Single fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath, $	35.71 ,Prepare Single fibre cable sheath to be connected to fibre joint enclosures,45151,
Procab,Procab - MWA,FB-01-02-05,Lay up of cable sheaths,Per cable sheath, $	27.26 ,Lay up of cable sheaths,45151,
Procab,Procab - MWA,FB-01-02-06,Prepare a loose tube fibre cable sheath greater than 144 fibres to be connected to fibre joint enclosures,Per cable sheath, $	276.00 ,Prepare a loose tube fibre cable sheath greater than 144 fibres to be connected to fibre joint enclosures,45151,
Procab,Procab - MWA,FB-01-02-07,Prepare a loose tube fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected to fibre joint enclosures,Per cable sheath, $	158.70 ,Prepare a loose tube fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected to fibre joint enclosures,45151,
Procab,Procab - MWA,FB-01-02-08,Prepare a loose tube 12 fibre cable to be connected to fibre joint enclosures,Per cable sheath, $	67.45 ,Prepare a loose tube 12 fibre cable to be connected to fibre joint enclosures,45151,
Procab,Procab - MWA,FB-01-02-09,Prepare a loose tube Single fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath, $	35.71 ,Prepare a loose tube Single fibre cable sheath to be connected to fibre joint enclosures,45151,
Procab,Procab - MWA,FB-01-03-01,Re-entry into a fibre joint enclosure,Per fibre joint enclosure, $	79.35 ,Re-entry into a fibre joint enclosure,45151,
Procab,Procab - MWA,FB-01-04-01,Installation of splitter within existing FDH / PDH cabinet,Per splitter, $	34.50 ,Installation of splitter within existing FDH / PDH cabinet,45151,
Procab,Procab - MWA,FB-01-04-02,Installation of splitter within an existing BJL enclosure,Per splitter, $	48.30 ,Installation of splitter within an existing BJL enclosure,45151,
Procab,Procab - MWA,FB-01-04-03,Installation of splitter within an existing FJL enclosure,Per splitter, $	48.30 ,Installation of splitter within an existing FJL enclosure,45151,
Procab,Procab - MWA,FB-01-04-04,Installation of a splitter card output fibres to LFN ports within and existing FDH cabinet,Per Fibre, $	13.80 ,Installation of a splitter card output fibres to LFN ports within and existing FDH cabinet,45151,
Procab,Procab - MWA,FB-01-04-05,Installation of a Fibre TV Splitter (TVS) within an FDH Cabinet,Per device, $	34.50 ,Installation of a Fibre TV Splitter (TVS) within an FDH Cabinet,45151,
Procab,Procab - MWA,FB-01-04-06,Installation of a Fibre TV Splitter within a PDH enclosure,Per device, $	34.50 ,Installation of a Fibre TV Splitter within a PDH enclosure,45151,
Procab,Procab - MWA,FB-02-01-01,Installation of multiport or splitter multiport in underground pit or manhole,Per multiport, $	27.60 ,Installation of multiport or splitter multiport in underground pit or manhole,45151,
Procab,Procab - MWA,FB-02-01-02,Installation of multiport or splitter multiport on any pole,Per multiport, $	89.70 ,Installation of multiport or splitter multiport on any pole,45151,
Procab,Procab - MWA,FB-02-01-03,Replacement or Upgrade of existing splitter multiport in underground pit or manhole,Per multiport, $	37.95 ,Replacement or Upgrade of existing splitter multiport in underground pit or manhole,45151,
Procab,Procab - MWA,FB-02-01-04,Replacement or Upgrade of existing splitter multiport on any pole,Per multiport, $	117.30 ,Replacement or Upgrade of existing splitter multiport on any pole,45151,
Procab,Procab - MWA,FB-03-01-01,Splicing of optic fibre ribbons,Per Ribbon Splice, $	13.11 ,Splicing of optic fibre ribbons,45151,
Procab,Procab - MWA,FB-03-01-02,Splicing of single fibre,Per Fibre Splice, $	13.11 ,Splicing of single fibre,45151,
Procab,Procab - MWA,FB-03-01-03,Splicing of loose tube fibre,Per Fibre Splice, $	13.11 ,Splicing of loose tube fibre,45151,
Procab,Procab - MWA,FB-03-01-04,De ribbonise 12 fibre ribbon,Per ribbon, $	13.11 ,De ribbonise 12 fibre ribbon,45151,
Procab,Procab - MWA,FB-04-02-01,Uni-directional OTDR Testing to the first fibre tested,Per fibre, $	21.05 ,Uni-directional OTDR Testing to the first fibre tested,45151,
Procab,Procab - MWA,FB-04-02-02,Extra over for additional Uni-directional OTDR Testing,Per fibre, $	16.56 ,Extra over for additional Uni-directional OTDR Testing,45151,
Procab,Procab - MWA,FB-04-02-03,Point to point DFL OTDR test to the first fibre tested,Per fibre, $	21.05 ,Point to point DFL OTDR test to the first fibre tested,45151,
Procab,Procab - MWA,FB-04-02-04,Extra over for additional Point to point DFL OTDR test,Per fibre, $	15.18 ,Extra over for additional Point to point DFL OTDR test,45151,
Procab,Procab - MWA,FB-04-02-05,Insertion loss testing to the first fibre tested,Per fibre, $	20.70 ,Insertion loss testing to the first fibre tested,45151,
Procab,Procab - MWA,FB-04-02-06,Extra over for additional Insertion loss testing,Per fibre, $	15.18 ,Extra over for additional Insertion loss testing,45151,
Procab,Procab - MWA,FB-04-02-07,Extra over rate for LFN / MTLFN insertion loss testing to the PCD  ,Per fibre, $	15.18 ,Extra over rate for LFN / MTLFN insertion loss testing to the PCD  ,45151,
Procab,Procab - MWA,FB-04-02-08,PON Power Meter Test,Per fibre, $	16.56 ,PON Power Meter Test,45151,
Procab,Procab - MWA,FB-04-02-09,End to end connectivity testing to the GPON NTD at customer premises,Per fibre, $	27.60 ,End to end connectivity testing to the GPON NTD at customer premises,45151,
