Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account
Downer,Downer - ODM,CW-01-02-01B01,Extra Over Rate for the supply and install of upto and including 50mm pipe in Rock using Boring methods,Per linear metre," $	210",,45214
Downer,Downer - ODM,CW-01-02-01B02,Extra Over Rate for the supply and install of upto and including 100mm pipe in Rock using Boring methods,Per linear metre," $	225",,45214
Downer,Downer - ODM,CW-02-01-01N,Supply and installation of small pits (P2) at a New location in other than Rock,P2 New," $	189.05",,45214
Downer,Downer - ODM,CW-02-01-01E,Supply and installation of small pits (P2) at an Existing location in other than Rock,P2 Existing," $	235",,45214
Downer,Downer - ODM,CW-02-01-02N,Supply and installation of medium pits (P4 or P5) at a New location in other than Rock,P5 New," $	363",,45214
Downer,Downer - ODM,CW-02-01-02E,Supply and installation of medium pits (P4 or P5) at an Existing location in other than Rock,P5 Existing," $	500",,45214
Downer,Downer - ODM,CW-02-01-03N- P6,Supply and installation of large pits (P6) at a New location in other than Rock,P6 New," $	800",,45214
Downer,Downer - ODM,CW-02-01-03E-P6,Supply and installation of large pits (P6) at an Existing location in other than Rock,P6 Existing," $	900",,45214
Downer,Downer - ODM,CW-02-01-03N- P8,Supply and installation of large pits (P8) at a New location in other than Rock,P8 New," $	900",,45214
Downer,Downer - ODM,CW-02-01-03E-P8,Supply and installation of large pits (P8) at an Existing location in other than Rock,P8 Existing," $	1050",,45214
Downer,Downer - ODM,CW-02-01-04N- P9,Supply and installation of extra-large (P9) pits at a New location in other than Rock,P9 New," $	1600",,45214
Downer,Downer - ODM,CW-02-01-04E-P9,Supply and installation of extra-large (P9) pits at an Existing location in other than Rock,P9 Existing," $	1900",,45214
Downer,Downer - ODM,CW-02-01-05-P5,Supply and install pit riser (=<P5),Each Pit riser," $	241",,45214
Downer,Downer - ODM,CW-02-01-05-P6,Supply and install pit riser (=>P6),Each Pit riser," $	241",,45214
Downer,Downer - ODM,CW-02-01-06,Supply and install pit lids,Each Pit lid," $	48",,45214
Downer,Downer - ODM,CW-02-01-08,Supply and install composite pit lids,Each Pit lid," $	65",,45214
Downer,Downer - ODM,CW-02-02-01,Extra over rate for the supply and installation of a pit in Rock,Per cubic metre," $	172",,45214
Downer,Downer - ODM,CW-02-03-01,Removal and disposal of small (P2) ACM Pit,Each ACM Pit," $	517",,45214
Downer,Downer - ODM,CW-02-03-02,Removal and disposal of medium (P4 or P5) ACM Pit,Each ACM Pit," $	570",,45214
Downer,Downer - ODM,CW-02-03-03,Removal and disposal of large (P6 or P8) ACM Pit,Each ACM Pit," $	700",,45214
Downer,Downer - ODM,CW-02-03-04,Removal and disposal of extra large (P9) ACM Pit,Each ACM Pit," $	900",,45214
Downer,Downer - ODM,CW-02-04-01,Remove and dispose of a Single lid plastic pit,Each Pit," $	34",,45214
Downer,Downer - ODM,CW-02-04-02,Remove and dispose of a Double lid plastic pit,Each Pit," $	45",,45214
Downer,Downer - ODM,CW-03-01-01,Core bore,Each core bore," $	180",,45214
Downer,Downer - ODM,CW-03-01-01X,Core bore (per additional 100mm),Per additional 100mm," $	40",,45214
Downer,Downer - ODM,CW-04-01-01,Installation only of single cable by direct buried techniques by any means,Per linear metre," $	13",,45214
Downer,Downer - ODM,CW-04-02-01,Extra over for the installation of a single cable by direct buried techniques in Rock,Per linear metre," $	50",,45214
Downer,Downer - ODM,CW-04-03-01,Supply and install marker posts for buried underground cable,Per marker post," $	89.33",,45214
Downer,Downer - ODM,CW-05-01-01,Identify and repair a damaged and blocked duct in any surface,Per blockage repaired," $	300",,45214
Downer,Downer - ODM,CW-05-01-02,Clear pipe blockage using high pressure water,Per blockage cleared," $	175",,45214
Downer,Downer - ODM,CW-05-01-01X,Extra over for the repair of a secondary damaged or blocked duct in any surface,Per blockage repaired," $	225",,45214
Downer,Downer - ODM,CW-06-01-01,Breakout concrete surface material,Per linear metre," $	75",,45214
Downer,Downer - ODM,CW-06-01-02,Breakout asphalt or bitumen,Per linear metre," $	65",,45214
Downer,Downer - ODM,CW-06-01-03,Breakout paving material in CBD areas,Per linear metre," $	110",,45214
Downer,Downer - ODM,CW-06-01-04,Breakout paving material in all areas other than CBD,Per linear metre," $	70",,45214
Downer,Downer - ODM,CW-06-02-01,Reinstate concrete surface material,Per linear metre," $	140",,45214
Downer,Downer - ODM,CW-06-02-02,Reinstate asphalt or bitumen,Per linear metre," $	85",,45214
Downer,Downer - ODM,CW-06-02-03,Reinstate paving material in CBD areas,Per linear metre," $	155",,45214
Downer,Downer - ODM,CW-06-02-04,Reinstate paving material in all areas other than CBD,Per linear metre," $	70",,45214
Downer,Downer - ODM,CI-01-01-01,Pipe Proving in existing duct,Per linear metre," $	1.8",,45214
Downer,Downer - ODM,CI-01-02-01,Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,"Per existing riser on a pole or existing riser on the external
face of a building"," $	13",,45214
Downer,Downer - ODM,CI-02-01-01,Installation of a cable sheath greater than 144 fibre in underground duct by any means,Per linear metre," $	2.99",,45214
Downer,Downer - ODM,CI-02-01-02V144,Installation of a 144 fibre cable sheath in vacant underground duct by any means,Per linear metre," $	2",,45214
Downer,Downer - ODM,CI-02-01-02O144,Installation of a 144 fibre cable sheath in occupied underground duct by any means,Per linear metre," $	2.5",,45214
Downer,Downer - ODM,CI-02-01-03V,Installation of 12 fibre fibre cable sheath in a vacant underground duct by any means,Per linear metre," $	1.75",,45214
Downer,Downer - ODM,CI-02-01-03O,Installation of 12 fibre fibre cable sheath in an occupied underground duct by any means,Per linear metre," $	2.1",,45214
Downer,Downer - ODM,CI-02-01-04V,Installation of single fibre cable sheath in a vacant underground duct by any means,Per linear metre," $	1.6",,45214
Downer,Downer - ODM,CI-02-01-04O,Installation of single fibre cable sheath in an occupied underground duct by any means,Per linear metre," $	2",,45214
Downer,Downer - ODM,CI-02-01-05,Installation of a cable sheath in existing riser on a pole or in existing riser on the external face of a building,Per cable sheath," $	21.21",,45214
Downer,Downer - ODM,CI-02-02-01,Installation of copper cable of up to including 100 pair in underground duct,Per linear metre," $	2",,45214
Downer,Downer - ODM,CI-02-02-02,Installation of copper cable of greater than 100 pair in underground duct,Per linear metre," $	3.81",,45214
Downer,Downer - ODM,CI-02-03-01CX,Installation of CX50 / CX75 hardline in underground duct by any means,Per linear metre," $	4",,45214
Downer,Downer - ODM,CI-02-03-01RG,Installation of RG6 / RG11 hardline in underground duct by any means,Per linear metre," $	3",,45214
Downer,Downer - ODM,CI-02-03-02,Installation of hardline in an existing riser on a pole or in an existing riser on the external face of a building,Per Riser," $	9",,45214
Downer,Downer - ODM,CI-03-01-01,Installation of cable sheath and all NBN Co infrastructure on timber poles in the communications corridor,Per Span," $	440",,45214
Downer,Downer - ODM,CI-03-01-02,Installation of cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor,Per Span," $	440",,45214
Downer,Downer - ODM,CI-03-01-03,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor,Per Span," $	440",,45214
Downer,Downer - ODM,CI-03-01-04,Installation of cable sheath and all NBN Co infrastructure on timber poles in the power corridor,Per Span," $	494.62",,45214
Downer,Downer - ODM,CI-03-01-05,Installation of cable sheath and all NBN Co infrastructure on stobie poles in the power corridor,Per Span," $	520.65",,45214
Downer,Downer - ODM,CI-03-01-06,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor,Per Span," $	520.65",,45214
Downer,Downer - ODM,CI-03-02-01,Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the communications corridor up to 100 pair,Per Span," $	388.1",,45214
Downer,Downer - ODM,CI-03-02-02,Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor up to 100 pair,Per Span," $	411.9",,45214
Downer,Downer - ODM,CI-03-02-03,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor up to 100 pair,Per Span," $	411.9",,45214
Downer,Downer - ODM,CI-03-02-04,Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the power corridor up to 100 pair,Per Span," $	485.26",,45214
Downer,Downer - ODM,CI-03-02-05,Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the power corridor up to 100 pair,Per Span," $	505.25",,45214
Downer,Downer - ODM,CI-03-02-06,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor up to 100 pair,Per Span," $	505.25",,45214
Downer,Downer - ODM,CI-03-03-01,Installation of hardline on all pole types,Per Coaxial Cable Span," $	230",,45214
Downer,Downer - ODM,CI-03-03-02,Installation of a catenary wire only on timber poles,Per Coaxial Cable Span," $	138.95",,45214
Downer,Downer - ODM,CI-03-03-03,Installation of a catenary wire only on stobie poles,Per Coaxial Cable Span," $	158.95",,45214
Downer,Downer - ODM,CI-03-03-04,Installation of a catenary wire only on concrete or steel poles,Per Coaxial Cable Span," $	188.95",,45214
Downer,Downer - ODM,CI-03-03-05,Re-lashing of existing hardline to existing catenary wire,Per Coaxial Cable Span," $	155",,45214
Downer,Downer - ODM,CI-04-01-01,Installation of cable sheath within a cable chamber,Per linear metre," $	4.35",,45214
Downer,Downer - ODM,CI-04-01-01-AH,Installation of cable sheath within a cable chamber or tunnel networks outside working hours,Per linear metre," $	8",,45214
Downer,Downer - ODM,CI-04-01-02,Installation of cable sheath via riser shaft/cable tray,Per linear metre," $	4.5",,45214
Downer,Downer - ODM,CI-04-01-02-AH,Installation of cable sheath via riser shaft/cable tray outside working hours,Per linear metre," $	8.9",,45214
Downer,Downer - ODM,CI-04-01-03,Installation of cable sheath via ceiling space/floor cavity or crawl space,Per linear metre," $	9",,45214
Downer,Downer - ODM,CI-04-01-03-AH,Installation of cable sheath via ceiling space/floor cavity or crawl space outside working hours,Per linear metre," $	12",,45214
Downer,Downer - ODM,CI-04-01-04,"Installation of cable sheath via existing or new
conduit",Per linear metre," $	4.5",,45214
Downer,Downer - ODM,CI-04-01-04-AH,Installation of cable sheath via existing or new conduit outside working hours,Per linear metre," $	12",,45214
Downer,Downer - ODM,CI-04-02-01,Extra over rate for supply and install AC power cable for FTTB Cabinet,Per linear metre," $	13.79",,45214
Downer,Downer - ODM,CI-04-02-02,Extra over rate for supply and install earth cable for FTTB Cabinet,Per linear metre," $	10.97",,45214
Downer,Downer - ODM,CI-04-02-03,Extra over rate for the installation of a copper cable sheaths from main distribution frame to FTTB Cabinet  via riser  shaft or cable tray,Per linear metre," $	9.93",,45214
Downer,Downer - ODM,CI-04-02-04,Extra over rate for the installation of copper cable sheaths via ceiling space  floor cavity or crawl space,Per linear metre," $	11.04",,45214
Downer,Downer - ODM,CI-04-03-01,Installation of backbone cable in buildings,Per linear metre," $	3.7",,45214
Downer,Downer - ODM,CI-04-03-02,Installation of coaxial service drop cable (lateral) from isolator to the ICD in existing or new duct and the installation of the ICD,Per drop," $	85",,45214
Downer,Downer - ODM,CI-04-03-03,Installation of coaxial service drop cable (lateral) from isolator to ICD on existing or new cable tray and the installation of the ICD,Per drop," $	85",,45214
Downer,Downer - ODM,CI-04-03-04,Installation of coaxial service drop cable (lateral) from isolator to ICD in cavity or communications riser and the installation of the ICD,Per drop," $	85",,45214
Downer,Downer - ODM,CI-04-03-05,Installation of coaxial customer premises tie-cabling from ICD to wall plate,Per wall plate," $	45",,45214
Downer,Downer - ODM,CI-04-03-06,Installation of coaxial customer premises tie-cabling from isolator to unterminated location within ceiling void,Per Tie cable," $	70",,45214
Downer,Downer - ODM,CI-04-03-07,Installation of coaxial customer premises drop cable from isolator to wall plate in existing or new ducting,Per drop," $	65",,45214
Downer,Downer - ODM,CI-04-03-08,Installation of coaxial customer premises drop cable from isolator to wall plate on existing or new cable tray,Per drop," $	65",,45214
Downer,Downer - ODM,CI-04-03-09,Installation of coaxial customer premises drop cable from isolator to wall plate in cavity or communications riser,Per drop," $	72",,45214
Downer,Downer - ODM,CI-05-01-01,Removal and disposal of cable in distribution aerial Network,Per Span," $	201.25",,45214
Downer,Downer - ODM,CI-05-01-02,Removal and disposal of cable in local aerial Network,Per Span," $	196.08",,45214
Downer,Downer - ODM,CI-05-01-03,Removal and disposal of catenary wire in aerial Network,Per Span," $	196.08",,45214
Downer,Downer - ODM,CI-05-01-04,Removal and disposal of cable in distribution underground Network,Per metre," $	2.74",,45214
Downer,Downer - ODM,CI-05-01-05,Removal and disposal of cable in local underground Network,Per metre," $	1.33",,45214
Downer,Downer - ODM,CI-05-01-06,Removal and disposal of cable in buildings,Per metre," $	3.4",,45214
Downer,Downer - ODM,CI-05-01-10,Removal and disposal of aerial lead in cables,Per lead in," $	55",,45214
Downer,Downer - ODM,CI-05-01-11,Relocation of aerial lead in cables,Per lead in," $	92",,45214
Downer,Downer - ODM,CI-05-01-12,Disconnect and re-connect of aerial lead in cables,Per lead in," $	70",,45214
Downer,Downer - ODM,CI-05-01-15,Removal and disposal of underground lead in cables,Per lead in," $	37",,45214
Downer,Downer - ODM,CB-01-01-01,Installation of an external FDH Cabinet,Per FDH," $	1825",,45214
Downer,Downer - ODM,CB-02-02-01,Installation of service jumpering in a FTTN/FTTB Node Cabinet,Per 48 Port Line Card," $	178.36",,45214
Downer,Downer - ODM,CB-02-02-02,Cable layup within CJL for external small port CSD node,Per CJL," $	120.13",,45214
Downer,Downer - ODM,CB-03-01-01,Installation of an internal small FTTB Cabinet,"Per FTTB
Cabinet"," $	1600",,45214
Downer,Downer - ODM,CB-03-01-02,Installation of an internal medium FTTB Cabinet,"Per FTTB
Cabinet"," $	3300",,45214
Downer,Downer - ODM,CB-03-01-03,Installation of an internal large FTTB Cabinet (greater than 192 up to 384 port),"Per FTTB
Cabinet"," $	4500",,45214
Downer,Downer - ODM,CB-03-02-01,Supply and install new service earth bar,Per service earth bar," $	85",,45214
Downer,Downer - ODM,CB-03-02-02,Supply and install new service earth stake,Per service earth stake," $	200",,45214
Downer,Downer - ODM,CB-03-02-03,Install a 10 pair MDF terminal block,Per 10 pair MDF terminal block," $	25.35",,45214
Downer,Downer - ODM,CB-03-02-04,Install a 100 pair MDF terminal frame,"Per 100 pair
MDF terminal frame"," $	115.56",,45214
Downer,Downer - ODM,CB-04-01-01,Removal and disposal of a cabinet,Per Cabinet," $	650",,45214
Downer,Downer - ODM,CB-04-01-02,Repair of a cabinet panel,Per Cabinet," $	60.23",,45214
Downer,Downer - ODM,CB-04-01-03,Removal of graffiti from a cabinet,Per Cabinet," $	69.56",,45214
Downer,Downer - ODM,CB-04-01-04,Replacement of a cabinet lock,Per Cabinet," $	44.25",,45214
Downer,Downer - ODM,FB-01-01-01-288F,Installation and preparation of a new fibre joint enclosure 288 fibres,Per fibre joint enclosure," $	360",,45214
Downer,Downer - ODM,FB-01-01-01-432F,Installation and preparation of a new fibre joint enclosure 432 fibres,Per fibre joint enclosure," $	410",,45214
Downer,Downer - ODM,FB-01-01-02-72F,Installation and preparation of a new fibre joint enclosure 72 fibres,Per fibre joint enclosure," $	225",,45214
Downer,Downer - ODM,FB-01-01-02-144F,Installation and preparation of a new fibre joint enclosure 144 fibres,Per fibre joint enclosure," $	275",,45214
Downer,Downer - ODM,FB-01-01-03,Installation and preparation of a fibre joint enclosure up to and including 12 fibres,Per fibre joint enclosure," $	180",,45214
Downer,Downer - ODM,FB-01-01-04,Installation and preparation of Gator fibre joint enclosure,Per Gator fibre joint enclosure," $	110",,45214
Downer,Downer - ODM,FB-01-02-01-288f,Prepare a 288 fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath," $	189.46",,45214
Downer,Downer - ODM,FB-01-02-01-432f,Prepare a 432 fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath," $	226",,45214
Downer,Downer - ODM,FB-01-02-01-576f,Prepare a 576 fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath," $	263.77",,45214
Downer,Downer - ODM,FB-01-02-02-144f,Prepare a 144 fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath," $	125",,45214
Downer,Downer - ODM,FB-01-02-02-72f,Prepare a 72 fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath," $	108.92",,45214
Downer,Downer - ODM,FB-01-02-03,Prepare a 12 fibre cable to be connected to fibre joint enclosures,Per cable sheath," $	55.6",,45214
Downer,Downer - ODM,FB-01-02-04,Prepare Single fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath," $	39.29",,45214
Downer,Downer - ODM,FB-01-02-05,Lay up of cable sheaths,Per cable sheath," $	31.5",,45214
Downer,Downer - ODM,FB-01-02-06,Prepare a loose tube fibre cable sheath greater than 144 fibres  to be connected to fibre joint enclosures,Per cable sheath," $	260.5",,45214
Downer,Downer - ODM,FB-01-02-07,Prepare a loose tube fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected to fibre joint enclosures,Per cable sheath," $	170.5",,45214
Downer,Downer - ODM,FB-01-02-08,Prepare a loose tube 12 fibre cable to be connected to fibre joint enclosures,Per cable sheath," $	62",,45214
Downer,Downer - ODM,FB-01-02-09,Prepare a loose tube Single fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath," $	40",,45214
Downer,Downer - ODM,FB-01-03-01,Re-entry into a fibre joint enclosure,Per fibre joint enclosure," $	84.7",,45214
Downer,Downer - ODM,FB-01-04-01,Installation of splitter within existing FDH / PDH cabinet,Per splitter," $	26",,45214
Downer,Downer - ODM,FB-01-04-02,Installation of splitter within an existing BJL enclosure,Per splitter," $	40",,45214
Downer,Downer - ODM,FB-01-04-03,Installation of splitter within an existing FJL enclosure,Per splitter," $	40",,45214
Downer,Downer - ODM,FB-01-04-04,Installation of a splitter card output fibres to LFN ports within and existing FDH cabinet,Per Fibre," $	10",,45214
Downer,Downer - ODM,FB-01-04-05,Installation of a Fibre TV Splitter (TVS) within an FDH Cabinet,Per device," $	46.23",,45214
Downer,Downer - ODM,FB-01-04-06,Installation of a Fibre TV Splitter within a PDH enclosure,Per device," $	46.23",,45214
Downer,Downer - ODM,FB-02-01-01,Installation of multiport or splitter multiport in underground pit or manhole,Per multiport," $	31.25",,45214
Downer,Downer - ODM,FB-02-01-02,Installation of multiport or splitter multiport on any pole,Per multiport," $	107.3",,45214
Downer,Downer - ODM,FB-02-01-03,Replacement or Upgrade of existing splitter multiport in underground pit or manhole,Per multiport," $	37.8",,45214
Downer,Downer - ODM,FB-02-01-04,Replacement or Upgrade of existing splitter multiport on any pole,Per multiport," $	150",,45214
Downer,Downer - ODM,FB-03-01-01,Splicing of optic fibre ribbons,Per Ribbon Splice," $	16.5",,45214
Downer,Downer - ODM,FB-03-01-02,Splicing of single fibre,Per Fibre Splice," $	12.4",,45214
Downer,Downer - ODM,FB-03-01-03,Splicing of loose tube fibre,Per Fibre Splice," $	15",,45214
Downer,Downer - ODM,FB-03-01-04,De ribbonise 12 fibre ribbon,Per ribbon," $	11.5",,45214
Downer,Downer - ODM,FB-04-02-01,Uni-directional OTDR Testing to the first fibre tested,Per fibre," $	27",,45214
Downer,Downer - ODM,FB-04-02-01X,Extra over for additional Uni-directional OTDR Testing,Per fibre," $	13",,45214
Downer,Downer - ODM,FB-04-02-03,Point to point DFL OTDR test to the first fibre tested,Per fibre," $	31.5",,45214
Downer,Downer - ODM,FB-04-02-03X,Extra over for additional Point to point DFL OTDR test,Per fibre," $	8",,45214
Downer,Downer - ODM,FB-04-02-05,Insertion loss testing to the first fibre tested,Per fibre," $	21.29",,45214
Downer,Downer - ODM,FB-04-02-05X,Extra over for additional Insertion loss testing,Per fibre," $	14.08",,45214
Downer,Downer - ODM,FB-04-02-05XP,Extra over rate for LFN / MTLFN insertion loss testing to the PCD,Per fibre," $	9.38",,45214
Downer,Downer - ODM,FB-04-02-08,PON Power Meter Test,Per fibre," $	17",,45214
Downer,Downer - ODM,FB-04-02-09,End to end connectivity testing to the GPON NTD at customer premises,Per fibre," $	35",,45214
Downer,Downer - ODM,FB-04-02-10,End to end connectivity testing to SASK NTD at customer premises,Per fibre," $	35",,45214
Downer,Downer - ODM,FB-05-03-01,Prepare and splice of a 12 fibre sheath within a customer premises environment,Per cable sheath," $	77.6",,45214
Downer,Downer - ODM,FB-05-03-02,Prepare and splice of a single fibre in a PIC cable,Per Fibre," $	39",,45214
Downer,Downer - ODM,FB-05-03-03,Supply and install patching cable within a HDODF or equivalent environment,Per patching cable," $	44.18",,45214
Downer,Downer - ODM,FB-05-03-06,Prepare and splice a fibre cable sheath greater than 144 fibres to be connected within a HDODF environment,Per cable sheath," $	826.66",,45214
Downer,Downer - ODM,FB-05-03-07,Prepare and splice a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected within a HDODF environment,Per cable sheath," $	403.84",,45214
Downer,Downer - ODM,FB-05-03-08,Installation of an inline optical attenuator in conjunction with HDODF patching works,Per optical attenuator," $	32.12",,45214
Downer,Downer - ODM,FB-05-03-09,Installation of an inline optical attenuator within the HDODF cabinet or equivalent rack environments as part of line balancing works for an FTTC DPU,Per optical attenuator," $	90.8",,45214
Downer,Downer - ODM,FB-06-01-01,Removal of existing fibre joint enclosure,Per fibre joint enclosure," $	40",,45214
Downer,Downer - ODM,CP-01-01-01,Installation of a new 900 type CCU,Per new 900 type CCU," $	1100",,45214
Downer,Downer - ODM,CP-01-01-02,Installation of a new 1800 type CCU,Per new 1800 type CCU," $	1160",,45214
Downer,Downer - ODM,CP-01-01-03,Installation of 10 cable pair bundles between two copper cable insulation displacement modules (Connection Modules)  including the termination of the bundle on each Connection Module,Per 10 cable pair bundle," $	46.23",,45214
Downer,Downer - ODM,CP-01-01-04,Cutting over existing services from an existing Connection Module to a new Connection Module,Per 10 cable pairs," $	50",,45214
Downer,Downer - ODM,CP-01-02-01,Upgrading of an existing CCU from 900 type to 1800 type,"Per CCU required to be upgraded from 900 type to
1800 type"," $	150",,45214
Downer,Downer - ODM,CP-01-02-02,Augmentation of an existing 900 type CCU (Pillar Expansion Option 1),Per Expansion CCU," $	325.11",,45214
Downer,Downer - ODM,CP-01-02-03,Augmentation of an existing 900 type CCU (Pillar Expansion Option 2),"Per Expansion CCU (Civil Only & for
Completing ALL Works)"," $	845.13",,45214
Downer,Downer - ODM,CP-01-03-01,Removal and disposal of an existing CCU,Per existing CCU," $	415.23",,45214
Downer,Downer - ODM,CP-01-04-01,Replacement of Pillar Lid Lock or Pillar Cap,Per existing CCU," $	30.5",,45214
Downer,Downer - ODM,CP-01-04-02,Installation of 2-piece Pillar Base Repair Kit,Per existing," $	115.65",,45214
Downer,Downer - ODM,CP-01-04-03,Replace Cover Lightweight (1800 Type),Per existing CCU," $	25.46",,45214
Downer,Downer - ODM,CP-01-04-04,Replacement of copper cable insulation displacement connection module (Connection Module) and termination of cable,Per existing module," $	84.36",,45214
Downer,Downer - ODM,CP-02-01-01,Installation of a new Distribution extra large copper joint,Per new Distribution extra large copper joint," $	665",,45214
Downer,Downer - ODM,CP-02-01-02,Installation of a new Distribution large copper joint,Per new Distribution large copper joint," $	520",,45214
Downer,Downer - ODM,CP-02-01-03,Installation of a new Distribution small copper joint,"Per new Distribution small copper
joint"," $	303.75",,45214
Downer,Downer - ODM,CP-02-01-04,Installation of a new Main Cable small copper joint,Per new Main Cable small copper joint," $	700",,45214
Downer,Downer - ODM,CP-02-01-05,Installation of a new Main Cable medium copper joint,Per new Main Cable medium Copper joint," $	1050",,45214
Downer,Downer - ODM,CP-02-01-06,Installation of a new Main Cable large copper joint enclosure,Per new Main Cable large Copper joint enclosure," $	2280",,45214
Downer,Downer - ODM,CP-02-01-07,Installation of a new Main Cable extra large copper joint enclosure,Per new Main Cable extra large Copper joint enclosure," $	3080",,45214
Downer,Downer - ODM,CP-02-01-08,Installation of a new aerial large copper joint,"Per new Distribution large copper
joint"," $	675",,45214
Downer,Downer - ODM,CP-02-01-09,Installation of a new aerial small copper joint,Per new Distribution small copper joint," $	458.75",,45214
Downer,Downer - ODM,CP-02-02-01,Rehabilitate existing Distribution large openable copper joint,Per large openable copper joint," $	260",,45214
Downer,Downer - ODM,CP-02-02-02,Rehabilitate existing Distribution small openable copper joint,Per small openable copper joint," $	155",,45214
Downer,Downer - ODM,CP-02-02-03,Replacement of existing Distribution in-line copper joint with a new in-line large copper joint,Per existing copper joint replaced," $	324.86",,45214
Downer,Downer - ODM,CP-02-02-04,Replacement of existing Distribution in-line copper joint with a new in-line small copper joint,Per existing copper joint replaced," $	174.56",,45214
Downer,Downer - ODM,CP-02-02-05,Cutting over existing services from an existing copper joint to a new large copper joint,Per existing copper joint replaced," $	520",,45214
Downer,Downer - ODM,CP-02-02-06,Cutting over existing services from an existing copper joint to a new small copper joint,Per existing copper joint replaced," $	303.75",,45214
Downer,Downer - ODM,CP-02-02-07,Rehabilitate existing aerial large copper joint,Per existing copper joint replaced," $	415",,45214
Downer,Downer - ODM,CP-02-02-08,Rehabilitate existing aerial small copper joint,Per existing copper joint replaced," $	310",,45214
Downer,Downer - ODM,CP-02-02-09,Rehabilitate existing elevated copper joint,Per existing copper joint replaced," $	123.37",,45214
Downer,Downer - ODM,CP-02-02-10,Rehabilitate existing small Distribution in-line copper joint,Per small in-line copper joint," $	160.81",,45214
Downer,Downer - ODM,CP-02-02-15,Rehabilitate existing extra large or large Distribution in-line copper joint,Per existing copper joint," $	335.29",,45214
Downer,Downer - ODM,CP-02-02-16,Rehabilitate existing medium Distribution in-line copper joint,Per existing copper joint," $	207.42",,45214
Downer,Downer - ODM,CP-02-02-20,Joint a working cable pair into an existing joint up to and including a 10 pair cable,Per existing copper joint," $	35.27",,45214
