Customer,Contract,Item Code,Item Name,UoM,Rate,Item Description,Xero Account
Downer,Downer - TFO (Wideband),R13462,WT-9c Decommission Ethernet Service and Device via Remote Port Shutdown and Exchange only Recovery,Cost per service,$ 145.72,WT-9c Decommission Ethernet Service and Device via Remote Port Shutdown and Exchange only Recovery,45100
Downer,Downer - TFO (Wideband),R13463,WT-9d Decommission Ethernet Service and Device requiring both Customer and Exchange Recovery,Cost per service,$ 427.31,WT-9d Decommission Ethernet Service and Device requiring both Customer and Exchange Recovery,45100
Downer,Downer - TFO (Wideband),R5197,"Cable Installation/Removal in Tunnels
(Applicable to Sydney and Melbourne Areas Only). - Recover Cable - Optical Fibre",Metre,$ 2.33,"Cable Installation/Removal in Tunnels
(Applicable to Sydney and Melbourne Areas Only). - Recover Cable - Optical Fibre",45100
Downer,Downer - TFO (Wideband),R7792,Link - Deletion (Electrical cross connects at intermediate sites only),Per Site,$ 111.85,Link - Deletion (Electrical cross connects at intermediate sites only),45100
Downer,Downer - TFO (Wideband),R9558,WT-9h Recover Type 92 Rack,per rack,$ 162.52,WT-9h Recover Type 92 Rack,45100
Downer,Downer - TFO (Wideband),W10378,Install splice-patch module into hi-density optic fibre distribution frame (DE),per module,$ 902.86,Install splice-patch module into hi-density optic fibre distribution frame (DE),45100
Downer,Downer - TFO (Wideband),W1124,"Pipe & Conduit Installation (Open trenching only Urban and Rural in Rock) - Supply and Install Supply and install 1 x up to 100mm dia conduit, in Rock",Linear Metre,$ 85.25,"Pipe & Conduit Installation (Open trenching only Urban and Rural in Rock) - Supply and Install Supply and install 1 x up to 100mm dia conduit, in Rock",45100
Downer,Downer - TFO (Wideband),W11303,Clean out of Existing Pits (EXCEPTIONAL CIRCUMSTANCES). - Pits with one/two/three covers,Each,$ 24.30,Clean out of Existing Pits (EXCEPTIONAL CIRCUMSTANCES). - Pits with one/two/three covers,45100
Downer,Downer - TFO (Wideband),W11307,Trenchless Techniques Establishment Fee,Flat Fee,$ 190.52,Trenchless Techniques Establishment Fee,45100
Downer,Downer - TFO (Wideband),W11309,Grundomat Establishment Fee,Flat Fee,$ 97.52,Grundomat Establishment Fee,45100
Downer,Downer - TFO (Wideband),W11321,Install additional optic fibre cable into existing joint up to 12 Fibre,Per cable,$ 75.99,Install additional optic fibre cable into existing joint up to 12 Fibre,45100
Downer,Downer - TFO (Wideband),W11324,Splicing fibre to fibre - First splice,Per fibre,$ 14.23,Splicing fibre to fibre - First splice,45100
Downer,Downer - TFO (Wideband),W11340,Install Optical Fibre Rack - HDODF Rack,Each,$ 419.80,Install Optical Fibre Rack - HDODF Rack,45100
Downer,Downer - TFO (Wideband),W11419,Driven Earth Electrodes (2 x 1440 long) & Pit,Each,$ 486.00,Driven Earth Electrodes (2 x 1440 long) & Pit,45100
Downer,Downer - TFO (Wideband),W11595,WT-11a Intermediate exchange jumpering (Electrical),Per Site,$ 56.85,WT-11a Intermediate exchange jumpering (Electrical),45100
Downer,Downer - TFO (Wideband),W11849,Border Protection for Pits - Pre Cast Collar - Single Cover Pit,Each,$ 81.21,Border Protection for Pits - Pre Cast Collar - Single Cover Pit,45100
Downer,Downer - TFO (Wideband),W11850,Pre Cast Collar - Double Cover Pit,Each,$ 296.03,Pre Cast Collar - Double Cover Pit,45100
Downer,Downer - TFO (Wideband),W11862,"Site Visit fee to locate Fibre Optic/ Copper cable/s
Zone One Only  - Locate direct buried optic fibre cable via vacuum excavation",Per hr,$ 162.41,"Site Visit fee to locate Fibre Optic/ Copper cable/s
Zone One Only  - Locate direct buried optic fibre cable via vacuum excavation",45100
Downer,Downer - TFO (Wideband),W12039,Install Optical Fibre Cable - Haul Optical Fibre Cable,Metre,$ 2.18,Install Optical Fibre Cable - Haul Optical Fibre Cable,45100
Downer,Downer - TFO (Wideband),W12299,WO-2e Install 72F OMF/OFF/ OEF Terminal unit and prepare cable for splicing,Per Terminal Unit,$ 549.62,WO-2e Install 72F OMF/OFF/ OEF Terminal unit and prepare cable for splicing,45100
Downer,Downer - TFO (Wideband),W12300,"WO-2f Install 144F OMF/OFF/ OEF Terminal unit and prepare cable for
splicing","Per Terminal
Unit",$ 623.91,"WO-2f Install 144F OMF/OFF/ OEF Terminal unit and prepare cable for
splicing",45100
Downer,Downer - TFO (Wideband),W12490,WO-3 Supply and install of flexible conduit,METRE,$ 9.88,WO-3 Supply and install of flexible conduit,45100
Downer,Downer - TFO (Wideband),W12731,Removal of Asbestos Pit - Single Lidded Pit any Size,Per Pit,$ 226.59,Removal of Asbestos Pit - Single Lidded Pit any Size,45100
Downer,Downer - TFO (Wideband),W12732,Removal of asbestos pit - double lidded pit any size,Per Pit,$ 276.26,Removal of asbestos pit - double lidded pit any size,45100
Downer,Downer - TFO (Wideband),W12733,Removal of Asbestos Pit - Triple Lidded Pit any Size,Per Pit,$ 325.91,Removal of Asbestos Pit - Triple Lidded Pit any Size,45100
Downer,Downer - TFO (Wideband),W12792,WT-12 Install and Commission of managed Customer premises equipment,Per unit,$ 170.38,WT-12 Install and Commission of managed Customer premises equipment,45100
Downer,Downer - TFO (Wideband),W12798,Remove Embedded ACM - Up To 2 Bags,Each,$ 193.33,Remove Embedded ACM - Up To 2 Bags,45100
Downer,Downer - TFO (Wideband),W12799,Remove Embedded ACM - 3rd and Subsequent Bags,Per Bag,$ 27.51,Remove Embedded ACM - 3rd and Subsequent Bags,45100
Downer,Downer - TFO (Wideband),W12800,Removal of ACM debris single bag,Per Bag,$ 27.41,Removal of ACM debris single bag,45100
Downer,Downer - TFO (Wideband),W12892,WT-5b Install CIENA 6500 client interface card,Per card,$ 160.61,WT-5b Install CIENA 6500 client interface card,45100
Downer,Downer - TFO (Wideband),W12909,Pits in Already Excavated Trench - Supply and Install Double cover Plastic Pit (P6),Each,$ 710.05,Pits in Already Excavated Trench - Supply and Install Double cover Plastic Pit (P6),45100
Downer,Downer - TFO (Wideband),W12910,Pits in Already Excavated Trench - Supply and Install Triple cover Plastic Pit (P9),Per pit,"$ 1,231.11",Pits in Already Excavated Trench - Supply and Install Triple cover Plastic Pit (P9),45100
Downer,Downer - TFO (Wideband),W12919,WO-2a Install and Integration of 72F tie cable between Existing Racks/HDODF,Cost per Unit,"$ 1,204.16",WO-2a Install and Integration of 72F tie cable between Existing Racks/HDODF,45100
Downer,Downer - TFO (Wideband),W12936,WO-2d Perform an Insertion Loss Test on a fully terminated Tie Cable Installation.,Cost per 12 Fibres,$ 139.99,WO-2d Perform an Insertion Loss Test on a fully terminated Tie Cable Installation.,45100
Downer,Downer - TFO (Wideband),W12938,WT-1d Install of an Ethernet Product on an existing device with ethernet over transport augment,Cost per system,$ 632.89,WT-1d Install of an Ethernet Product on an existing device with ethernet over transport augment,45100
Downer,Downer - TFO (Wideband),W12944,WT-4b Install of a Wideband Transmission Product including new Transmission Equipment,per service,$ 516.80,WT-4b Install of a Wideband Transmission Product including new Transmission Equipment,45100
Downer,Downer - TFO (Wideband),W12946,WT-4a Install of a Wideband Transmission Product via Port Activation,per service,$ 467.73,WT-4a Install of a Wideband Transmission Product via Port Activation,45100
Downer,Downer - TFO (Wideband),W12947a,WT-3a Install of a Wideband Carrier Ethernet Product - existing devices both ends (Metro),per existing both ends,$ 535.41,WT-3a Install of a Wideband Carrier Ethernet Product - existing devices both ends (Metro),45100
Downer,Downer - TFO (Wideband),W12947b,WT-3a Install of a Wideband Carrier Ethernet Product - existing devices both ends (Regional),per existing both ends,$ 535.41,WT-3a Install of a Wideband Carrier Ethernet Product - existing devices both ends (Regional),45100
Downer,Downer - TFO (Wideband),W12948,WT-3c Install of a Wideband Carrier Ethernet Product - new devices both ends,per new both ends,"$ 1,136.99",WT-3c Install of a Wideband Carrier Ethernet Product - new devices both ends,45100
Downer,Downer - TFO (Wideband),W12949,WT-3b Install of a Wideband Carrier Ethernet Product - new device one end,per new one end,$ 731.50,WT-3b Install of a Wideband Carrier Ethernet Product - new device one end,45100
Downer,Downer - TFO (Wideband),W12954,WT-8a Install Customer Wideband Rack and power system,Per unit,$ 195.07,WT-8a Install Customer Wideband Rack and power system,45100
Downer,Downer - TFO (Wideband),W12958,WT-1b Install of an Ethernet Product and new Device with Ethernet over Transport Backhaul,Per unit,$ 885.21,WT-1b Install of an Ethernet Product and new Device with Ethernet over Transport Backhaul,45100
Downer,Downer - TFO (Wideband),W12960,WT-1a Install of an Ethernet Product and new Device via Direct Fibre,Per system,$ 811.00,WT-1a Install of an Ethernet Product and new Device via Direct Fibre,45100
Downer,Downer - TFO (Wideband),W12964,WT-2a Install of a Wideband Fibre Based Service,per service,$ 873.74,WT-2a Install of a Wideband Fibre Based Service,45100
Downer,Downer - TFO (Wideband),W12966,WT-13 Install SDH cards & associated cabling,Per card,$ 293.39,WT-13 Install SDH cards & associated cabling,45100
Downer,Downer - TFO (Wideband),W12968,WO-2c Install fibre patch cords / pigtails during a fully terminated Exchange Cable Installation,Per Fibre,$ 20.02,WO-2c Install fibre patch cords / pigtails during a fully terminated Exchange Cable Installation,45100
Downer,Downer - TFO (Wideband),W12971,Install Optical Fibre Rack - Type 92 Rack,Each,$ 380.64,Install Optical Fibre Rack - Type 92 Rack,45100
Downer,Downer - TFO (Wideband),W12973,Fit Optical fibre closure 1 to 24 fibre,Per Joint,$ 209.40,Fit Optical fibre closure 1 to 24 fibre,45100
Downer,Downer - TFO (Wideband),W12974,Fit Optical fibre closure 12 to 72 fibre,Per Joint,$ 322.74,Fit Optical fibre closure 12 to 72 fibre,45100
Downer,Downer - TFO (Wideband),W12976,Fit UCNP 7-20 closure,Closure,$ 517.87,Fit UCNP 7-20 closure,45100
Downer,Downer - TFO (Wideband),W12977,Optical Fibre Closure - UCNP 9-30 closure,Closure,$ 610.45,Optical Fibre Closure - UCNP 9-30 closure,45100
Downer,Downer - TFO (Wideband),W12978,WO-2b Splicing fibre to fibre during a fully terminated Exchange Cable Installation,Per Fibre,$ 9.18,WO-2b Splicing fibre to fibre during a fully terminated Exchange Cable Installation,45100
Downer,Downer - TFO (Wideband),W12979,Install Customer Optical Fibre Termination Unit (COFTU) - Install up to 72 Fibre COFTU,Each,$ 257.55,Install Customer Optical Fibre Termination Unit (COFTU) - Install up to 72 Fibre COFTU,45100
Downer,Downer - TFO (Wideband),W12981,Rod and Rope Conduit and Install Optical Fibre Cable (Greater than 144 Fibre)  – Vacant Conduit/sub duct,Metre,$ 3.39,Rod and Rope Conduit and Install Optical Fibre Cable (Greater than 144 Fibre)  – Vacant Conduit/sub duct,45100
Downer,Downer - TFO (Wideband),W12982,Rod and Rope Conduit and Install Optical Fibre Cable (Greater than 144 Fibre)   – Occupied Conduit,Metre,$ 4.05,Rod and Rope Conduit and Install Optical Fibre Cable (Greater than 144 Fibre)   – Occupied Conduit,45100
Downer,Downer - TFO (Wideband),W12983,Haul Optical Fibre Cable (Greater than 144 Fibre),Metre,$ 3.04,Haul Optical Fibre Cable (Greater than 144 Fibre),45100
Downer,Downer - TFO (Wideband),W12984,Optical Fibre Closure - Install and prepare additional optic fibre cable into joint up to 13-72 Fibre,Per Cable,$ 114.64,Optical Fibre Closure - Install and prepare additional optic fibre cable into joint up to 13-72 Fibre,45100
Downer,Downer - TFO (Wideband),W12985,Install and prepare additional optic fibre cable into existing joint greater than 72 Fibre,Per cable,$ 139.01,Install and prepare additional optic fibre cable into existing joint greater than 72 Fibre,45100
Downer,Downer - TFO (Wideband),W12986,Install Optical Fibre Terminal Unit - 13 – 72 fibre cable size,Each,$ 295.16,Install Optical Fibre Terminal Unit - 13 – 72 fibre cable size,45100
Downer,Downer - TFO (Wideband),W12987,Install Optical Fibre Terminal Unit - 73 – 144 fibre cable size,Each,$ 587.22,Install Optical Fibre Terminal Unit - 73 – 144 fibre cable size,45100
Downer,Downer - TFO (Wideband),W12988,Install Optical Fibre Terminal Unit - > 144 fibre cable size,Each,"$ 1,067.74",Install Optical Fibre Terminal Unit - > 144 fibre cable size,45100
Downer,Downer - TFO (Wideband),W13003,Installation of Pigtail/corded fibre/patch lead -  Install Single Pigtail/corded fibre/patch lead at any Single locations,Per fibre,$ 55.80,Installation of Pigtail/corded fibre/patch lead -  Install Single Pigtail/corded fibre/patch lead at any Single locations,45100
Downer,Downer - TFO (Wideband),W13004,Installation of Pigtail/corded fibre/patch lead - Install  Second and subsequent Pigtail/corded fibre/patch lead (up to and including 20metre)extra over to OO-6e1,Per fibre,$ 25.67,Installation of Pigtail/corded fibre/patch lead - Install  Second and subsequent Pigtail/corded fibre/patch lead (up to and including 20metre)extra over to OO-6e1,45100
Downer,Downer - TFO (Wideband),W13005,Installation of Pigtail/corded fibre/patch lead - Install Second and subsequent Pigtail/corded fibre/patch lead (greater than 20m)  extra over to OO-6e1,Per fibre,$ 40.07,Installation of Pigtail/corded fibre/patch lead - Install Second and subsequent Pigtail/corded fibre/patch lead (greater than 20m)  extra over to OO-6e1,45100
Downer,Downer - TFO (Wideband),W13040,WT-5c Install and Commission a CIENA 6500- 14 or 32 POTS subrack,per subrack,$ 422.56,WT-5c Install and Commission a CIENA 6500- 14 or 32 POTS subrack,45100
Downer,Downer - TFO (Wideband),W13041,WT-5d Install and Commission a CIENA 6500-7 type 2/POTS ROADM/DIA subrack,per subrack,$ 811.00,WT-5d Install and Commission a CIENA 6500-7 type 2/POTS ROADM/DIA subrack,45100
Downer,Downer - TFO (Wideband),W13043,WT-5e Install WE node filter rack configuration only,per filter rack,$ 232.17,WT-5e Install WE node filter rack configuration only,45100
Downer,Downer - TFO (Wideband),W13044,WT-5f Install and Commission CIENA 6500-7 type 2 traffic shelf,per subrack,$ 811.00,WT-5f Install and Commission CIENA 6500-7 type 2 traffic shelf,45100
Downer,Downer - TFO (Wideband),W13045,WT-5g Install and Commission a WE CIENA 6500-7 type 2 subrack,Per subrack,$ 811.00,WT-5g Install and Commission a WE CIENA 6500-7 type 2 subrack,45100
Downer,Downer - TFO (Wideband),W13457,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Supply & Install Composite Pit Cover, 5 Pit",Each cover,$ 58.80,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Supply & Install Composite Pit Cover, 5 Pit",45100
Downer,Downer - TFO (Wideband),W13458,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Supply & Install Composite Pit Cover, 6, 8 & 9 Pit",Each cover,$ 69.29,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Supply & Install Composite Pit Cover, 6, 8 & 9 Pit",45100
Downer,Downer - TFO (Wideband),W1352,Install Alarm Power and Distribution Panel (APDP) - All Types,per panel,$ 235.09,Install Alarm Power and Distribution Panel (APDP) - All Types,45100
Downer,Downer - TFO (Wideband),W1543,WO-2h Install OFDF 1 Drawer Sub-rack & Patch Panel.,per Panel,$ 74.53,WO-2h Install OFDF 1 Drawer Sub-rack & Patch Panel.,45100
Downer,Downer - TFO (Wideband),W2743,OTR boring 51-110mm ID pipe including under roadways,Per metre,$ 75.25,OTR boring 51-110mm ID pipe including under roadways,45100
Downer,Downer - TFO (Wideband),W4742,O/F joint re-entry - openable joint (OJ),Per unit,$ 67.45,O/F joint re-entry - openable joint (OJ),45100
Downer,Downer - TFO (Wideband),W4743,O/F Joint re-entry-inline,Per joint,$ 124.22,O/F Joint re-entry-inline,45100
Downer,Downer - TFO (Wideband),W5076,"Rod, Rope and Prove Conduit or Pipe - Rod, Rope and Prove Conduit or
Pipe",Metre,$ 1.29,"Rod, Rope and Prove Conduit or Pipe - Rod, Rope and Prove Conduit or
Pipe",45100
Downer,Downer - TFO (Wideband),W5088,Cable Installation /Removal - Direct Buried Cable Installed by Open Trenching Techniques - Provision of trench in OTR (750 mm deep and up to 1000 metres in length),Metre,$ 10.90,Cable Installation /Removal - Direct Buried Cable Installed by Open Trenching Techniques - Provision of trench in OTR (750 mm deep and up to 1000 metres in length),45100
Downer,Downer - TFO (Wideband),W5094,Cable Installation /Removal - Recover Cable from External Plant Network - Single or Multiple 2/5pr & up to 200pr cable,Metre,$ 1.00,Cable Installation /Removal - Recover Cable from External Plant Network - Single or Multiple 2/5pr & up to 200pr cable,45100
Downer,Downer - TFO (Wideband),W5096,Recover cable - Greater than 200 pair,Metre,$ 4.00,Recover cable - Greater than 200 pair,45100
Downer,Downer - TFO (Wideband),W5193,"Cable Installation/Removal in Tunnels
(Applicable to Sydney and Melbourne Areas Only). - Cable Hauling - Optical Fibre",Metre,$ 4.56,"Cable Installation/Removal in Tunnels
(Applicable to Sydney and Melbourne Areas Only). - Cable Hauling - Optical Fibre",45100
Downer,Downer - TFO (Wideband),W5201,"Cable Installation/Removal in Tunnels
(Applicable to Sydney and Melbourne Areas Only). - Cable Racking - Optical Fibre",Metre,$ 1.64,"Cable Installation/Removal in Tunnels
(Applicable to Sydney and Melbourne Areas Only). - Cable Racking - Optical Fibre",45100
Downer,Downer - TFO (Wideband),W5202,Cable (or Lead-in) Installation/Removal in Buildings - Rodding and Roping in Buildings - Rod and Rope ceiling/underfloor space,Metre,$ 1.53,Cable (or Lead-in) Installation/Removal in Buildings - Rodding and Roping in Buildings - Rod and Rope ceiling/underfloor space,45100
Downer,Downer - TFO (Wideband),W5203,Cable (or Lead-in) Installation/Removal in Buildings - Rodding and Roping in Buildings - Provide draw rope in riser shaft/cable race.,Metre,$ 2.37,Cable (or Lead-in) Installation/Removal in Buildings - Rodding and Roping in Buildings - Provide draw rope in riser shaft/cable race.,45100
Downer,Downer - TFO (Wideband),W5204,Cable (or Lead-in) Installation/Removal in Buildings - Cable Hauling - Smaller than or equal to 100 pair cable or equal to 144F Optical in ceiling or floor space.,Metre,$ 4.53,Cable (or Lead-in) Installation/Removal in Buildings - Cable Hauling - Smaller than or equal to 100 pair cable or equal to 144F Optical in ceiling or floor space.,45100
Downer,Downer - TFO (Wideband),W5205,"Cable (or Lead-in) Installation/Removal in Buildings - Cable Hauling - Larger than 100 pair cable or larger than 144F Optical in ceiling, riser shaft or floor space.",Metre,$ 5.81,"Cable (or Lead-in) Installation/Removal in Buildings - Cable Hauling - Larger than 100 pair cable or larger than 144F Optical in ceiling, riser shaft or floor space.",45100
Downer,Downer - TFO (Wideband),W5206,Cable (or Lead-in) Installation/Removal in Buildings - Cable Hauling - Smaller than or equal to 100 pair cable or equal to 144F Optical in riser shaft.,Metre,$ 4.28,Cable (or Lead-in) Installation/Removal in Buildings - Cable Hauling - Smaller than or equal to 100 pair cable or equal to 144F Optical in riser shaft.,45100
Downer,Downer - TFO (Wideband),W5207,DD-9b4 Haul Larger than 100 pair cable or Optical fibre in riser shaft,METRE,$ 6.19,DD-9b4 Haul Larger than 100 pair cable or Optical fibre in riser shaft,45100
Downer,Downer - TFO (Wideband),W5212,Cable (or Lead-in) Installation/Removal in Buildings - Cable Racking/Cable Support - Up to 100 Pair cable and Optical Fibre,Metre,$ 2.37,Cable (or Lead-in) Installation/Removal in Buildings - Cable Racking/Cable Support - Up to 100 Pair cable and Optical Fibre,45100
Downer,Downer - TFO (Wideband),W5217,Replace Manhole Covers,Each cover panel,$ 235.45,Replace Manhole Covers,45100
Downer,Downer - TFO (Wideband),W5228,Reinstatement of Soil (Existing Pits/Manholes/Trenches),Per 0.25 cu metres.,$ 38.58,Reinstatement of Soil (Existing Pits/Manholes/Trenches),45100
Downer,Downer - TFO (Wideband),W5241,Supply and replace Reinforced concrete cover (All Sizes),Each cover,$ 62.39,Supply and replace Reinforced concrete cover (All Sizes),45100
Downer,Downer - TFO (Wideband),W5242,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Cast iron cover (J2/JC2/P2, J3/JC3/P3, J4/JC4/P4)",Each lid,$ 142.98,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Cast iron cover (J2/JC2/P2, J3/JC3/P3, J4/JC4/P4)",45100
Downer,Downer - TFO (Wideband),W5245,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Cast iron cover (P5)",Each lid,$ 185.95,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Cast iron cover (P5)",45100
Downer,Downer - TFO (Wideband),W5246,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Cast iron cover (H6/8/9, JC6/8/9, P6/8/9)",Each lid,$ 204.15,"Replace Pit Covers (Reinforced concrete, composite and cast iron) - Cast iron cover (H6/8/9, JC6/8/9, P6/8/9)",45100
Downer,Downer - TFO (Wideband),W5275,Border Protection for Pits - Cast In-situ Collar Double Cover Pit,Each,$ 168.88,Border Protection for Pits - Cast In-situ Collar Double Cover Pit,45100
Downer,Downer - TFO (Wideband),W5276,Border Protection for Pits - Cast In-situ Collar Triple Cover Pit,Each,$ 224.73,Border Protection for Pits - Cast In-situ Collar Triple Cover Pit,45100
Downer,Downer - TFO (Wideband),W5277,Border Protection for Pits - Cast In-situ Collar Single Cover Pit,Each,$ 81.48,Border Protection for Pits - Cast In-situ Collar Single Cover Pit,45100
Downer,Downer - TFO (Wideband),W5278,Rectify Blockages up to Up to 2000mm in length and 1000 mm deep - Less than or equivalent to 50 mm diameter by 2000 mm long,Each,$ 250.35,Rectify Blockages up to Up to 2000mm in length and 1000 mm deep - Less than or equivalent to 50 mm diameter by 2000 mm long,45100
Downer,Downer - TFO (Wideband),W5279,Rectify Blockages up to  2000mm in length and 1000 mm deep - Over 50 mm diameter by 2000 mm long,Each,$ 361.00,Rectify Blockages up to  2000mm in length and 1000 mm deep - Over 50 mm diameter by 2000 mm long,45100
Downer,Downer - TFO (Wideband),W5282,Rectify Blockages - Extra over item EE-14a per metre or part thereof (length). - Less than or equivalent to 50 mm diameter,Metre,$ 68.15,Rectify Blockages - Extra over item EE-14a per metre or part thereof (length). - Less than or equivalent to 50 mm diameter,45100
Downer,Downer - TFO (Wideband),W5283,Rectify Blockages - Extra over item EE-14a per metre or part thereof (length). - Over 50 mm diameter,Metre,$ 84.35,Rectify Blockages - Extra over item EE-14a per metre or part thereof (length). - Over 50 mm diameter,45100
Downer,Downer - TFO (Wideband),W5289,Rectify Blockages - Clear Blockage using low-pressure hose or equivalent.,Each,$ 68.95,Rectify Blockages - Clear Blockage using low-pressure hose or equivalent.,45100
Downer,Downer - TFO (Wideband),W5294,Pits in Already Excavated Trench - Supply and Install Single cover Plastic Pit (P2),Each,$ 174.89,Pits in Already Excavated Trench - Supply and Install Single cover Plastic Pit (P2),45100
Downer,Downer - TFO (Wideband),W5295,Pits in Already Excavated Trench - Supply and Install Single cover Plastic Pit (P5),Each,$ 304.24,Pits in Already Excavated Trench - Supply and Install Single cover Plastic Pit (P5),45100
Downer,Downer - TFO (Wideband),W5296,Pits in Already Excavated Trench - Supply and Install Single cover Plastic Pit (P5 + collar/riser),Each,$ 401.61,Pits in Already Excavated Trench - Supply and Install Single cover Plastic Pit (P5 + collar/riser),45100
Downer,Downer - TFO (Wideband),W5298,Pits in Already Excavated Trench - Supply and Install Double cover Plastic Pit (P8 i.e. P6 + collar/riser),Each,$ 966.73,Pits in Already Excavated Trench - Supply and Install Double cover Plastic Pit (P8 i.e. P6 + collar/riser),45100
Downer,Downer - TFO (Wideband),W5300,Pits in Already Excavated Trench - Supply & install Precast concrete double cover pit.,Each,$ 925.93,Pits in Already Excavated Trench - Supply & install Precast concrete double cover pit.,45100
Downer,Downer - TFO (Wideband),W5301,Pits in Already Excavated Trench - Supply and install Precast concrete triple cover pit.,Each,"$ 1,487.17",Pits in Already Excavated Trench - Supply and install Precast concrete triple cover pit.,45100
Downer,Downer - TFO (Wideband),W5302,Supply and install extra/over collar/riser for P8 (additional riser),Each,$ 202.87,Supply and install extra/over collar/riser for P8 (additional riser),45100
Downer,Downer - TFO (Wideband),W5304,Supply and install new pit over existing Plant - Single cover Plastic Pit (P2),each,$ 250.23,Supply and install new pit over existing Plant - Single cover Plastic Pit (P2),45100
Downer,Downer - TFO (Wideband),W5305,Pits over Existing Plant  - Supply and Install Single cover Plastic Pit (P5),Each,$ 431.71,Pits over Existing Plant  - Supply and Install Single cover Plastic Pit (P5),45100
Downer,Downer - TFO (Wideband),W5306,Pits over Existing Plant  - Supply and Install Single cover Plastic Pit (P5 + collar/riser),Each,$ 537.21,Pits over Existing Plant  - Supply and Install Single cover Plastic Pit (P5 + collar/riser),45100
Downer,Downer - TFO (Wideband),W5307,Pits over Existing Plant  - Supply and Install Double cover Plastic Pit (P6),Each,$ 772.10,Pits over Existing Plant  - Supply and Install Double cover Plastic Pit (P6),45100
Downer,Downer - TFO (Wideband),W5308,Pits over Existing Plant  - Supply and Install Double cover Plastic Pit (P8 i.e. P6 + collar/riser),Each,"$ 1,149.03",Pits over Existing Plant  - Supply and Install Double cover Plastic Pit (P8 i.e. P6 + collar/riser),45100
Downer,Downer - TFO (Wideband),W5309,Pits over Existing Plant  - Supply and Install Triple cover Plastic Pit (P9),Each,"$ 1,800.29",Pits over Existing Plant  - Supply and Install Triple cover Plastic Pit (P9),45100
