Job No.,Job Name,ID No.,Type of Cost,Cost Code,Project Cost,Date,Month Incurred Credit or Debit,Memo,Debit,Project Revenue,Credit,Sydney Staff & Wagga staff,Cost breakup,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 New Devs DJC Internals,NBN New Devs - MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20797 - 2RYD-03 - AYCA-1SUDYS – 15 Porter St Ryde - La Pearl,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20620 - 2EPP-05 - AYCA-3071BP - Macquarie Park Village,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 Minor Works DJC Internals,NBN Minor Works - MW20764 - 2BLK-12-07 - Lot 21 Western MTQY,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,Overhead,Overhead,Overhead,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 4088301 CHV14B Toyota Hilux SYD,$157.04,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,Overhead,Overhead,Overhead,7/31/17,Jul-17,E-Toll Business Operations Centre - PLATE IDENTIFIED - CHV14B,$4.18,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,"NBN New Devs - MW20686 - AYCA-1RBL6L - The North Village , Kellyville",7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166430 KE BX10GL Izuzu Tipper",$58.41,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 Minor Works DJC Internals,NBN Minor Works - MW20764 - 2BLK-12-07 - Lot 21 Western MTQY,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166430 KE BX10GL Izuzu Tipper",$58.41,,,,,,,,,,,
INV,AARNet,B VISA E-TOLL July 2017,DJC,AARNet DJC ,ARRNet - ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166430 KE BX10GL Izuzu Tipper",$58.41,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW21024 - AYCA-4JN54Z - 2NRN-05 - Elderslie,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166430 KE BX10GL Izuzu Tipper",$58.41,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,Overhead,Overhead,Overhead,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 3829695 GC GCC00K F250 Ford",$7.11,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20877 - AYCA-4992YE - 2RIV-02 - 34-36 Schofields - North Park  - 9,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20786 - 2LIV-03 - AYCA-47DIBW - Dale Development,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20644 - AYCA-35B3X9 -  Renocorp Australia Pty Ltd ,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 New Devs DJC Internals,"NBN New Devs - MW20441 - AYCA-3KSRGR - Norberta St, The Entrance",7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 New Devs DJC Internals,NBN New Devs - MW20729 - COR-04 - AYCA-4D6AY6 - 94 POPES RD,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20758 - 2BAN-64 - AYCA-3ETV2Y - 21-25 Leonard Street,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20876 - 2RIV-02 -AYCA-499AY5 - 34-36 Schofields - North Park - 10,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 New Devs DJC Internals,NBN New Devs - MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20797 - 2RYD-03 - AYCA-1SUDYS – 15 Porter St Ryde - La Pearl,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20620 - 2EPP-05 - AYCA-3071BP - Macquarie Park Village,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 Minor Works DJC Internals,NBN Minor Works - MW20764 - 2BLK-12-07 - Lot 21 Western MTQY,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3665998 GB BU59MS Toyota Hiace Van ,$9.62,,,,,,,,,,,
INV,VPL Sydney,B VISA E-TOLL July 2017,DJC,Visionstream DJC Internals,VPL - FttB Build 2DAL-23 & 24,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 4088300 SPARE ,$186.14,,,,,,,,,,,
INV,VPL Sydney,B VISA E-TOLL July 2017,DJC,Visionstream DJC Internals,VPL - FttB Build 2DAL-23 & 24,7/31/17,Jul-17,E-Toll Business Operations Centre - TAG NO 3830879 SPARE,$89.41,,,,,,,,,,,
INV,NBN Sydney,51385216,DJC,NBN A417 MDU DJC,NBN New Devs - MW21052 - AYCA-3OLAP3 - 2MAI-11 - WA Brown ,7/15/17,Jul-17,"TNT Australia Pty Ltd - 10/07/17 42797030
Murrurundi",$33.63,,,,,,,,,,,
INV,NBN Sydney,51385216,DJC,NBN A401 New Devs DJC,NBN New Devs - MW20821 - AYCA-45D358 NSB Albuera Close -  BUILD,7/15/17,Jul-17,"TNT Australia Pty Ltd - 5/07/17 982000101060
Minchinbury/Dubbo",$63.03,,,,,,,,,,,
INV,NBN Sydney,71 A89447,Overhead,Overhead Materials,Overhead,7/21/17,Jul-17,Middy's Data & Electrical - Freight to Minchinbury,$90.00,,,,,,,,,,,
INV,NBN Sydney,878589,Overhead,Overhead,Overhead,7/5/17,Jul-17,"Mitronics - MC.DSA
Digital Support Agreement - Chargeable",$39.95,,,,,,,,,,,
INV,NBN Sydney,878589,Overhead,Overhead,Overhead,7/5/17,Jul-17,"Mitronics - MC.COLOUR.PAGE
Serial No - A02E041005704
Colour Last Read - 215,883 8/06/2017
Current Read - 219,102 Prints - 3,219",$360.53,,,,,,,,,,,
INV,NBN Sydney,878589,Overhead,Overhead,Overhead,7/5/17,Jul-17,"Mitronics - MC.BLACK.PAGE
Serial No - A02E041005704 Black Last Read - 210,907 8/06/2017
Current Read - 212,354 Prints - 1,447",$14.90,,,,,,,,,,,
INV,AARNet,PJ10006348,DJC,AARNet DJC,AARNet - ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,7/21/17,Jul-17,Ultimate Positioning Group - Data Preparation,$100.00,,,,,,,,,,,
INV,AARNet,PJ10006348,DJC,AARNet DJC ,ARRNet - ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,7/21/17,Jul-17,"Ultimate Positioning Group - 88181-04
Trimble Geo 7X handheld with rangefinder (H-Star Floodlight)
Hire for the day of 27/07/17",$250.00,,,,,,,,,,,
INV,NBN Sydney,200I997920,DJC,NBN A401 New Devs DJC,NBN New Devs - MW20729 - COR-04 - AYCA-4D6AY6 - 94 POPES RD,7/31/17,Jul-17,Boom Logistics - Fuel Levy,$35.28,,,,,,,,,,,
INV,NBN Sydney,200I997920,DJC,NBN A401 New Devs DJC,NBN New Devs - MW20729 - COR-04 - AYCA-4D6AY6 - 94 POPES RD,7/31/17,Jul-17,Boom Logistics - Hire of 18m Industrial Travel Tower and Operator,$564.72,,,,,,,,,,,
INV,NBN Sydney,7173/01534596,Overhead,Overhead Materials,Overhead Materials,7/1/17,Jul-17,Bunnings Warehouse - Marker Sharpie Med White Paint Marker,$5.14,,,,,,,,,,,
INV,NBN Sydney,7173/01534596,Overhead,Overhead Materials,Overhead Materials,7/1/17,Jul-17,Bunnings Warehouse - Holesaw HSS Sutton 16mm Viper H114 ,$14.77,,,,,,,,,,,
INV,NBN Sydney,7173/01534596,Overhead,Overhead Materials,Overhead Materials,7/1/17,Jul-17,Bunnings Warehouse - Holesaw Arbor Viper Sutton 14-30mm ,$18.12,,,,,,,,,,,
INV,NBN Sydney,015-74350-7016,Overhead,Overhead Materials,Overhead Materials,7/3/17,Jul-17,Bunnings Warehouse - Screws Timber Type 17 HP BHD 8-15x32 pk100 1-241-9202-6,$9.84,,,,,,,,,,,
INV,NBN Sydney,015-74350-7016,Overhead,Overhead Materials,Overhead Materials,7/3/17,Jul-17,Bunnings Warehouse - Rivets Steel 100pk Zenith 42 1/8 Diax1/8 Grip ARS0070,$6.95,,,,,,,,,,,
INV,NBN Sydney,422851-760,Overhead,Overhead Materials,Overhead Materials,7/3/17,Jul-17,"TLE Electrical - NBN CETs - For Type 3 jobs
CLIL& Neutral Link 100A 500V 7 Hole F/Wiring P/Mount Black",$60.13,,,,,,,,,,,
INV,NBN Sydney,015-74350-7016,Overhead,Overhead Materials,Overhead Materials,7/3/17,Jul-17,Bunnings Warehouse - Plugs Wall Green Ramset 7x35mm Bag50 WPG735/B50,$2.91,,,,,,,,,,,
INV,AARNet,11233,DJC,AARNet DJC ,ARRNet - ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,7/10/17,Jul-17,"City of Parramatta - Pitt St Parking
Meter No: PIT01-0A
Mo 10 Jul 2017",$1.82,,,,,,,,,,,
INV,AARNet,11256,DJC,AARNet DJC ,ARRNet - ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,7/11/17,Jul-17,"City of Parramatta - Pitt St Parking
Meter No: PIT01-0A
Tu 11 Jul 2017",$2.73,,,,,,,,,,,
INV,AARNet,11250,DJC,AARNet DJC ,ARRNet - ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,7/11/17,Jul-17,"City of Parramatta - Pitt St Parking
Meter No: PIT01-0A
Tu 11 Jul 2017",$3.64,,,,,,,,,,,
INV,NBN Sydney,395320,Overhead,Overhead Materials,Overhead Materials,7/13/17,Jul-17,Steel Supplies - Fuel Surcharge,$2.00,,,,,,,,,,,
INV,NBN Sydney,423557-760,Overhead,Overhead Materials,Overhead Materials,7/17/17,Jul-17,"TLE Electrical - PDL51M/B
Surface Socket Rear Connect 10A 250V White",$44.36,,,,,,,,,,,
INV,NBN Sydney,423557-760,Overhead,Overhead Materials,Overhead Materials,7/17/17,Jul-17,"TLE Electrical - SALS9041TCWH
D/Light Rnd Fixed Drv c/o 92mm 10W LED 3K/42K/57K White Dimm",$233.30,,,,,,,,,,,
INV,NBN Sydney,015-52475-7173,Overhead,Overhead Materials,Overhead Materials,7/18/17,Jul-17,Bunnings Warehouse - Blade Diamond Standard 115x22mm 8040115,$24.07,,,,,,,,,,,
INV,NBN Sydney,22075,Overhead,Overhead Materials,Overhead Materials,7/19/17,Jul-17,"TANDEM - ISG Management Pty Ltd - 26900102
Tie, Cable Self-Locking UV Res 300x3",$5.13,,,,,,,,,,,
INV,NBN Sydney,22075,Overhead,Overhead Materials,Overhead Materials,7/19/17,Jul-17,"TANDEM - ISG Management Pty Ltd - 26900092
Tie, Cable Self-Locking UV Res 2.5x100",$3.45,,,,,,,,,,,
INV,NBN Sydney,71 A89447,Overhead,Overhead Materials,Overhead Materials,7/21/17,Jul-17,Middy's Data & Electrical - Concrete Telstra P4 Pit Cover,$30.00,,,,,,,,,,,
INV,NBN Sydney,22176,Overhead,Overhead Materials,Overhead Materials,7/24/17,Jul-17,"TANDEM - ISG Management Pty Ltd - 7300229
Gas Cylinder, CO2 Tdux Inflation ",$22.89,,,,,,,,,,,
INV,NBN Sydney,22176,Overhead,Overhead Materials,Overhead Materials,7/24/17,Jul-17,"TANDEM - ISG Management Pty Ltd - 7300194
Duct Sealing System, Wrap around Tdux60",$261.62,,,,,,,,,,,
INV,NBN Sydney,22176,Overhead,Overhead Materials,Overhead Materials,7/24/17,Jul-17,"TANDEM - ISG Management Pty Ltd - 7300196
Duct Sealing System, Wrap around Tdux 100",$289.27,,,,,,,,,,,
INV,NBN Sydney,7016/01589625,Overhead,Overhead Materials,Overhead Materials,7/25/17,Jul-17,Bunnings Warehouse - Light work LED Arlec 20W 1400LM Recharge,$103.47,,,,,,,,,,,
INV,NBN Sydney,7016/01589625,Overhead,Overhead Materials,Overhead Materials,7/25/17,Jul-17,Bunnings Warehouse - Light Work LED 2x20W Tripod,$101.91,,,,,,,,,,,
INV,NBN Sydney,71 A89514,Overhead,Overhead Materials,Overhead Materials,7/25/17,Jul-17,"Middy's Data & Electrical - FXC FPA25-FPA25B
Coupler M25 FPA/L/H25B IP66",$135.00,,,,,,,,,,,
INV,NBN Sydney,71 A89514,Overhead,Overhead Materials,Overhead Materials,7/25/17,Jul-17,"Middy's Data & Electrical - FXC FPAS25B-50M
Conduit Flexible Nylon 25mm",$250.00,,,,,,,,,,,
INV,NBN Sydney,71 A89514,Overhead,Overhead Materials,Overhead Materials,7/25/17,Jul-17,"Middy's Data & Electrical - T&B HF025-B50
Conduit Hiflex 25mm Black 50m Roll",$155.50,,,,,,,,,,,
INV,NBN Sydney,71 A89540,Overhead,Overhead Materials,Overhead Materials,7/26/17,Jul-17,"Middy's Data & Electrical - BVC 124045
Pit P8 Plastic Telstra 99/162",$325.00,,,,,,,,,,,
INV,NBN Sydney,A2,Overhead,Overhead Materials,Overhead Materials,7/27/17,Jul-17,"City Centre Car Park - Parramatta - In: 27/07/17 10:49
Out: 27/07/17 13:17",$9.09,,,,,,,,,,,
INV,NBN Sydney,71 A89563,Overhead,Overhead Materials,Overhead Materials,7/27/17,Jul-17,"Middy's Data & Electrical - RAY TDUX-60-A788
Inflatable Sealing Sys 40-60mm MOQ10",$209.45,,,,,,,,,,,
INV,VPL Sydney,0003,DJC,Visionstream DJC Internals,VPL - FttB Re Design 2DAL-26,7/2/17,Jul-17,Rainer James Barrozo - 2DAL-26-00-MPS-007,$90.00,,,,,,,,,,,
INV,NBN Sydney,INV-1112,DJC,NBN A401 New Devs DJC,"NBN New Devs - MW20441 - AYCA-3KSRGR - Norberta St, The Entrance",7/3/17,Jul-17,"Complete Onsite Group - Traffic Control - AYCA-3KSRGR 
Norberta St The Entrance 20/06/17 07:00-15:30 (8.5hrs) x 2 including travel",$856.00,,,,,,,,,,,
INV,NBN Sydney,INV-0121,Overhead,Overhead,Overhead,7/10/17,Jul-17,Warriewood Consultancy - Datateks Day Rate,"$11,570.76",,,,,,,,,,,
INV,NBN Sydney,17/1055,DJC,NBN A401 New Devs DJC,NBN New Devs - MW20436 - AYCA-3B8YY0 - Warrana Place,7/12/17,Jul-17,"KSJDA Pty Ltd - NBN MWA 
MW20436-AYCA-3B8YY0 - Warrana Place, Taree","$4,740.05",,,,,,,,,,,
INV,NBN Sydney,01803528,DJC,NBN A401 New Devs DJC,NBN New Devs - MW20436 - AYCA-3B8YY0 - Warrana Place,7/14/17,Jul-17,"5SMITHS - NBN MWA20436 - AYCA-3B8YY0 - Warrana Place
Splicing, Testing, Instal and Test NTU","$5,402.66",,,,,,,,,,,
INV,AARNet,01803532,DJC,AARNet DJC,AARNet - ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,7/17/17,Jul-17,"5SMITHS - AARNet Auburn Hospital
Prepare 48SMOF Cable, Splice & Terminate Fibres, Testing","$3,870.83",,,,,,,,,,,
INV,NBN Sydney,INV-0122,Overhead,Overhead,Overhead,7/24/17,Jul-17,Warriewood Consultancy - Datateks Day Rate,"$9,642.30",,,,,,,,,,,
INV,NBN Sydney,INV-1179,DJC,NBN A401 New Devs DJC,NBN New Devs - MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood,7/25/17,Jul-17,Complete Onsite Group - Traffic Control Plans,$240.00,,,,,,,,,,,
INV,NBN Sydney,INV-1179,DJC,NBN A401 New Devs DJC,NBN New Devs - MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood,7/25/17,Jul-17,Complete Onsite Group - Traffic Control Works,"$2,334.39",,,,,,,,,,,
INV,AARNet,00000532,DJC,AARNet DJC ,ARRNet - ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,7/27/17,Jul-17,Qubicon Group - Night works completed 25th and 26th July 17 as per agreement,"$7,000.00",,,,,,,,,,,
INV,AARNet,INV-1207,DJC,AARNet DJC ,ARRNet - ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,7/30/17,Jul-17,Complete Onsite Group - Traffic Control Works,$581.00,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A401 New Devs Internals,NBN New Devs - MW20613 - AYCA-3CGK8N - Tulkaba View – 1,7/3/17,Jul-17,"Tool Allowance Earnings, Greg & Karsten ",$55.95,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-557,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20649 - 2RCH-03 - AYCA-2MLHJO - Macquarie Street Subdivision - South Windsor,7/10/17,Jul-17,"Tool Allowance Earnings, Greg & Karsten ",$55.95,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-559,DJC,NBN A401 Minor Works DJC Internals,NBN Minor Works - MW20764 - 2BLK-12-07 - Lot 21 Western MTQY,7/17/17,Jul-17,"Tool Allowance Earnings, Greg & Karsten ",$55.95,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-566,DJC,NBN A401 New Devs Internals,"NBN New Devs - MW20441 - AYCA-3KSRGR - Norberta St, The Entrance",7/24/17,Jul-17,"Tool Allowance Earnings, Greg & Karsten ",$55.95,,,,,,,,,,,
PE,AARNet,Payroll Expense Journal - PD-569,DJC,AARNet DJC Internals,ARRNet - ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,7/31/17,Jul-17,"Tool Allowance Earnings, Greg & Karsten ",$59.64,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-569,Overhead,Overhead,Overhead,7/31/17,Jul-17,Tool Allowance GC,$47.24,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,Overhead,Overhead,Overhead,7/3/17,Jul-17,"Tool Allowance Earnings, Brendan",$18.65,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-557,Overhead,Overhead,Overhead,7/10/17,Jul-17,"Tool Allowance Earnings, Brendan",$18.65,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-559,Overhead,Overhead,Overhead,7/17/17,Jul-17,"Tool Allowance Earnings, Brendan",$18.65,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-566,Overhead,Overhead,Overhead,7/24/17,Jul-17,"Tool Allowance Earnings, Brendan",$18.65,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-569,Overhead,Overhead,Overhead,7/31/17,Jul-17,"Tool Allowance Earnings, Brendan",$19.88,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522, ,,Greg & Karsten,7/3/17,Jul-17,TA Reimbursements,$299.74,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-557,,,Greg & Karsten,7/10/17,Jul-17,TA Reimbursements,$59.04,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-566,,,Greg & Karsten,7/24/17,Jul-17,TA Reimbursements,$89.22,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-569,,,Greg & Karsten,7/31/17,Jul-17,TA Reimbursements,$60.76,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-569,Overhead,Overhead,Overhead Gilbert TA in Sydney $185 a Day = 19.8 days in the month in Sydney,7/31/17,Jul-17,TA Reimbursements - GC,"$3,669.25",,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-566,Overhead,Overhead,Overhead,7/24/17,Jul-17,Reimbursements,$29.74,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-569,Overhead,Overhead,Overhead,7/31/17,Jul-17,Reimbursements,$0.32,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,Overhead,Overhead,Overhead,7/3/17,Jul-17,Earnings,"$1,707.82",,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A401 New Devs Internals,NBN New Devs - MW20613 - AYCA-3CGK8N - Tulkaba View – 1,7/3/17,Jul-17,Earnings Kasrten & Ash,$209.00,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A401 Minor Works DJC Internals,"NBN Minor Works - MW20718 - 2LJT-04-07-08 Unit 2, 234 The Entrance Road",7/3/17,Jul-17,Earnings Kasrten & Ash,$507.00,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A401 Minor Works DJC Internals,NBN Minor Works - MW20764 - 2BLK-12-07 - Lot 21 Western MTQY,7/3/17,Jul-17,Earnings Kasrten & Ash,"$1,198.82",,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20649 - 2RCH-03 - AYCA-2MLHJO - Macquarie Street Subdivision - South Windsor,7/3/17,Jul-17,Earning Greg & Brendan,$524.00,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A401 New Devs Internals,NBN New Devs - MW20613 - AYCA-3CGK8N - Tulkaba View – 1,7/3/17,Jul-17,Earning Greg & Brendan,$602.02,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A401 New Devs Internals,NBN New Devs - MW20720 - AYCA-4BHWVV - Argyle Community Housing,7/3/17,Jul-17,Earning Greg & Brendan,$780.15,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A401 Minor Works DJC Internals,"NBN Minor Works - MW20718 - 2LJT-04-07-08 Unit 2, 234 The Entrance Road",7/3/17,Jul-17,Earning Greg & Brendan,$644.92,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-522,DJC,NBN A401 Minor Works DJC Internals,NBN Minor Works - MW20764 - 2BLK-12-07 - Lot 21 Western MTQY,7/3/17,Jul-17,Earning Greg & Brendan,$878.97,,,,,,,,,,,
PE,NBN Sydney,Payroll Expense Journal - PD-557,Overhead,Overhead,Overhead,7/10/17,Jul-17,Earnings,"$1,404.76",,,,,,,,,,,
