"NBN Greenfields, Minor Works", $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,,,Peter," $	10,437.67 ",,,,,,,,,,,,,,,
NBN A417 Greenfield & MDU, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,,,,,,,,,,,,,,,,,,,
Minor Works Various, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,,,,,,,,,,,,,,,,,,,
AARNet, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,,,Peter H," $	8,135.00 ",,,,,,,,,,,,,,,
,$0.00, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,,,,,,,,,,,,,,,,,,,,
,, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,,,,,,,,,,,,,,,,,,,
,Total Greenfield jobs for the month,,0,,,,,,0,,,11,21,,,,,,,,,,,,,,,,,,,,
,,, $	-   ,,,,,, $	-   ,,, $	-   , $	-   ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,,,,,,,,,,,,,,,,,,,
,Total minor works Jobs for the Month,0,0,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,
,, $	-   , $	-   ,,,,,,,,, $	-   , $	-   ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Minor Works,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Count of Total Revenue,Column Labels,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Row Labels,A401/Minor works,Grand Total,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Aug-17,2,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Jun-17,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,May-17,3,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Sep-17,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Oct-17,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Feb-18,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Mar-18,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Grand Total,10,10,,,,,,,,,,
