Contract,Project Title,Location,,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,maximoOrderNumber,FSAM/MPS,Suburb,Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internat DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A401/Greenfield,MW21072 - 2PKS-20 - AYCA-49I4SO - 72 Brolgan Road,Central West,,Inv 12984,18/12/2017,31/10/2017,31/10/2017,08/11/2017,21/11/2017,24/11/2017,18/12/2017,Oct-17,Dec-17,,MW21072 - 2PKS-20 - AYCA-49I4SO - 72 Brolgan Road,Parkes,"$7,731.53","$1,439.14","$9,170.67","$10,087.74","$2,570.91",,"$2,570.91","$6,599.76",72%,Dave Yoemans,11/08/2017,14/09/2017,34d,13/10/2017,29d
A417 Greenfield MDU,MW21293 - 2LIV-63 - AYCA-4GNO0E - Coopers Paddock - 1-  INTERNAL,Sydney,,Inv 13082,17/01/2018,03/12/2017,04/12/2017,04/12/2017,12/12/2017,14/12/2017,18/01/2018,Dec-17,Jan-18,,MW21293 - 2LIV-63 - AYCA-4GNO0E - Coopers Paddock - 1-  INTERNAL,Liverpool,"$1,400.00","$1,060.69","$2,460.69","$2,706.75","$1,387.27",,"$1,387.27","$1,073.41",44%,Michael Tram,Driect Award,12/09/2017,,11/11/2017,60d
A401/Greenfield,MW20905 - 2NLT-09 - AYCA-47ENGU - 16 WALL – 1,Newcastle,,Inv 12884,30/11/2017,17/10/2017,17/10/2017,17/10/2017,17/11/2017,01/11/2017,05/12/2017,Oct-17,Dec-17,,MW20905 - 2NLT-09 - AYCA-47ENGU - 16 WALL – 1,Wallsend,"$5,557.33","$6,059.75","$11,617.08","$12,778.78",,,$0.00,"$11,617.08",100%,Mark Leal,26/06/2017,,,01/11/2017,
A401/Greenfield,MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build,Sydney,,,,,30/05/2018,,,,,May-18,Jan-00,,MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build,Liverpool,"$8,773.94",,"$8,773.94","$9,651.33",$300.00,,$300.00,"$8,473.94",97%,Andrew Mahassy,22/08/2017,,,30/09/2017,
A417 Greenfield MDU,MW21284 - 9DKI-07 - AYCA-3ZXA9V - 10 BAKEWELL ST -  COOMBS,ACT,,Inv 13192,07/02/2018,23/10/2017,23/10/2017,22/11/2017,20/12/2017,02/11/2017,08/02/2018,Oct-17,Feb-18,,MW21284 - 9DKI-07 - AYCA-3ZXA9V - 10 BAKEWELL ST -  COOMBS,Deakin,"$8,321.60","$12,809.51","$21,131.11","$23,244.22",,,$0.00,"$21,131.11",100%,Shaher Aslan,Driect Award,12/09/2017,,22/09/2017,10d
A401/Greenfield,MW21073 - 2WAG-05 AYCA-48HYBB - 89 Hammond Ave,Sth NSW,,Inv 13386,19/03/2018,08/02/2018,13/02/2018,06/03/2018,14/03/2018,26/02/2018,20/03/2018,Feb-18,Mar-18,,MW21073 - 2WAG-05 AYCA-48HYBB - 89 Hammond Ave,Wagga Wagga,"$6,447.82","$2,330.97","$8,778.79","$9,656.67",,,$0.00,"$8,778.79",100%,Dave Yoemans,11/08/2017,14/09/2017,,13/10/2017,29d
A401/Greenfield,MW20865 - 2NWR-03 - AYCA-2K3SGD - Elian Crescent 1.,Sth Coast,,Inv 12877,29/11/2017,12/10/2017,12/10/2017,24/10/2017,16/11/2017,26/10/2017,05/12/2017,Oct-17,Dec-17,,MW20865 - 2NWR-03 - AYCA-2K3SGD - Elian Crescent 1.,Nowra,"$8,598.36","$2,094.25","$10,692.61","$11,761.87","$1,480.00",,"$1,480.00","$9,212.61",86%,Ertan Cicek ,05/09/2017,18/09/2017,13d,25/09/2017,7d
A401/Greenfield,MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street,Sydney,,Inv 12825,16/11/2017,04/10/2017,06/10/2017,17/10/2017,25/10/2017,13/10/2017,21/11/2017,Oct-17,Nov-17,,MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street,Pendle Hill,"$37,391.76","-$1,916.73","$35,475.03","$39,022.54","$27,764.90",,"$27,764.90","$7,710.13",22%,Michael Tram,15/08/2017,25/09/2017,41d,01/11/2017,37d
Craig Comms,"2RIV-02-AYCA-1XO4MJ,  Hub install for Craig Comms",Sydney,,Inv 12631,26/09/2017,26/09/2017,26/09/2017,,,26/09/2017,26/10/2017,Sep-17,Oct-17,,"2RIV-02-AYCA-1XO4MJ,  Hub install for Craig Comms",Rouse Hill,"$1,475.00",,"$1,475.00","$1,622.50",,,$0.00,"$1,475.00",100%,Craig Smith (Craig Comms),,,,,
A417 Greenfield MDU,MW21324 - AYCA-4L3K9Q - 2GLB-01 - Kidd Crt - 1,Sth NSW,,Inv 13300,01/03/2018,29/01/2018,30/01/2018,30/01/2018,09/02/2018,09/02/2018,01/03/2018,Jan-18,Mar-18,,MW21324 - AYCA-4L3K9Q - 2GLB-01 - Kidd Crt - 1,Goulburn,$560.70,"$1,627.97","$2,188.67","$2,407.54",,,$0.00,"$2,188.67",100%,Ertan Cicek ,Direct Award,20/09/2017,,26/10/2017,36d
A417 Greenfield MDU,MW21369 - AYCA-4EEPL6 - 2KNS-03 - Rosebery Park - 3,Sydney,,Inv 13301,06/03/2018,17/01/2018,18/01/2018,18/01/2017,19/02/2018,01/02/2018,15/02/2018,Jan-18,Feb-18,,MW21369 - AYCA-4EEPL6 - 2KNS-03 - Rosebery Park - 3,Rosebery,"$2,155.74","$6,398.35","$8,554.09","$9,409.50","$2,427.26",,"$2,427.26","$6,126.83",72%,Lindy Chan,Direct Award,26/09/2017,,29/09/2017,3d
A401/Greenfield,"MW21911-AYCA-4YPSLH-2ROU-02-6/4 COMMMERCIAL RD, ROUSE HILL",Sydney,,Inv 13515,20/04/2018,09/03/2018,13/03/2018,13/03/2018,13/04/2018,26/03/2018,24/04/2018,Mar-18,Apr-18,,"MW21911-AYCA-4YPSLH-2ROU-02-6/4 COMMMERCIAL RD, ROUSE HILL",Rouse Hill,$680.36,$512.56,"$1,192.92","$1,312.21",,,$0.00,"$1,192.92",100%,Ertan Cicek,Direct Award,22/02/2018,,,
A417 Greenfield MDU,MW21314 - 2BLK-10 - AYCA-4NCJ90 - Fine Property Group - 1- EXTERNAL,Sydney,,Inv 13024,08/01/2018,14/11/2017,16/11/2017,16/11/2017,24/11/2017,30/11/2017,11/01/2018,Nov-17,Jan-18,,MW21314 - 2BLK-10 - AYCA-4NCJ90 - Fine Property Group - 1- EXTERNAL,Doonside,"$1,080.54",$473.56,"$1,554.10","$1,709.51",,,$0.00,"$1,554.10",100%,Lindy Chan,Direct Award,27/09/2017,,21/10/2017,24d
A401/Greenfield,MW21032 - AYCA-4L57RB - 2MDG-01 -NSB - Bateman Ave Mudgee,West NSW,,Inv 12914,04/12/2017,12/10/2017,12/10/2017,,,24/11/2017,07/12/2017,Oct-17,Dec-17,,MW21032 - AYCA-4L57RB - 2MDG-01 -NSB - Bateman Ave Mudgee,Mudgee,"$1,760.00",,"$1,760.00","$1,936.00",,,$0.00,"$1,760.00",100%,Mark Leal,08/09/2017,28/09/2017,20d,07/10/2017,9d
A417 Greenfield MDU,MW21381 - 2LIV-03 - AYCA-4B5X29 - 209-213 Memorial Ave - 1- EXTERNAL,Sydney,,Inv 13117,23/01/2018,12/12/2017,13/12/2017,18/12/2017,20/12/2017,02/01/2017,23/01/2018,Dec-17,Jan-18,,MW21381 - 2LIV-03 - AYCA-4B5X29 - 209-213 Memorial Ave - 1- EXTERNAL,Liverpool,"$5,179.88",-$125.23,"$5,054.65","$5,560.12",$931.36,,$931.36,"$4,123.29",82%,Lindy Chan,Direct Award,29/09/2017,,31/10/2017,32d
A417 Greenfield MDU,MW21384 - 2PEN-65  - AYCA-4LWMQ0 - 271 Dunmore Street - 1- EXTERNAL,Sydney,,Inv 13283,22/02/2018,10/01/2018,10/01/2018,25/01/2018,07/02/2018,19/01/2018,27/02/2018,Jan-18,Feb-18,,MW21384 - 2PEN-65  - AYCA-4LWMQ0 - 271 Dunmore Street - 1- EXTERNAL,Pendle Hill,"$2,140.21","$3,046.46","$5,186.67","$5,705.34","$3,121.35",,"$3,121.35","$2,065.32",40%,Lindy Chan,Direct Award,29/09/2017,,31/10/2017,32d
A417 Greenfield MDU,MW20116 - AYCA-3I8XUO - 2RDL-60 - Highgardens – 1- EXTERNAL,Sydney,,Inv 13685,30/05/2018,17/04/2018,18/04/2018,24/04/2028,23/05/2018,02/05/2018,31/05/2018,Apr-18,May-18,,MW20116 - AYCA-3I8XUO - 2RDL-60 - Highgardens – 1- EXTERNAL,Eastwood,"$1,559.83","$13,890.21","$15,450.04","$16,995.04","$9,603.87",,"$9,603.87","$5,846.17",38%,Lindy Chan,Direct Award,09/10/2017,,14/11/2017,36d
A417 Greenfield MDU,MW20106 - 2ROU-02 - AYCA-30C7IB - Hillview Rise - 6,Sydney,,Inv 12932,21/12/2017,16/10/2017,16/10/2017,17/11/2017,04/12/2017,23/10/2017,06/11/2017,Oct-17,Nov-17,,MW20106 - 2ROU-02 - AYCA-30C7IB - Hillview Rise - 6,Eastwood,$742.20,$321.29,"$1,063.49","$1,169.84",,,$0.00,"$1,063.49",100%,Lindy Chan,Direct Award,09/10/2017,,14/11/2017,36d
A417 Greenfield MDU,MW20115 - 2PTH-02 - AYCA-4OSDE9 - ONYX - 1- EXTERNAL,Sydney,,Inv 13193,06/02/2017,12/01/2018,12/01/2018,12/01/2018,16/01/2018,25/01/2018,06/02/2018,Jan-18,Feb-18,,MW20115 - 2PTH-02 - AYCA-4OSDE9 - ONYX - 1- EXTERNAL,Penrith,$684.18,"$1,930.07","$2,614.25","$2,875.68",,,$0.00,"$2,614.25",100%,Andrew Partalis,Direct Award,10/10/2017,,14/11/2017,35d
A417 Greenfield MDU,MW21430 - 2RIV-02 - AYCA-3347PM - The Maples - 3,Sydney,,Inv 12806,14/11/2017,16/10/2017,16/10/2017,,,23/10/2017,16/11/2017,Oct-17,Nov-17,,MW21430 - 2RIV-02 - AYCA-3347PM - The Maples - 3,Schofields,$697.93,,$697.93,$767.72,,,$0.00,$697.93,100%,Andrew Mahassy,Direct Award,03/10/2017,,11/11/2017,39d
A417 Greenfield MDU,MW21425 - 2LIV-04 - AYCA-2IQYU1 - Macquaire St Development – 1-EXTERNAL,Sydney,,Inv 13048,12/01/2018,24/11/2017,24/11/2017,24/11/2017,20/12/2017,08/12/2017,16/01/2018,Nov-17,Jan-18,,MW21425 - 2LIV-04 - AYCA-2IQYU1 - Macquaire St Development – 1-EXTERNAL,Liverpool,$787.99,"$3,543.40","$4,331.39","$4,764.53","$2,729.39",,"$2,729.39","$1,602.00",37%,Lindy Chan,Direct Award,03/10/2017,,14/11/2017,42d
A417 Greenfield MDU,MW21385 - 2BLK-10 - AYCA-4A93XN - 43 Graham St - Doonside - 1,Sydney,,Inv 13369,15/03/2018,08/02/2018,08/02/2018,08/02/2018,21/02/2018,20/02/2018,15/03/2018,Feb-18,Mar-18,,MW21385 - 2BLK-10 - AYCA-4A93XN - 43 Graham St - Doonside - 1,Doonside,$550.82,"$2,183.10","$2,733.92","$3,007.31",,,$0.00,"$2,733.92",100%,Andrew Mahassy\Ertan Cicek ,Direct Award,04/10/2017,,31/10/2017,27d
A417 Greenfield MDU,MW21426 - 2PTH-05 - AYCA-3QAOV2 - Meyer Timber NSW - 1-EXTERNAL and INTERNAL,Sydney,,Inv 13022,08/01/2017,23/11/2017,23/11/2017,23/11/2017,28/11/2017,12/12/2017,28/12/2017,Nov-17,Dec-17,,MW21426 - 2PTH-05 - AYCA-3QAOV2 - Meyer Timber NSW - 1-EXTERNAL and INTERNAL,Penrith,"$1,098.26",$994.09,"$2,092.35","$2,301.59","$1,331.80",,"$1,331.80",$760.55,36%,Nabeel Jaimon,Direct Award,04/10/2017,,14/11/2017,41d
A401/Greenfield,MW21080 - AYCA-2K262F - 2MSV-05 - Rochester Park - 1,Sth NSW,,Inv 12988,21/12/2018,21/11/2017,21/11/2017,21/11/2017,28/11/2017,06/12/2017,21/12/2017,Nov-17,Dec-17,,MW21080 - AYCA-2K262F - 2MSV-05 - Rochester Park - 1,Moss Vale,"$5,689.31","$1,388.17","$7,077.48","$7,785.23",,,$0.00,"$7,077.48",100%,Ertan Cicek ,18/09/2017,24/10/2017,,23/11/2017,30d
A401/Greenfield,MW21400 - 2MTT-02 - AYCA-4JV9PM - Wattle St Colo Vale - 1,Sth NSW,,Inv 12983,18/12/2018,17/11/2017,17/11/2017,22/11/2017,28/11/2017,04/12/2017,12/12/2017,Nov-17,Dec-17,,MW21400 - 2MTT-02 - AYCA-4JV9PM - Wattle St Colo Vale - 1,Colo Vale,"$6,328.87","$14,364.32","$20,693.19","$22,762.51",,,$0.00,"$20,693.19",100%,Ertan Cicek ,02/10/2017,,,,
A401/Greenfield,MW21398 - 2MSV-03 - AYCA-3MIX48 - Sutherland Park Estate - 1,Sth NSW,,Inv 13299,22/02/2018,22/01/2018,22/01/2018,22/01/2018,07/02/2018,07/02/2018,27/02/2018,Jan-18,Feb-18,,MW21398 - 2MSV-03 - AYCA-3MIX48 - Sutherland Park Estate - 1,Moss Vale,"$8,670.86","$4,015.54","$12,686.40","$13,955.04",,,$0.00,"$12,686.40",100%,Ertan Cicek ,02/10/2017,,,,
A401/Minor works,MW21423 - 9QBN-03 - 16 Ellerton Drive Queanbeyan NSW,ACT,,Inv 13326,06/02/2018,31/01/2018,25/01/2018,31/01/2018,12/02/2018,02/02/2018,08/03/2018,Jan-18,Mar-18,,MW21423 - 9QBN-03 - 16 Ellerton Drive Queanbeyan NSW,Queanbeyan,"$1,281.43","$69,306.04","$70,587.47","$77,646.22",,,$0.00,"$70,587.47",100%,Linda Stahlgren Bouveng,29/09/2017,16/10/2017,,,
A417 Greenfield MDU,MW20150 - 2BLK-06 - AYCA-3W8B2F - 6 Old Church Lane,Sydney,,Inv 13202,07/02/2018,12/12/2017,13/12/2017,12/01/2018,24/01/2018,02/01/2018,08/02/2018,Dec-17,Feb-18,,MW20150 - 2BLK-06 - AYCA-3W8B2F - 6 Old Church Lane,Blacktown,"$2,633.83","-$2,118.86",$514.97,$566.47,,,$0.00,$514.97,100%,Andrew Mahassy,Direct Award,14/10/2017,,14/11/2017,31d
A401/Greenfield,MW21145 - AYCA-4KU6BE -OOMWI - 2WET-20 - Seniors Housing,Sydney,,Inv 13278,22/02/2018,21/12/2017,22/12/2017,09/01/2018,07/02/2018,08/01/2018,27/02/2018,Dec-17,Feb-18,,MW21145 - AYCA-4KU6BE -OOMWI - 2WET-20 - Seniors Housing,Bossley Park,"$2,751.09","$1,880.81","$4,631.90","$5,095.08","$1,316.57",,"$1,316.57","$3,315.33",72%,Michael Tram,18/09/2017,13/10/2017,,14/10/2017,
A417 Greenfield MDU,MW21205 - 2RIV-02 - AYCA-3349N6 - Schofields Farm Road - The Maples 2,Sydney,,Inv 12801,13/11/2017,16/10/2017,16/10/2017,24/10/2017,31/10/2017,23/10/2017,16/11/2017,Oct-17,Nov-17,,MW21205 - 2RIV-02 - AYCA-3349N6 - Schofields Farm Road - The Maples 2,Schofields,"$1,740.59",-$95.96,"$1,644.63","$1,809.09",$637.19,,$637.19,"$1,007.44",61%,Andrew Mahassy,Direct Award,24/08/2017,,15/09/2017,22d
A401/Greenfield,MW21041 - 2OBA-20 - AYCA-4L6PEC - NSB - Old Bar Survey,Nth Coast,,Inv 13006,21/12/2017,22/11/2017,22/11/2017,,,06/12/2017,20/12/2017,Nov-17,Dec-17,,MW21041 - 2OBA-20 - AYCA-4L6PEC - NSB - Old Bar Survey,Old Bar,"$1,430.00",,"$1,430.00","$1,573.00",,,$0.00,"$1,430.00",100%,Mark Leal,08/09/2017,,,,
A401/Greenfield,MW21325 - 2NRL-20 - AYCA-2QFUTJ - Camden Day Hospital - 1,Sydney,,,,,30/05/2018,,,,,May-18,Jan-00,,MW21325 - 2NRL-20 - AYCA-2QFUTJ - Camden Day Hospital - 1,Elderslie,"$2,322.69",,"$2,322.69","$2,554.96",,,$0.00,"$2,322.69",100%,Nabeel Jaimon,29/09/2017,18/10/2017,19d,26/10/2017,8d
A401/Greenfield,MW21270 - 2BTH-01 - AYCA-47Y3BF - Arndilly,West NSW,,Inv 13119,23/01/2018,20/12/2017,20/12/2017,,,08/01/2018,23/01/2018,Dec-17,Jan-18,,MW21270 - 2BTH-01 - AYCA-47Y3BF - Arndilly,Bathurst,"$6,664.39",,"$6,664.39","$7,330.83",,,$0.00,"$6,664.39",100%,,,,,,
A417 Greenfield MDU,MW20843 - 2KCL-02 - AYCA-4EIN5M - 171 Casuarina Way Pty Ltd – 1- EXTERNAL,Nth Coast,,Inv 13414,27/03/2018,23/02/2018,28/02/2018,01/03/2018,07/03/2018,16/03/2018,27/03/2018,Feb-18,Mar-18,,MW20843 - 2KCL-02 - AYCA-4EIN5M - 171 Casuarina Way Pty Ltd – 1- EXTERNAL,Casuarina,"$1,790.44","$4,547.40","$6,337.84","$6,971.62","$5,237.60",,"$5,237.60","$1,100.24",17%,Andrew Partalis,,,,,
A401/Greenfield,MW21289 -  2WAG-05 - AYCA-45YGSM - 138 Elizabeth Avenue Forest Hill,Sth NSW,,Inv 13584,10/05/2018,25/02/2018,28/02/2018,22/03/2018,20/04/2018,12/03/2018,03/05/2018,Feb-18,May-18,,MW21289 -  2WAG-05 - AYCA-45YGSM - 138 Elizabeth Avenue Forest Hill,Wagga Wagga,"$12,652.97","$1,876.25","$14,529.22","$15,982.14",,,$0.00,"$14,529.22",100%,Dave Yoemans,18/09/2017,18/10/2017,30d,30/11/2017,43d
A401/Greenfield,MW21287 - AYCA-4BSSM6 - 2WAG-10 - 10 Fisher Place Lloyd,Sth NSW,,Inv 13587,10/05/2018,23/01/2018,23/01/2018,,,07/02/2018,08/05/2018,Jan-18,May-18,,MW21287 - AYCA-4BSSM6 - 2WAG-10 - 10 Fisher Place Lloyd,Wagga Wagga,"$4,882.83",,"$4,882.83","$5,371.11",,,$0.00,"$4,882.83",100%,Dave Yoemans,19/09/2017,18/10/2017,29d,30/11/2017,43d
A401/Greenfield,MW21285 - 2MSV-04 - AYCA-496F3H - 8 Bendooley Street Bowral,Sth NSW,,Inv 13027,30/01/2018,04/12/2017,04/12/2017,04/12/2017,13/12/2017,14/12/2017,30/01/2018,Dec-17,Jan-18,,MW21285 - 2MSV-04 - AYCA-496F3H - 8 Bendooley Street Bowral,Bowral,"$4,895.03","$10,424.73","$15,319.76","$16,851.73","$7,890.75",,"$7,890.75","$7,429.01",48%,Dave Yoemans,18/09/2017,18/10/2017,30d,30/11/2017,43d
A417 Greenfield MDU,"MW21386 - AYCA-3BBYF2 - 2PTH-05 - 40-50 Union Rd, Penrith  EXTERNAL",Sydney,,Inv 13026,08/01/2018,05/12/2017,05/12/2017,05/12/2017,12/12/2017,19/12/2017,11/01/2018,Dec-17,Jan-18,,"MW21386 - AYCA-3BBYF2 - 2PTH-05 - 40-50 Union Rd, Penrith  EXTERNAL",Penrith,"$1,126.31","$2,848.31","$3,974.62","$4,372.08","$2,621.77",,"$2,621.77","$1,352.85",34%,Andrew Partalis,Direct Award,18/10/2017,,22/11/2017,35d
A401/Greenfield,MW21373 - 2WET-65 - AYCA-4O5GBC - 106 - 108 Chifley St - Smithfield - 1- EXTERNAL,Sydney,,Inv 13233,15/02/2018,21/12/2017,22/12/2017,10/01/2018,24/01/2018,12/01/2018,15/02/2018,Dec-17,Feb-18,,MW21373 - 2WET-65 - AYCA-4O5GBC - 106 - 108 Chifley St - Smithfield - 1- EXTERNAL,Smithfield,"$5,336.95","$9,985.27","$15,322.22","$16,854.44","$4,774.48",,"$4,774.48","$10,547.74",69%,Lindy Chan,29/09/2017,19/10/2017,20d,26/10/2017,7d
A417 Greenfield MDU,MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL,Sydney,,Inv 13697,06/06/2018,17/05/2018,17/05/2018,18/05/2018,30/05/2018,30/05/2018,07/06/2018,May-18,Jun-18,,MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL,Berala,$82.91,"$6,597.00","$6,679.91","$7,347.90","$4,651.88",,"$4,651.88","$2,028.03",30%,Lindy Chan,Direct Award,19/10/2017,,22/11/2017,34d
A417 Greenfield MDU,MW21452 - AYCA-4FFBGM - 2PIT-01 - The Oaks Development,Sydney,,Inv 13023,08/01/2018,30/11/2017,30/11/2017,01/12/2017,12/12/2017,13/12/2017,28/12/2017,Nov-17,Dec-17,,MW21452 - AYCA-4FFBGM - 2PIT-01 - The Oaks Development,Pitt Town,"$5,919.34","$3,816.21","$9,735.55","$10,709.11","$6,437.11",,"$6,437.11","$3,298.44",34%,Andrew Mahassy,Direct Award,19/10/2017,,22/11/2017,34d
A401/Greenfield,MW21271 - AYCA-45TAFX  - 2MRS-03-Cooranbong - 1,Central Coast,,Inv 13466,09/04/2018,19/03/2018,19/03/2018,,,03/04/2018,10/04/2018,Mar-18,Apr-18,,MW21271 - AYCA-45TAFX  - 2MRS-03-Cooranbong - 1,Morriset,"$8,383.48",,"$8,383.48","$9,221.83","$4,446.68",,"$4,446.68","$3,936.80",47%,Ertan Cicek ,13/11/2017,06/02/2018,85d,02/03/2018,24d
A401/Greenfield,"MW21392 - 2MIL-20 - AYCA-4NGNW3 - LOT 421 & 422, 10-12 PROGRESS CIRCUIT",Sydney,,Inv 13150,30/01/2018,18/12/2017,18/12/2017,,,02/01/2018,16/01/2018,Dec-17,Jan-18,,"MW21392 - 2MIL-20 - AYCA-4NGNW3 - LOT 421 & 422, 10-12 PROGRESS CIRCUIT",Miller,"$2,044.50",,"$2,044.50","$2,248.95",,,$0.00,"$2,044.50",100%,Nabeel Jaimon,02/10/2017,20/10/2017,18d,31/10/2017,11d
A401/Greenfield,MW21322 - 2SHH-02 - AYCA-4FHB4D - 3 Bellbird Close Barrack Heights,Sydney,,Inv 13201,07/02/2018,21/12/2017,22/12/2017,12/01/2018,25/01/2018,12/01/2018,08/02/2018,Dec-17,Feb-18,,MW21322 - 2SHH-02 - AYCA-4FHB4D - 3 Bellbird Close Barrack Heights,Barrack Heights,"$5,773.02","$4,353.71","$10,126.73","$11,139.40","$3,289.75",,"$3,289.75","$6,836.98",68%,Dave Yoemans,18/09/2017,23/10/2017,35d,30/11/2017,38d
A401/Greenfield,MW21395 - 2BTH-01 - AYCA-4LYVIU - Arndilly - 2,West NSW,,,,,30/07/2018,,,,,Jul-18,Jan-00,,MW21395 - 2BTH-01 - AYCA-4LYVIU - Arndilly - 2,Bathurst,"$4,802.37",,"$4,802.37","$5,282.61",,,$0.00,"$4,802.37",100%,Mark Leal,27/09/2017,23/10/2017,26d,01/11/2017,9d
A401/Greenfield,MW21416 - 2ORG-05 - AYCA-4H25NY - 12 Wakeford – 1,West NSW,,Inv 13116,23/01/2018,14/12/2017,22/12/2017,,,04/01/2018,23/01/2018,Dec-17,Jan-18,,MW21416 - 2ORG-05 - AYCA-4H25NY - 12 Wakeford – 1,Orange,"$8,637.20",,"$8,637.20","$9,500.92",,,$0.00,"$8,637.20",100%,Ertan Cicek ,02/10/2017,23/10/2017,21d,01/11/2017,9d
A417 Greenfield MDU,MW21457 - AYCA-4QLE5J -2NEW-63 -Ara on Park - 1-EXTERNAL,Sydney,,Inv 13232,15/02/2018,11/01/2018,11/01/2018,12/01/2018,24/01/2018,23/01/2018,15/02/2018,Jan-18,Feb-18,,MW21457 - AYCA-4QLE5J -2NEW-63 -Ara on Park - 1-EXTERNAL,Eskineville,"$2,012.61","$6,714.56","$8,727.17","$9,599.89","$2,603.91",,"$2,603.91","$6,123.26",70%,Lindy Chan,Direct Award,24/10/2017,,29/11/2017,36d
A417 Greenfield MDU,MW21458 - 2LID-07 - AYCA-4DZEDU-2LID-07-Auburn Vista - 1 - EXTERNAL,Sydney,,Inv 13019,22/12/2017,03/11/2017,07/11/2017,08/11/2017,16/11/2017,11/12/2017,09/01/2018,Nov-17,Jan-18,,MW21458 - 2LID-07 - AYCA-4DZEDU-2LID-07-Auburn Vista - 1 - EXTERNAL,Aubrn,"$1,680.00","$7,008.33","$8,688.33","$9,557.16",$127.27,,$127.27,"$8,561.06",99%,Ertan Cicek ,Direct Award,24/10/2017,,29/11/2017,36d
A417 Greenfield MDU,MW21471 - 2KIL-63 - AYCA-2T1HEY -RIDGE CENTRE - 1-E XTERNAL,Sydney,,Inv 13120,23/01/2018,29/11/2017,30/11/2017,01/12/2017,20/12/2017,12/12/2017,23/01/2018,Nov-17,Jan-18,,MW21471 - 2KIL-63 - AYCA-2T1HEY -RIDGE CENTRE - 1-E XTERNAL,Gordon,"$1,686.02","$3,182.07","$4,868.09","$5,354.90","$3,014.20",,"$3,014.20","$1,853.89",38%,Lindy Chan,Direct Award,24/10/2017,,30/11/2017,37d
A417 Greenfield MDU,MW21483 - 2ASH-05  - AYCA-2Y1KQS - Charles Banks  1- EXTERNAL,Sydney,,Inv 13328,07/03/2018,07/11/2017,07/11/2017,16/01/2017,27/02/2018,21/11/2017,08/03/2018,Nov-17,Mar-18,,MW21483 - 2ASH-05  - AYCA-2Y1KQS - Charles Banks  1- EXTERNAL,Canterbury,"$2,604.61","$11,602.07","$14,206.68","$15,627.35","$5,541.28",,"$5,541.28","$8,665.40",61%,Andrew Partalis,Direct Award,25/10/2017,,22/11/2017,28d
A417 Greenfield MDU,MW21484 - AYCA-2CO7SU - 2ARM-04 - Brown - 1,Nth West ,,Inv 12986,28/12/2017,24/11/2017,27/11/2017,27/11/2017,08/12/2017,08/12/2017,28/12/2017,Nov-17,Dec-17,,MW21484 - AYCA-2CO7SU - 2ARM-04 - Brown - 1,Armidale,"$1,586.84","$5,543.87","$7,130.71","$7,843.78","$4,794.10",,"$4,794.10","$2,336.61",33%,Mark Leal,Direct Award,31/10/2017,,30/11/2017,30d
A417 Greenfield MDU,MW21467 - 9QBN-03- AYCA-4QEPB9- Ian & Cathy Darman - 1- EXTERNAL,ACT,,Inv 13248,19/02/2018,17/01/2018,17/01/2018,17/01/2018,29/01/2018,29/01/2018,20/02/2018,Jan-18,Feb-18,,MW21467 - 9QBN-03- AYCA-4QEPB9- Ian & Cathy Darman - 1- EXTERNAL,Queanbeyan,"$1,139.11","$2,470.51","$3,609.62","$3,970.58",,,$0.00,"$3,609.62",100%,Nabeel Jaimon,Direct Award,31/10/2017,,29/11/2017,29d
A417 Greenfield MDU,MW21478-AYCA-4PIZ8V  -2MYF-02 - The Furnace - 1 – EXTERNAL,Newcastle,,Inv 13030,12/01/2018,17/11/2017,17/11/2017,06/12/2017,08/12/2017,12/12/2017,16/01/2018,Nov-17,Jan-18,,MW21478-AYCA-4PIZ8V  -2MYF-02 - The Furnace - 1 – EXTERNAL,Mayfield,$750.20,"$4,376.74","$5,126.94","$5,639.63","$1,746.62",,"$1,746.62","$3,380.32",66%,Andrew Partalis,Direct Award,02/11/2017,,22/11/2017,20d
A401/Greenfield,MW21438 - 2ORG-01 - AYCA-4J2IIB - Majestic Way - 1,West NSW,,Inv 13164,31/01/2018,14/12/2017,25/12/2017,,,04/01/2018,18/01/2018,Dec-17,Jan-18,,MW21438 - 2ORG-01 - AYCA-4J2IIB - Majestic Way - 1,Orange,"$5,568.32",,"$5,568.32","$6,125.15",,,$0.00,"$5,568.32",100%,Mark Leal,17/10/2017,06/11/2017,20d,14/11/2017,8d
